종목코드,종목명,KRX_업종,KSIC_대분류
282330,BGF리테일,생활소비재,도매 및 소매업
138930,BNK금융지주,금융,금융 및 보험업
001040,CJ,생활소비재,도매 및 소매업
000120,CJ대한통운,산업재,제조업
097950,CJ제일제당,생활소비재,도매 및 소매업
005830,DB손해보험,금융,금융 및 보험업
000210,DL,건설,건설업
375500,DL이앤씨,건설,건설업
007340,DN오토모티브,경기소비재,도매 및 소매업
383220,F&F,경기소비재,도매 및 소매업
114090,GKL,경기소비재,도매 및 소매업
078930,GS,에너지/화학,제조업
006360,GS건설,건설,건설업
007070,GS리테일,생활소비재,도매 및 소매업
267250,HD현대,에너지/화학,제조업
009540,HD한국조선해양,중공업,기타
443060,HD현대마린솔루션,중공업,기타
071970,HD현대마린엔진,중공업,기타
267260,HD현대일렉트릭,중공업,기타
329180,HD현대중공업,중공업,기타
204320,HL만도,경기소비재,도매 및 소매업
011200,HMM,산업재,제조업
298050,HS효성첨단소재,에너지/화학,제조업
139130,iM금융지주,금융,금융 및 보험업
175330,JB금융지주,금융,금융 및 보험업
002380,KCC,건설,건설업
105560,KB금융,금융,금융 및 보험업
030200,KT,커뮤니케이션서비스,정보통신업
033780,KT&G,생활소비재,도매 및 소매업
003550,LG,정보기술,정보통신업
034220,LG디스플레이,정보기술,정보통신업
051900,LG생활건강,생활소비재,도매 및 소매업
064400,LG씨엔에스,정보기술,정보통신업
373220,LG에너지솔루션,산업재,제조업
032640,LG유플러스,커뮤니케이션서비스,정보통신업
011070,LG이노텍,정보기술,정보통신업
066570,LG전자,정보기술,정보통신업
051910,LG화학,에너지/화학,제조업
079550,LIG넥스원,산업재,제조업
006260,LS,산업재,제조업
010120,LS일렉트릭,산업재,제조업
035420,NAVER,커뮤니케이션서비스,정보통신업
005940,NH투자증권,금융,금융 및 보험업
010060,OCI홀딩스,에너지/화학,제조업
005490,POSCO홀딩스,철강/소재,제조업
010950,S-Oil,에너지/화학,제조업
034730,SK,에너지/화학,제조업
011790,SKC,에너지/화학,제조업
302440,SK바이오사이언스,헬스케어,보건업 및 사회복지 서비스업
326030,SK바이오팜,헬스케어,보건업 및 사회복지 서비스업
402340,SK스퀘어,정보기술,정보통신업
361610,SK아이이테크놀로지,산업재,제조업
096770,SK이노베이션,에너지/화학,제조업
285130,SK케미칼,에너지/화학,제조업
017670,SK텔레콤,커뮤니케이션서비스,정보통신업
000660,SK하이닉스,정보기술,정보통신업
