날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,41249,41346,40179,41346,45206,0.23515721593250746
2025-03-05,41346,42611,41346,42514,60532,2.824940743965559
2025-03-06,42270,44849,42270,43632,84071,2.629721973937997
2025-03-07,43632,44168,43049,43681,43130,0.11230289695636231
2025-03-10,45140,52923,45140,47573,664799,8.910052425539709
2025-03-11,46600,48156,45238,47670,140286,0.20389716856199944
2025-03-12,47086,48108,46211,47524,84040,-0.30627228865114325
2025-03-13,47670,48254,45384,47086,86137,-0.9216395926268833
2025-03-14,46356,47962,46356,47135,78428,0.1040649025187954
2025-03-17,47135,47573,46794,47232,57890,0.20579187440330965
2025-03-18,47232,48935,46892,47621,56791,0.8235941734417345
2025-03-19,48156,48156,46989,47378,35688,-0.5102790785577791
2025-03-20,47183,48400,47183,47767,51867,0.8210561864156359
2025-03-21,47767,48156,46697,46697,66751,-2.2400401951137816
2025-03-24,46746,49032,46746,47037,62547,0.7280981647643318
2025-03-25,47183,47621,46940,47378,34681,0.724961200756851
2025-03-26,47232,47864,47135,47524,29181,0.3081599054413441
2025-03-27,47621,48351,42903,43195,153505,-9.109081727127347
2025-03-28,44168,46162,41298,41833,172840,-3.153142724852413
2025-03-31,41784,41784,39644,40227,74121,-3.8390744149355776
2025-04-01,39790,40422,39060,40179,72949,-0.1193228428667313
2025-04-02,40179,40325,39255,39449,26982,-1.81686950894746
2025-04-03,38720,38914,37455,37747,45114,-4.314431291033993
2025-04-04,38428,38428,35412,36822,66299,-2.4505258696055314
2025-04-07,35995,35995,33758,33807,36469,-8.188039758839825
2025-04-08,34828,34974,33661,34050,37034,0.7187860502262845
2025-04-09,33174,34682,33174,33758,33560,-0.8575624082232012
2025-04-10,35023,35412,34390,35023,14544,3.7472599087623673
2025-04-11,35120,36287,35023,35752,32923,2.081489307026811
2025-04-14,35752,35752,35752,35752,0,0.0
2025-04-15,35752,35752,35752,35752,0,0.0
2025-04-16,35752,35752,35752,35752,0,0.0
2025-04-17,35752,35752,35752,35752,0,0.0
2025-04-18,35752,35752,35752,35752,0,0.0
2025-04-21,35752,35752,35752,35752,0,0.0
2025-04-22,35752,35752,35752,35752,0,0.0
2025-04-23,35752,35752,35752,35752,0,0.0
2025-04-24,35752,35752,35752,35752,0,0.0
2025-04-25,37503,37698,35509,35995,57251,0.6796822555381516
2025-04-28,35509,36676,34536,36190,50771,0.5417419085984165
2025-04-29,36871,37066,36141,37017,34328,2.2851616468637745
2025-04-30,37017,37017,36044,36044,31311,-2.6285220304184564
2025-05-02,36385,36385,35120,35120,20888,-2.5635334591055376
2025-05-07,35460,36044,34633,35850,21545,2.078587699316629
2025-05-08,35947,36141,35509,35898,22220,0.13389121338912136
2025-05-09,35947,36676,35606,35801,40820,-0.27021003955652123
2025-05-12,36093,37455,35850,36774,26776,2.717801178738024
2025-05-13,36920,36920,35801,35898,19906,-2.3821178006200032
2025-05-14,35898,35898,34877,35606,38983,-0.8134157891804557
2025-05-15,35509,35704,35023,35655,11785,0.1376172555187328
2025-05-16,35509,35850,34731,34877,12636,-2.1820221567802554
2025-05-19,34585,34682,33028,33369,37778,-4.323766378989018
2025-05-20,33369,33904,33174,33904,16420,1.6032844856004074
2025-05-21,33417,34196,33417,33904,18979,0.0
2025-05-22,33271,34050,32980,33661,21622,-0.7167295894289759
2025-05-23,33661,34731,33223,34633,14868,2.88761474703663
2025-05-26,34633,36044,34585,35412,33956,2.249299800768054
2025-05-27,35412,36239,35120,35169,9161,-0.6862080650626906
2025-05-28,35606,36871,35169,35995,53004,2.348659330660525
2025-05-29,36044,37503,35995,37406,35177,3.9199888873454642
2025-05-30,37941,40471,37941,38865,128072,3.9004437790728765
2025-06-02,38865,39692,38087,38184,52453,-1.7522192203782323
2025-06-04,39303,42222,38963,41492,152910,8.663314477267965
2025-06-05,42222,42222,41346,42125,34270,1.5255952954786465
2025-06-09,42270,42270,40811,41638,59021,-1.1560830860534124
2025-06-10,41200,41784,40665,41298,37989,-0.816561794514626
2025-06-11,41298,41346,40665,41346,39837,0.11622838878396048
2025-06-12,41444,42660,40763,41589,163263,0.5877231171092729
2025-06-13,41638,42125,39595,40617,59069,-2.3371564596407706
2025-06-16,41395,41589,39157,41395,35352,1.915454120195977
2025-06-17,41395,43292,40763,41492,50595,0.2343278173692475
2025-06-18,41152,42125,40860,40957,32345,-1.289405186541984
2025-06-19,40957,41541,40471,41346,14543,0.9497765949654516
2025-06-20,41784,41784,40665,40665,28030,-1.6470758960963574
2025-06-23,40471,41687,39984,41103,37046,1.0770933234968647
2025-06-24,41930,42854,41103,42270,44283,2.839208816874681
2025-06-25,41979,42319,41346,41444,35388,-1.954104565885971
2025-06-26,41346,41589,39887,40568,31646,-2.113695589228839
2025-06-27,40957,50588,39936,42027,472187,3.5964306842831792
2025-06-30,41103,42903,41103,41784,42571,-0.5781997287458063
2025-07-01,41444,43778,41444,43292,62391,3.609036951943328
2025-07-02,42806,43097,42027,42368,26503,-2.134343527672549
2025-07-03,42514,43487,42076,43487,49431,2.641144259818731
2025-07-04,43487,43827,41979,42125,27622,-3.1319704739347394
2025-07-07,42903,43292,41687,43146,26216,2.4237388724035607
2025-07-08,43049,45238,42514,44897,52491,4.058313632781719
2025-07-09,44751,46211,44168,44703,43069,-0.4321001403211796
2025-07-10,44362,45189,44168,44897,46862,0.4339753484106212
2025-07-11,45092,45675,44557,44994,42923,0.2160500701605898
2025-07-14,44557,45043,43973,44605,19014,-0.8645597190736543
2025-07-15,44168,44459,43681,43924,22417,-1.5267346710010088
2025-07-16,43632,44411,42951,43049,25706,-1.992077224296512
