날짜,시가,고가,저가,종가,거래량,등락률
2025-03-04,24750,25850,24700,25500,9094716,0.39370078740157477
2025-03-05,26550,27200,25650,26900,13199012,5.490196078431373
2025-03-06,27000,27400,26325,26500,7474904,-1.486988847583643
2025-03-07,25850,26700,25350,26350,7395091,-0.5660377358490566
2025-03-10,26300,26600,25650,26250,6310178,-0.3795066413662239
2025-03-11,25150,25700,24650,25550,8281822,-2.666666666666667
2025-03-12,26050,26950,25800,26250,9482846,2.73972602739726
2025-03-13,26350,27150,25850,25850,9559895,-1.5238095238095237
2025-03-14,26400,27100,26000,26750,11307695,3.481624758220503
2025-03-17,27100,27100,25550,25600,12152675,-4.299065420560748
2025-03-18,25300,26200,24750,25800,9464041,0.78125
2025-03-19,26050,27400,26000,26600,15416506,3.10077519379845
2025-03-20,27050,27100,25450,25500,7791782,-4.135338345864661
2025-03-21,25250,27650,25250,27000,16078140,5.88235294117647
2025-03-24,27000,27150,26500,26600,3809578,-1.4814814814814816
2025-03-25,27000,27750,26350,26550,6096858,-0.18796992481203006
2025-03-26,26700,27050,25700,25750,4072877,-3.0131826741996233
2025-03-27,25400,25850,25000,25050,3399033,-2.7184466019417477
2025-03-28,24700,25050,24100,24350,4248520,-2.7944111776447107
2025-03-31,23450,23850,23300,23450,4304162,-3.696098562628337
2025-04-01,23700,24350,23700,23850,3603990,1.7057569296375266
2025-04-02,24150,24700,23650,23950,3804949,0.41928721174004197
2025-04-03,23050,23950,23000,23600,3317518,-1.4613778705636742
2025-04-04,23050,24250,22250,23050,9303071,-2.330508474576271
2025-04-07,21800,21950,20500,20650,6966945,-10.412147505422993
2025-04-08,21600,21600,20550,20750,4971559,0.48426150121065376
2025-04-09,20500,21100,19960,20150,4963918,-2.891566265060241
2025-04-10,21950,22150,21400,22150,4519005,9.925558312655088
2025-04-11,21600,23400,21400,23400,4735671,5.643340857787811
2025-04-14,23800,23850,22950,23350,3014484,-0.2136752136752137
2025-04-15,23550,24350,23200,24100,3836499,3.2119914346895073
2025-04-16,24250,24250,23200,23350,3167471,-3.112033195020747
2025-04-17,23250,24600,23250,24450,5611133,4.710920770877944
2025-04-18,25250,26200,25000,25950,9342636,6.134969325153374
2025-04-21,26550,26600,25600,26050,5684586,0.3853564547206166
2025-04-22,25600,26200,25550,25650,3763759,-1.5355086372360844
2025-04-23,26250,26250,25600,25750,3008282,0.3898635477582846
2025-04-24,25750,26950,25700,26900,7151830,4.466019417475728
2025-04-25,27850,28000,27450,27900,6572442,3.717472118959108
2025-04-28,28250,28500,27650,28300,4927227,1.4336917562724014
2025-04-29,28450,28950,28050,28900,5013948,2.1201413427561837
2025-04-30,29350,29900,28400,28950,7230121,0.17301038062283738
2025-05-02,29450,29500,27050,27700,11490437,-4.317789291882556
2025-05-07,25150,27500,25150,27300,12312853,-1.444043321299639
2025-05-08,27450,28000,26650,27750,6334443,1.6483516483516485
2025-05-09,28050,28700,27600,27850,4958723,0.36036036036036034
2025-05-12,28850,30150,28400,28800,13828502,3.4111310592459607
2025-05-13,29150,29950,28450,29650,7723345,2.951388888888889
2025-05-14,30400,31450,30250,31300,14737537,5.564924114671164
2025-05-15,31900,32750,31100,31950,9164026,2.07667731629393
2025-05-16,32450,34750,31900,34300,17619218,7.355242566510173
2025-05-19,34900,35000,33750,34600,9332808,0.8746355685131195
2025-05-20,34450,37300,34350,37200,15739607,7.514450867052023
2025-05-21,38650,39300,37100,39100,17374970,5.10752688172043
