,Open,High,Low,Close,Volume,Adj Close
2024-03-01,198.89999389648438,202.0500030517578,196.14999389648438,201.75999450683594,3473500,188.5347442626953
2024-03-04,201.42999267578125,206.52000427246094,198.99000549316406,206.14999389648438,2851800,192.63697814941406
2024-03-05,205.94000244140625,209.61000061035156,204.63999938964844,205.4199981689453,2469900,191.95486450195312
2024-03-06,206.4600067138672,207.22999572753906,204.99000549316406,206.00999450683594,1865400,192.50613403320312
2024-03-07,207.6300048828125,207.92999267578125,203.8000030517578,204.72999572753906,2085800,191.31005859375
2024-03-08,206.60000610351562,209.16000366210938,205.88999938964844,207.30999755859375,2156000,193.720947265625
2024-03-11,205.92999267578125,208.32000732421875,204.86000061035156,206.75,2006300,193.1976318359375
2024-03-12,205.7100067138672,206.24000549316406,201.5800018310547,204.17999267578125,1746100,190.79611206054688
2024-03-13,204.3000030517578,205.0500030517578,201.2899932861328,202.35000610351562,1690400,189.08607482910156
2024-03-14,201.02000427246094,202.5500030517578,196.2100067138672,199.19000244140625,2010400,186.13319396972656
2024-03-15,195.5800018310547,198.75,195.1300048828125,197.33999633789062,3346800,184.40447998046875
2024-03-18,196.60000610351562,197.8300018310547,195.50999450683594,195.91000366210938,1833500,183.06822204589844
2024-03-19,196.1699981689453,196.8800048828125,194.6999969482422,196.6300048828125,1463500,183.7410125732422
2024-03-20,195.4199981689453,196.72000122070312,193.80999755859375,194.6300048828125,2154800,181.8721160888672
2024-03-21,195.86000061035156,196.5500030517578,193.66000366210938,193.94000244140625,2658000,181.22735595703125
2024-03-22,194.74000549316406,194.74000549316406,191.5500030517578,192.7899932861328,2581900,180.15269470214844
2024-03-25,193.69000244140625,196.22000122070312,193.52999877929688,195.55999755859375,2144800,182.74114990234375
2024-03-26,195.25999450683594,195.47000122070312,193.89999389648438,194.10000610351562,1823400,181.37686157226562
2024-03-27,195.64999389648438,197.75,194.02000427246094,197.3800048828125,2494200,184.4418487548828
2024-03-28,198.3699951171875,198.3699951171875,196.00999450683594,197.58999633789062,2170500,184.63807678222656
2024-04-01,196.5500030517578,196.5800018310547,192.19000244140625,193.00999450683594,2195800,180.35830688476562
2024-04-02,191.8300018310547,193.8300018310547,191.33999633789062,192.17999267578125,2321300,179.58270263671875
2024-04-03,191.3699951171875,193.25,190.17999267578125,192.30999755859375,2270400,179.70419311523438
2024-04-04,194.08999633789062,194.8000030517578,190.08999633789062,190.3000030517578,2265400,177.82594299316406
2024-04-05,189.25,192.24000549316406,188.77999877929688,190.1699981689453,2538800,177.70443725585938
2024-04-08,190.10000610351562,190.49000549316406,186.63999938964844,188.2100067138672,2296800,175.87294006347656
2024-04-09,189.3699951171875,192.99000549316406,188.83999633789062,192.80999755859375,1962900,180.17141723632812
2024-04-10,187.19000244140625,187.49000549316406,180.5399932861328,181.9600067138672,4136500,170.0326385498047
2024-04-11,182.00999450683594,182.27999877929688,178.3300018310547,178.63999938964844,3688600,168.42979431152344
2024-04-12,178.77999877929688,179.67999267578125,177.1300048828125,179.1999969482422,3839000,168.95779418945312
2024-04-15,179.1999969482422,180.27999877929688,176.02000427246094,178.1199951171875,2562800,167.93951416015625
2024-04-16,177.9499969482422,177.9499969482422,171.75999450683594,172.2100067138672,3848700,162.36729431152344
2024-04-17,172.9600067138672,173.36000061035156,171.0800018310547,172.02000427246094,2732800,162.18814086914062
2024-04-18,173.72999572753906,174.05999755859375,170.6699981689453,171.0,2276200,161.2264404296875
2024-04-19,171.8000030517578,173.00999450683594,170.69000244140625,171.3000030517578,2867400,161.50929260253906
2024-04-22,171.6300048828125,172.94000244140625,171.00999450683594,172.3000030517578,2603800,162.45213317871094
2024-04-23,172.49000549316406,176.07000732421875,171.42999267578125,174.17999267578125,2659000,164.22467041015625
2024-04-24,172.6699981689453,175.44000244140625,172.36000061035156,173.35000610351562,3029300,163.44212341308594
2024-04-25,171.75,173.22000122070312,171.27999877929688,172.89999389648438,1862300,163.01785278320312
2024-04-26,172.72000122070312,174.94000244140625,171.3300018310547,171.69000244140625,1701400,161.8769989013672
2024-04-29,173.25999450683594,175.55999755859375,173.1999969482422,174.99000549316406,2104800,164.9884033203125
2024-04-30,175.52999877929688,176.9199981689453,170.4600067138672,171.55999755859375,3710600,161.75440979003906
2024-05-01,173.27999877929688,178.80999755859375,171.5,176.83999633789062,3877100,166.73265075683594
2024-05-02,178.00999450683594,179.6999969482422,175.3699951171875,179.63999938964844,3278100,169.37261962890625
2024-05-03,183.5,184.88999938964844,181.1699981689453,181.74000549316406,3130300,171.3525848388672
2024-05-06,182.27999877929688,182.6999969482422,177.52000427246094,178.69000244140625,2297900,168.4769287109375
2024-05-07,179.97999572753906,181.4499969482422,179.22999572753906,181.27999877929688,2594800,170.91888427734375
2024-05-08,179.9499969482422,181.52000427246094,178.50999450683594,181.3300018310547,2014400,170.96603393554688
2024-05-09,182.63999938964844,187.75,181.9600067138672,186.3699951171875,2588000,175.7179718017578
2024-05-10,186.47000122070312,186.7100067138672,182.5,184.49000549316406,3158100,173.94541931152344
2024-05-13,185.36000061035156,186.22999572753906,183.0500030517578,185.0,1842700,174.42626953125
2024-05-14,186.36000061035156,187.61000061035156,185.39999389648438,186.9600067138672,2008300,176.2742462158203
2024-05-15,191.14999389648438,194.25999450683594,191.14999389648438,192.02000427246094,2815200,181.04502868652344
2024-05-16,191.64999389648438,196.2100067138672,191.50999450683594,194.94000244140625,2616900,183.7981414794922
2024-05-17,195.55999755859375,195.55999755859375,193.19000244140625,194.50999450683594,2157300,183.39271545410156
2024-05-20,194.0,195.08999633789062,191.66000366210938,191.75999450683594,1733500,180.79989624023438
2024-05-21,191.5,194.3300018310547,190.27999877929688,194.1300048828125,1527300,183.03443908691406
2024-05-22,193.58999633789062,194.24000549316406,190.22000122070312,191.33999633789062,1681100,180.4038848876953
2024-05-23,189.77999877929688,191.57000732421875,186.50999450683594,186.60000610351562,1768800,175.93484497070312
