,Open,High,Low,Close,Volume,Adj Close
2024-03-04,55.5,56.20000076293945,55.435001373291016,55.959999084472656,4498200,55.06753158569336
2024-03-05,55.665000915527344,55.775001525878906,54.439998626708984,54.81999969482422,3877600,53.94571304321289
2024-03-06,55.18000030517578,55.755001068115234,55.130001068115234,55.255001068115234,4311400,54.373775482177734
2024-03-07,55.45500183105469,55.88999938964844,55.45000076293945,55.67499923706055,4007000,54.787078857421875
2024-03-08,55.73500061035156,56.05500030517578,55.064998626708984,55.20500183105469,4578000,54.32456970214844
2024-03-11,55.28499984741211,55.28499984741211,54.40999984741211,54.939998626708984,4348200,54.06379318237305
2024-03-12,54.93000030517578,55.44499969482422,54.654998779296875,55.29999923706055,3670000,54.418052673339844
2024-03-13,55.2599983215332,55.44499969482422,54.869998931884766,55.26499938964844,4571000,54.38361740112305
2024-03-14,55.51499938964844,55.650001525878906,54.369998931884766,54.689998626708984,4011000,53.817787170410156
2024-03-15,54.28499984741211,54.810001373291016,54.26499938964844,54.650001525878906,9351000,53.77843475341797
2024-03-18,54.904998779296875,55.15999984741211,54.744998931884766,54.79499816894531,5218800,54.02986145019531
2024-03-19,54.845001220703125,55.525001525878906,54.724998474121094,55.48500061035156,4702000,54.71023178100586
2024-03-20,55.51499938964844,56.095001220703125,55.415000915527344,56.05500030517578,3560200,55.27226638793945
2024-03-21,56.5,57.400001525878906,56.48500061035156,57.20500183105469,6028600,56.406211853027344
2024-03-22,57.25,57.59000015258789,56.93000030517578,57.209999084472656,4978600,56.4111442565918
2024-03-25,59.0,59.79499816894531,57.040000915527344,57.11000061035156,8547000,56.312538146972656
2024-03-26,57.32500076293945,57.630001068115234,56.6349983215332,56.66999816894531,6849200,55.87868118286133
2024-03-27,56.9900016784668,57.70500183105469,56.96500015258789,57.650001525878906,9178400,56.84499740600586
2024-03-28,58.0,58.5,57.494998931884766,57.67499923706055,8712000,56.8696403503418
2024-04-01,57.415000915527344,58.0,57.01499938964844,57.025001525878906,4594600,56.22872543334961
2024-04-02,56.470001220703125,56.6349983215332,56.06999969482422,56.529998779296875,4972000,55.740631103515625
2024-04-03,57.2599983215332,58.04499816894531,56.65999984741211,57.685001373291016,7640800,56.879512786865234
2024-04-04,59.025001525878906,59.310001373291016,57.375,57.54999923706055,6825600,56.746395111083984
2024-04-05,57.81999969482422,58.79499816894531,57.78499984741211,58.689998626708984,6759200,57.8704719543457
2024-04-08,59.08000183105469,59.28499984741211,58.064998626708984,58.310001373291016,8695000,57.49577713012695
2024-04-09,58.5,58.70000076293945,57.099998474121094,57.4900016784668,8140200,56.68723678588867
