,Open,High,Low,Close,Volume,Adj Close
2024-03-04,112.31999969482422,115.0199966430664,112.31999969482422,114.68000030517578,981000,109.42395782470703
2024-03-05,115.05000305175781,115.43000030517578,113.72000122070312,114.45999908447266,1395500,109.21404266357422
2024-03-06,115.04000091552734,115.6500015258789,114.4000015258789,115.19999694824219,1120100,109.92012023925781
2024-03-07,116.11000061035156,116.62000274658203,115.18000030517578,115.58999633789062,797000,110.29225158691406
2024-03-08,116.05999755859375,116.62999725341797,115.30000305175781,115.81999969482422,999700,110.51171112060547
2024-03-11,116.04000091552734,117.13999938964844,115.5,117.0,845100,111.63761901855469
2024-03-12,116.58000183105469,117.16000366210938,115.77999877929688,116.5199966430664,1264700,111.17963409423828
2024-03-13,117.12000274658203,117.23999786376953,115.80999755859375,116.2300033569336,1051100,110.90292358398438
2024-03-14,116.80000305175781,116.80000305175781,114.5199966430664,114.9000015258789,1289300,109.63388061523438
2024-03-15,114.0,115.91999816894531,113.81999969482422,114.55000305175781,2832300,109.29991912841797
2024-03-18,114.76000213623047,116.44000244140625,114.30000305175781,115.41000366210938,861400,110.12051391601562
2024-03-19,115.88999938964844,116.68000030517578,115.33000183105469,115.77999877929688,805800,110.47354125976562
2024-03-20,115.3499984741211,116.52999877929688,115.26000213623047,116.5,979200,111.1605453491211
2024-03-21,116.66999816894531,117.18000030517578,116.0999984741211,116.83000183105469,473800,111.47542572021484
2024-03-22,117.62999725341797,117.9000015258789,116.33999633789062,116.56999969482422,538300,111.22733306884766
2024-03-25,116.9000015258789,116.9800033569336,115.63999938964844,116.0999984741211,466500,110.77887725830078
2024-03-26,116.05000305175781,116.19999694824219,114.75,115.25,514300,109.96783447265625
2024-03-27,115.93000030517578,118.30000305175781,115.54000091552734,118.26000213623047,833600,112.83988952636719
2024-03-28,118.05999755859375,119.05000305175781,117.88999938964844,118.87000274658203,1265400,113.42193603515625
2024-04-01,119.05000305175781,119.36000061035156,117.4800033569336,117.8499984741211,650800,112.44867706298828
2024-04-02,117.5199966430664,119.0999984741211,117.5199966430664,117.7699966430664,674900,112.37234497070312
2024-04-03,117.5999984741211,117.87000274658203,116.33000183105469,116.97000122070312,628600,111.6090087890625
2024-04-04,117.95999908447266,117.95999908447266,115.16000366210938,116.12999725341797,768700,110.80750274658203
2024-04-05,115.58000183105469,116.41000366210938,115.01000213623047,116.2300033569336,525700,110.90292358398438
2024-04-08,116.4000015258789,116.95999908447266,115.94999694824219,116.33000183105469,676000,110.99834442138672
2024-04-09,116.75,117.26000213623047,116.20999908447266,116.63999938964844,558700,111.29412841796875
2024-04-10,114.87999725341797,115.23999786376953,113.70999908447266,115.08000183105469,627500,109.80562591552734
2024-04-11,115.91000366210938,115.91000366210938,113.93000030517578,114.37999725341797,793100,109.1377182006836
2024-04-12,114.20999908447266,115.48999786376953,113.2300033569336,113.98999786376953,668400,108.76558685302734
2024-04-15,114.69999694824219,115.20999908447266,112.58000183105469,113.05999755859375,904200,107.87820434570312
2024-04-16,112.7300033569336,112.83999633789062,110.97000122070312,112.33000183105469,973100,107.18167114257812
2024-04-17,113.0199966430664,114.94999694824219,112.79000091552734,114.55999755859375,687700,109.3094482421875
2024-04-18,114.94999694824219,115.08000183105469,114.02999877929688,114.56999969482422,563700,109.31900024414062
2024-04-19,115.02999877929688,117.26000213623047,115.02999877929688,117.19999694824219,1108300,111.82845306396484
2024-04-22,116.97000122070312,118.45999908447266,116.38999938964844,118.08000183105469,603800,112.66812133789062
2024-04-23,117.8499984741211,118.8499984741211,117.58999633789062,117.66999816894531,657500,112.27691650390625
2024-04-24,116.69000244140625,118.69999694824219,116.1500015258789,118.66000366210938,728000,113.22156524658203
2024-04-25,118.4800033569336,118.75,117.02999877929688,118.16999816894531,523300,112.75399780273438
2024-04-26,118.31999969482422,118.4800033569336,116.91999816894531,116.93000030517578,733100,111.57083129882812
2024-04-29,117.27999877929688,118.63999938964844,117.27999877929688,118.63999938964844,618800,113.20246887207031
2024-04-30,118.0999984741211,118.66000366210938,117.01000213623047,117.9000015258789,784000,112.49638366699219
2024-05-01,118.19999694824219,119.9000015258789,117.66999816894531,118.66000366210938,498500,113.22156524658203
2024-05-02,119.08000183105469,119.58000183105469,118.4000015258789,119.05000305175781,529700,113.59368133544922
2024-05-03,119.70999908447266,119.87999725341797,118.30000305175781,119.31999969482422,608200,113.85131072998047
