,Open,High,Low,Close,Volume,Adj Close
2024-03-04,118.91000366210938,121.87999725341797,118.83000183105469,121.69999694824219,1274000,116.02217102050781
2024-03-05,121.87000274658203,122.41000366210938,118.56999969482422,119.26000213623047,1479100,113.69600677490234
2024-03-06,120.1500015258789,120.91999816894531,119.36000061035156,120.30999755859375,1313700,114.69701385498047
2024-03-07,119.55999755859375,120.41999816894531,118.08000183105469,118.61000061035156,2097400,113.07633209228516
2024-03-08,119.93000030517578,120.0,117.83999633789062,118.44000244140625,2312700,112.91425323486328
2024-03-11,118.05999755859375,121.06999969482422,118.05999755859375,120.33000183105469,1574500,114.7160873413086
2024-03-12,119.52999877929688,120.7300033569336,118.2300033569336,119.18000030517578,1821000,113.61974334716797
2024-03-13,118.9800033569336,121.55999755859375,118.66000366210938,120.54000091552734,1293500,114.91629791259766
2024-03-14,120.12000274658203,120.6500015258789,117.45999908447266,118.4800033569336,1354800,112.952392578125
2024-03-15,117.0199966430664,118.4000015258789,116.6500015258789,117.13999938964844,4764600,111.6749038696289
2024-03-18,117.1500015258789,118.20999908447266,116.37999725341797,117.2300033569336,1394500,111.76072692871094
2024-03-19,117.73999786376953,118.33000183105469,116.93000030517578,118.0,1061000,112.49478912353516
2024-03-20,117.76000213623047,118.16000366210938,116.69999694824219,118.08999633789062,1134200,112.58059692382812
2024-03-21,118.9800033569336,120.16999816894531,118.05999755859375,118.20999908447266,1026000,112.69498443603516
2024-03-22,119.05999755859375,119.05999755859375,117.33999633789062,117.75,906000,112.25646209716797
2024-03-25,117.88999938964844,118.48999786376953,116.98999786376953,117.13999938964844,1083000,111.6749038696289
2024-03-26,116.9800033569336,117.91000366210938,116.58999633789062,117.83999633789062,1739800,112.34224700927734
2024-03-27,118.55000305175781,121.72000122070312,117.97000122070312,121.5,1805100,115.83150482177734
2024-03-28,121.69000244140625,122.37999725341797,120.44000244140625,122.20999908447266,2004200,116.50836944580078
2024-04-01,122.44000244140625,122.5,119.54000091552734,120.30000305175781,913900,114.6874771118164
2024-04-02,120.11000061035156,121.47000122070312,118.81999969482422,119.55999755859375,1183100,113.98199462890625
2024-04-03,119.19000244140625,119.77999877929688,118.26000213623047,118.93000030517578,1101300,113.38140106201172
2024-04-04,120.0999984741211,120.95999908447266,119.26000213623047,120.37999725341797,1272600,114.76374816894531
2024-04-05,119.23999786376953,120.02999877929688,117.8499984741211,118.5199966430664,1109000,112.99053192138672
2024-04-08,118.83999633789062,120.45999908447266,118.63999938964844,120.0199966430664,1217000,114.42053985595703
2024-04-09,120.77999877929688,122.20999908447266,120.18000030517578,121.8499984741211,1492900,116.16516876220703
2024-04-10,118.98999786376953,119.33000183105469,117.02999877929688,118.30999755859375,2354600,112.79032135009766
2024-04-11,119.22000122070312,119.5999984741211,116.9000015258789,117.81999969482422,1697300,112.32318115234375
2024-04-12,117.87000274658203,117.87000274658203,115.97000122070312,116.56999969482422,1072100,111.13151550292969
2024-04-15,116.72000122070312,117.41999816894531,115.12999725341797,115.9800033569336,1862800,110.56903839111328
2024-04-16,115.44999694824219,115.44999694824219,113.33999633789062,113.81999969482422,2331100,108.50980377197266
2024-04-17,113.83999633789062,115.7699966430664,113.52999877929688,115.4000015258789,1902800,110.0160903930664
2024-04-18,116.12000274658203,117.56999969482422,115.08999633789062,117.3499984741211,1399800,111.8751220703125
2024-04-19,117.94000244140625,119.38999938964844,117.6500015258789,118.5199966430664,1874600,112.99053192138672
2024-04-22,118.5999984741211,119.79000091552734,117.66999816894531,119.26000213623047,1247600,113.69600677490234
2024-04-23,119.30999755859375,120.55000305175781,119.0199966430664,119.87000274658203,1255500,114.27754974365234
2024-04-24,118.79000091552734,121.66000366210938,118.1500015258789,121.36000061035156,1297900,115.69804382324219
2024-04-25,121.37000274658203,122.37000274658203,119.93000030517578,121.55000305175781,1404200,115.87916564941406
2024-04-26,121.69000244140625,122.20999908447266,120.76000213623047,120.77999877929688,1058500,115.14509582519531
2024-04-29,121.7300033569336,122.56999969482422,121.66999816894531,122.27999877929688,1686000,116.57511138916016
2024-04-30,121.51000213623047,123.0999984741211,120.98999786376953,122.31999969482422,1325100,116.61325073242188
2024-05-01,122.12000274658203,125.8499984741211,122.08999633789062,125.12000274658203,2712500,119.28260803222656
2024-05-02,123.7300033569336,126.08999633789062,122.4000015258789,125.94999694824219,2778800,120.07389831542969
2024-05-03,127.81999969482422,128.85000610351562,127.22000122070312,128.75,1735800,122.74324798583984
2024-05-06,129.6199951171875,130.38999938964844,128.2100067138672,130.25,1479500,124.17326354980469
2024-05-07,131.3000030517578,132.4600067138672,130.08999633789062,131.82000732421875,1597700,125.67005157470703
2024-05-08,131.39999389648438,133.0,131.1999969482422,132.8699951171875,1417900,126.67103576660156
2024-05-09,132.8699951171875,134.77999877929688,132.17999267578125,134.3800048828125,1308700,128.110595703125
2024-05-10,134.8300018310547,135.7100067138672,134.41000366210938,135.5,1763600,129.1783447265625
2024-05-13,135.0,135.52999877929688,133.27999877929688,133.77999877929688,852500,128.26272583007812
2024-05-14,134.8300018310547,135.0,132.86000061035156,133.1300048828125,1060900,127.63953399658203
2024-05-15,134.75,135.11000061035156,133.0800018310547,133.75,1281700,128.2339630126953
2024-05-16,133.41000366210938,134.61000061035156,133.08999633789062,134.27000427246094,1248200,128.7324981689453
2024-05-17,134.13999938964844,134.13999938964844,133.13999938964844,133.75999450683594,924200,128.2435302734375
2024-05-20,133.8000030517578,133.97999572753906,132.47000122070312,133.57000732421875,914000,128.0614013671875
2024-05-21,133.58999633789062,134.3800048828125,132.82000732421875,134.36000061035156,716000,128.81881713867188
