,Open,High,Low,Close,Volume,Adj Close
2024-03-04,113.25,113.77999877929688,112.26000213623047,112.41999816894531,847300,107.11714172363281
2024-03-05,112.36000061035156,113.05000305175781,111.5,111.95999908447266,593900,106.67886352539062
2024-03-06,117.93000030517578,119.37999725341797,116.0199966430664,117.79000091552734,2247900,112.23384857177734
2024-03-07,118.0,118.2699966430664,116.75,117.2300033569336,1328000,111.70026397705078
2024-03-08,117.25,118.76000213623047,117.0999984741211,117.29000091552734,765500,111.7574462890625
2024-03-11,117.01000213623047,118.06999969482422,116.69999694824219,117.37999725341797,878400,111.84319305419922
2024-03-12,117.16999816894531,118.6500015258789,117.0999984741211,118.33999633789062,877500,112.75790405273438
2024-03-13,118.81999969482422,119.98999786376953,118.44999694824219,118.91000366210938,674400,113.301025390625
2024-03-14,119.02999877929688,119.93000030517578,117.75,119.80999755859375,1093400,114.1585693359375
2024-03-15,119.80999755859375,121.37999725341797,119.41000366210938,119.9000015258789,10787300,114.24432373046875
2024-03-18,119.08999633789062,119.41999816894531,117.70999908447266,118.22000122070312,958100,113.40972137451172
2024-03-19,118.69000244140625,119.23999786376953,117.69000244140625,117.87000274658203,889400,113.073974609375
2024-03-20,117.55999755859375,119.19999694824219,117.05999755859375,118.5999984741211,483200,113.77427673339844
2024-03-21,118.5999984741211,119.19999694824219,118.05000305175781,118.83999633789062,492200,114.0044937133789
2024-03-22,119.29000091552734,119.69999694824219,117.37999725341797,117.41999816894531,727300,112.64227294921875
2024-03-25,118.5,121.19000244140625,118.5,120.76000213623047,971400,115.84638214111328
2024-03-26,120.55000305175781,121.61000061035156,120.18000030517578,120.27999877929688,773800,115.38591003417969
2024-03-27,120.87000274658203,123.37000274658203,120.87000274658203,123.29000091552734,807400,118.27342987060547
2024-03-28,123.7300033569336,124.3499984741211,123.23999786376953,124.16999816894531,762700,119.11763000488281
2024-04-01,123.95999908447266,123.95999908447266,122.06999969482422,122.16999816894531,663200,117.1989974975586
2024-04-02,122.7300033569336,123.01000213623047,121.55000305175781,121.6500015258789,693500,116.70015716552734
2024-04-03,121.2300033569336,122.30999755859375,120.02999877929688,121.29000091552734,486100,116.35480499267578
2024-04-04,122.0999984741211,122.33999633789062,119.87999725341797,120.27999877929688,420000,115.38591003417969
2024-04-05,120.95999908447266,121.66000366210938,120.47000122070312,121.5199966430664,424000,116.575439453125
2024-04-08,121.73999786376953,122.51000213623047,121.01000213623047,121.9000015258789,517900,116.93999481201172
2024-04-09,122.5,122.79000091552734,119.54000091552734,119.87999725341797,394500,115.00218200683594
2024-04-10,119.87999725341797,121.30000305175781,119.66000366210938,120.83999633789062,573700,115.9231185913086
2024-04-11,121.29000091552734,121.29000091552734,119.0999984741211,119.16999816894531,527300,114.32107543945312
2024-04-12,119.0999984741211,120.11000061035156,118.41999816894531,118.62000274658203,464600,113.79345703125
2024-04-15,119.98999786376953,120.0,116.55000305175781,116.80000305175781,830200,112.04750061035156
2024-04-16,116.6500015258789,117.8499984741211,116.33000183105469,117.06999969482422,529900,112.30652618408203
2024-04-17,116.63999938964844,117.30000305175781,115.1500015258789,115.30000305175781,876000,110.60853576660156
2024-04-18,116.69999694824219,117.9000015258789,116.37000274658203,117.5199966430664,808200,112.73819732666016
2024-04-19,118.22000122070312,120.02999877929688,118.0999984741211,119.94999694824219,808500,115.06932067871094
2024-04-22,120.9000015258789,121.8499984741211,119.76000213623047,120.95999908447266,484500,116.03823852539062
2024-04-23,121.20999908447266,121.86000061035156,120.69999694824219,120.83000183105469,528500,115.91352844238281
2024-04-24,119.83000183105469,120.56999969482422,119.47000122070312,119.91999816894531,601900,115.0405502319336
2024-04-25,119.1500015258789,119.55000305175781,118.04000091552734,118.44000244140625,717100,113.62078094482422
2024-04-26,118.26000213623047,118.26000213623047,109.93000030517578,110.87999725341797,2184600,106.36837768554688
2024-04-29,111.29000091552734,114.63999938964844,111.19000244140625,113.55000305175781,1372400,108.92974853515625
2024-04-30,113.04000091552734,116.04000091552734,113.04000091552734,115.69000244140625,1289800,110.98267364501953
2024-05-01,115.69000244140625,118.5199966430664,115.69000244140625,117.30000305175781,1039400,112.52716827392578
2024-05-02,118.33000183105469,118.44999694824219,115.31999969482422,116.16000366210938,883000,111.43354797363281
2024-05-03,115.79000091552734,117.23999786376953,115.02999877929688,116.94000244140625,593900,112.18180847167969
2024-05-06,117.66000366210938,118.06999969482422,117.05000305175781,117.37999725341797,378700,112.6039047241211
2024-05-07,117.95999908447266,118.19000244140625,117.05000305175781,117.19999694824219,411400,112.43122100830078
2024-05-08,117.33999633789062,117.83000183105469,117.0999984741211,117.44000244140625,399300,112.66146850585938
2024-05-09,117.1500015258789,118.52999877929688,117.1500015258789,118.30999755859375,403900,113.49606323242188
2024-05-10,118.30999755859375,119.19000244140625,118.12999725341797,118.87000274658203,331300,114.03327941894531
2024-05-13,119.04000091552734,119.48999786376953,118.12999725341797,118.33000183105469,300200,113.51525115966797
2024-05-14,118.55000305175781,119.04000091552734,117.81999969482422,118.20999908447266,330800,113.40013122558594
2024-05-15,118.06999969482422,118.38999938964844,117.08999633789062,117.29000091552734,312800,112.51757049560547
2024-05-16,117.91999816894531,118.94000244140625,117.54000091552734,118.5199966430664,578000,113.697509765625
2024-05-17,119.19999694824219,120.13999938964844,118.44999694824219,120.05999755859375,463500,115.17485809326172
2024-05-20,120.0999984741211,120.20999908447266,117.36000061035156,117.94999694824219,625200,113.15070343017578
2024-05-21,118.5999984741211,118.98999786376953,118.30999755859375,118.58999633789062,418900,113.76466369628906
2024-05-22,118.66000366210938,119.61000061035156,118.47000122070312,118.81999969482422,546000,113.98529815673828
2024-05-23,118.66999816894531,118.66999816894531,117.01000213623047,117.11000061035156,398400,112.34488677978516
2024-05-24,117.48999786376953,117.95999908447266,116.98999786376953,117.68000030517578,529800,112.8917007446289
2024-05-28,117.0199966430664,117.22000122070312,115.54000091552734,115.73999786376953,574500,111.03063201904297
2024-05-29,115.43000030517578,115.6500015258789,114.43000030517578,114.66000366210938,537000,109.99458312988281
2024-05-30,114.47000122070312,116.72000122070312,114.36000061035156,116.19999694824219,735000,111.471923828125
2024-05-31,116.0999984741211,117.6500015258789,115.94000244140625,117.58000183105469,944900,112.7957763671875
2024-06-03,117.31999969482422,117.69999694824219,115.44999694824219,116.3499984741211,405400,111.61580657958984
2024-06-04,115.94999694824219,116.12000274658203,114.36000061035156,114.83999633789062,703200,110.16724395751953
2024-06-05,115.02999877929688,115.27999877929688,113.36000061035156,114.62000274658203,425600,109.95620727539062
2024-06-06,114.56999969482422,115.47000122070312,114.2300033569336,114.91000366210938,361100,110.23441314697266
2024-06-07,115.2699966430664,116.7300033569336,114.91000366210938,115.97000122070312,327800,111.25128173828125
