,Open,High,Low,Close,Volume,Adj Close
2024-03-04,237.47999572753906,240.44000244140625,235.67999267578125,235.8000030517578,1326000,232.0358428955078
2024-03-05,236.22000122070312,236.4499969482422,234.44000244140625,235.30999755859375,1422500,231.5536651611328
2024-03-06,235.5399932861328,236.5399932861328,234.5399932861328,234.67999267578125,1209000,230.93368530273438
2024-03-07,236.11000061035156,238.30999755859375,234.69000244140625,237.6300048828125,1341600,233.8366241455078
2024-03-08,237.2899932861328,238.4199981689453,236.6999969482422,237.47000122070312,877400,233.67919921875
2024-03-11,236.63999938964844,238.1999969482422,236.57000732421875,237.67999267578125,849000,233.8858184814453
2024-03-12,237.66000366210938,238.1999969482422,236.17999267578125,237.44000244140625,666600,233.64964294433594
2024-03-13,238.49000549316406,239.0399932861328,234.22999572753906,234.77000427246094,1447400,231.0222930908203
2024-03-14,235.92999267578125,237.89999389648438,234.99000549316406,237.67999267578125,1280200,233.8858184814453
2024-03-15,235.25999450683594,238.33999633789062,234.38999938964844,238.22999572753906,2150200,234.42703247070312
2024-03-18,238.1199951171875,240.86000061035156,237.33999633789062,239.30999755859375,1122400,235.4897918701172
2024-03-19,240.2100067138672,242.60000610351562,239.25,242.35000610351562,1165700,238.4812774658203
2024-03-20,242.52000427246094,243.8300018310547,241.75999450683594,241.8699951171875,967400,238.00894165039062
2024-03-21,241.89999389648438,243.63999938964844,240.3300018310547,242.3300018310547,801300,238.4615936279297
2024-03-22,242.9199981689453,243.58999633789062,241.97999572753906,242.5,720800,238.62887573242188
2024-03-25,242.5,243.30999755859375,241.6300048828125,242.05999755859375,703300,238.19589233398438
2024-03-26,242.05999755859375,244.05999755859375,241.60000610351562,242.8000030517578,829200,238.92408752441406
2024-03-27,243.97999572753906,244.67999267578125,242.86000061035156,244.63999938964844,674300,240.73472595214844
2024-03-28,244.63999938964844,244.63999938964844,239.7899932861328,242.99000549316406,1574300,239.111083984375
2024-04-01,242.3800048828125,243.33999633789062,240.25,243.0,635000,239.1208953857422
2024-04-02,242.5,244.52000427246094,241.6699981689453,243.08999633789062,961400,239.20947265625
2024-04-03,243.74000549316406,246.75,242.41000366210938,245.8000030517578,1125200,241.87620544433594
2024-04-04,246.64999389648438,246.64999389648438,241.89999389648438,242.0399932861328,1026900,238.17620849609375
2024-04-05,242.72000122070312,243.82000732421875,241.8800048828125,243.22000122070312,744600,239.33740234375
2024-04-08,242.1999969482422,242.75,240.35000610351562,240.36000061035156,813200,236.5230255126953
2024-04-09,241.22000122070312,241.22000122070312,236.80999755859375,238.57000732421875,807600,234.7616424560547
2024-04-10,238.2899932861328,240.42999267578125,237.6199951171875,237.8000030517578,712200,234.00392150878906
2024-04-11,238.44000244140625,238.44000244140625,235.27000427246094,235.63999938964844,810700,231.87838745117188
2024-04-12,235.0,236.24000549316406,233.10000610351562,234.0,822300,230.26458740234375
2024-04-15,236.35000610351562,236.82000732421875,234.1699981689453,234.2100067138672,986000,230.4712371826172
2024-04-16,237.47999572753906,239.77000427246094,236.6199951171875,238.25999450683594,1981500,234.45657348632812
2024-04-17,239.22000122070312,239.25999450683594,236.24000549316406,238.6199951171875,1028600,234.81082153320312
2024-04-18,239.39999389648438,239.39999389648438,235.38999938964844,237.3000030517578,1443300,233.51190185546875
2024-04-19,238.67999267578125,239.91000366210938,236.97999572753906,239.1300048828125,1411200,235.31268310546875
2024-04-22,236.0,239.00999450683594,234.72999572753906,236.85000610351562,2287100,233.06910705566406
2024-04-23,237.42999267578125,238.72000122070312,236.25,237.69000244140625,1430900,233.89564514160156
2024-04-24,237.58999633789062,238.7899932861328,235.83999633789062,237.9499969482422,926800,234.15151977539062
2024-04-25,239.02999877929688,241.0500030517578,238.25,239.75999450683594,831200,235.9326171875
2024-04-26,240.0399932861328,241.36000061035156,238.10000610351562,240.8800048828125,972800,237.03472900390625
2024-04-29,240.0,240.86000061035156,238.2100067138672,239.92999267578125,912000,236.0998992919922
2024-04-30,239.77999877929688,240.25999450683594,238.0,239.0500030517578,1589300,235.23397827148438
2024-05-01,229.14999389648438,231.5500030517578,224.8000030517578,229.1999969482422,3291600,225.5412139892578
2024-05-02,228.49000549316406,228.7899932861328,224.32000732421875,224.74000549316406,2042100,221.1523895263672
2024-05-03,223.6300048828125,224.86000061035156,222.1999969482422,223.9499969482422,2222000,220.375
2024-05-06,225.42999267578125,226.08999633789062,223.19000244140625,224.0399932861328,1582700,220.4635772705078
2024-05-07,224.30999755859375,226.88999938964844,224.30999755859375,226.74000549316406,1899100,223.12046813964844
2024-05-08,227.72000122070312,228.25,223.6199951171875,224.11000061035156,2401800,220.53245544433594
2024-05-09,223.9499969482422,225.5,223.77999877929688,224.08999633789062,927600,221.01571655273438
2024-05-10,224.4199981689453,225.6699981689453,224.02000427246094,224.60000610351562,943900,221.51873779296875
2024-05-13,224.72999572753906,226.17999267578125,222.5800018310547,222.9199981689453,1060600,219.86178588867188
2024-05-14,223.17999267578125,223.7100067138672,220.67999267578125,221.94000244140625,1522200,218.89523315429688
2024-05-15,221.69000244140625,223.5399932861328,221.22999572753906,221.80999755859375,898800,218.7670135498047
2024-05-16,222.50999450683594,223.32000732421875,220.8699951171875,221.85000610351562,1045200,218.80648803710938
2024-05-17,222.74000549316406,222.8000030517578,221.02999877929688,222.1199951171875,1001900,219.07273864746094
2024-05-20,222.3800048828125,222.5399932861328,219.77999877929688,221.0,888200,217.96810913085938
2024-05-21,221.3000030517578,221.3000030517578,216.4600067138672,217.0800018310547,1420200,214.10189819335938
2024-05-22,216.85000610351562,217.82000732421875,216.1999969482422,216.75,1180000,213.7764129638672
2024-05-23,218.5,220.8300018310547,218.5,219.82000732421875,1555500,216.8043212890625
2024-05-24,219.94000244140625,220.6699981689453,217.86000061035156,218.88999938964844,1029800,215.88706970214844
2024-05-28,218.05999755859375,218.05999755859375,215.11000061035156,216.2100067138672,1400800,213.2438201904297
2024-05-29,215.8300018310547,219.25999450683594,214.77000427246094,219.05999755859375,1774000,216.05471801757812
2024-05-30,219.91000366210938,222.4499969482422,218.32000732421875,220.52999877929688,2127900,217.5045623779297
2024-05-31,220.72000122070312,226.63999938964844,220.72000122070312,226.57000732421875,3835600,223.4617156982422
2024-06-03,224.72000122070312,230.97999572753906,224.72000122070312,230.50999450683594,2028300,227.34764099121094
2024-06-04,230.13999938964844,231.25,228.11000061035156,230.6699981689453,1001000,227.5054473876953
2024-06-05,231.72999572753906,232.36000061035156,230.11000061035156,231.77000427246094,1782000,228.59034729003906
2024-06-06,231.72000122070312,236.7100067138672,230.75999450683594,236.6699981689453,2246500,233.42311096191406
2024-06-07,237.2899932861328,238.0800018310547,234.69000244140625,235.47000122070312,1064200,232.23959350585938
2024-06-10,235.27000427246094,235.27000427246094,231.7899932861328,234.57000732421875,1568000,231.35195922851562
