,Open,High,Low,Close,Volume,Adj Close
2024-03-01,145.97999572753906,149.2899932861328,145.42999267578125,148.44000244140625,2149100,148.44000244140625
2024-03-04,148.27999877929688,148.97000122070312,145.7899932861328,146.4199981689453,1933500,146.4199981689453
2024-03-05,147.88999938964844,151.22000122070312,147.80999755859375,149.0800018310547,2019800,149.0800018310547
2024-03-06,149.97999572753906,150.17999267578125,148.1300048828125,149.13999938964844,3367300,149.13999938964844
2024-03-07,151.0,151.0,148.02999877929688,150.02000427246094,2418200,150.02000427246094
2024-03-08,149.74000549316406,149.75,146.7100067138672,147.91000366210938,3704400,147.91000366210938
2024-03-11,147.91000366210938,149.35000610351562,146.52999877929688,149.0,2324100,149.0
2024-03-12,149.39999389648438,150.74000549316406,148.69000244140625,149.69000244140625,3268500,149.69000244140625
2024-03-13,129.14999389648438,133.3699951171875,126.80000305175781,128.4199981689453,14563600,128.4199981689453
2024-03-14,128.5399932861328,129.57000732421875,124.01000213623047,125.2300033569336,5902600,125.2300033569336
2024-03-15,124.68000030517578,128.3800048828125,124.68000030517578,127.41999816894531,6023000,127.41999816894531
2024-03-18,126.72000122070312,128.17999267578125,126.62999725341797,127.25,6226400,127.25
2024-03-19,127.47000122070312,128.75,126.2699966430664,128.19000244140625,4544300,128.19000244140625
2024-03-20,127.87000274658203,128.8000030517578,126.58999633789062,128.10000610351562,4213600,128.10000610351562
2024-03-21,127.5,127.95999908447266,125.94999694824219,127.20999908447266,2868000,127.20999908447266
2024-03-22,127.5999984741211,127.5999984741211,125.55999755859375,125.70999908447266,2668400,125.70999908447266
2024-03-25,126.47000122070312,127.20999908447266,125.5,126.1500015258789,2580900,126.1500015258789
2024-03-26,126.0,128.5,125.77999877929688,127.52999877929688,3649600,127.52999877929688
2024-03-27,128.6199951171875,132.60000610351562,128.2100067138672,132.5,2436800,132.5
2024-03-28,132.49000549316406,133.94000244140625,132.16000366210938,133.14999389648438,5909900,133.14999389648438
2024-04-01,133.6699981689453,137.13999938964844,133.36000061035156,135.91000366210938,3152500,135.91000366210938
2024-04-02,135.8800048828125,135.8800048828125,132.77999877929688,134.72999572753906,3354400,134.72999572753906
2024-04-03,134.6300048828125,136.02000427246094,133.41000366210938,134.19000244140625,3111300,134.19000244140625
2024-04-04,134.58999633789062,135.94000244140625,129.5399932861328,129.74000549316406,3489400,129.74000549316406
2024-04-05,129.75999450683594,131.52000427246094,128.80999755859375,130.7100067138672,4408600,130.7100067138672
2024-04-08,129.77000427246094,130.4499969482422,128.13999938964844,128.22000122070312,3402700,128.22000122070312
2024-04-09,128.00999450683594,128.92999267578125,126.58000183105469,127.33000183105469,2093000,127.33000183105469
2024-04-10,125.45999908447266,129.25999450683594,124.91000366210938,128.72999572753906,2436800,128.72999572753906
2024-04-11,130.0,131.4199981689453,128.72000122070312,130.25,2005600,130.25
2024-04-12,129.14999389648438,129.6300048828125,124.9800033569336,125.19000244140625,3462800,125.19000244140625
2024-04-15,127.19000244140625,128.0,125.31999969482422,125.36000061035156,2201900,125.36000061035156
2024-04-16,124.80999755859375,125.72000122070312,123.33999633789062,124.05999755859375,1936700,124.05999755859375
2024-04-17,125.06999969482422,125.19999694824219,123.0999984741211,123.75,1863100,123.75
