,Open,High,Low,Close,Volume,Adj Close
2024-03-01,139.0800018310547,141.27999877929688,138.52000427246094,140.7899932861328,1782500,139.44650268554688
2024-03-04,140.4499969482422,141.42999267578125,138.72000122070312,138.80999755859375,2705000,137.4853973388672
2024-03-05,137.66000366210938,137.85000610351562,135.00999450683594,136.27999877929688,2750200,134.97952270507812
2024-03-06,137.13999938964844,137.47000122070312,134.57000732421875,135.52000427246094,2232100,134.226806640625
2024-03-07,135.94000244140625,136.7899932861328,134.30999755859375,135.39999389648438,3342300,134.10791015625
2024-03-08,135.6300048828125,135.8800048828125,134.3699951171875,135.14999389648438,1645700,133.86033630371094
2024-03-11,134.94000244140625,137.88999938964844,134.72999572753906,136.72999572753906,2547600,135.42523193359375
2024-03-12,136.44000244140625,137.39999389648438,135.60000610351562,136.02000427246094,1633000,134.72201538085938
2024-03-13,135.97000122070312,138.07000732421875,135.97000122070312,136.9600067138672,2809400,135.6530303955078
2024-03-14,136.9600067138672,137.0399932861328,134.17999267578125,135.02999877929688,2353200,133.74147033691406
2024-03-15,134.4499969482422,135.4499969482422,133.67999267578125,134.27000427246094,4225500,132.9887237548828
2024-03-18,134.14999389648438,134.9199981689453,132.24000549316406,132.47999572753906,3603100,131.21580505371094
2024-03-19,131.6699981689453,133.2899932861328,131.0,132.9600067138672,2466600,131.69122314453125
2024-03-20,133.36000061035156,133.8800048828125,131.27000427246094,132.32000732421875,2999000,131.0573272705078
2024-03-21,132.5,134.22000122070312,131.8300018310547,132.47999572753906,2075400,131.21580505371094
2024-03-22,132.89999389648438,133.1300048828125,131.6199951171875,131.6999969482422,1770500,130.44322204589844
2024-03-25,131.6300048828125,131.6300048828125,129.3800048828125,130.52000427246094,2539700,129.2744903564453
2024-03-26,130.38999938964844,131.5,130.36000061035156,130.89999389648438,2272300,129.65087890625
2024-03-27,131.0500030517578,132.27000427246094,130.7100067138672,131.8699951171875,1802600,130.61160278320312
2024-03-28,132.17999267578125,133.1999969482422,131.57000732421875,132.6699981689453,2368800,131.40399169921875
2024-04-01,132.82000732421875,133.36000061035156,132.0,133.33999633789062,1392700,132.06756591796875
2024-04-02,132.99000549316406,133.41000366210938,131.66000366210938,132.14999389648438,2032600,130.8889617919922
2024-04-03,132.17999267578125,133.02000427246094,131.3000030517578,132.52000427246094,1851300,131.25540161132812
2024-04-04,133.1999969482422,133.47999572753906,129.0399932861328,129.55999755859375,2289700,128.3236541748047
2024-04-05,129.22000122070312,130.77999877929688,128.91000366210938,130.2899932861328,1640000,129.04669189453125
2024-04-08,130.2899932861328,130.72999572753906,129.42999267578125,130.0,2290900,128.7594757080078
2024-04-09,130.49000549316406,131.63999938964844,130.02000427246094,130.69000244140625,1966800,129.44288635253906
2024-04-10,129.89999389648438,130.32000732421875,128.4499969482422,129.3000030517578,2450900,128.06614685058594
2024-04-11,129.0800018310547,130.25999450683594,128.58999633789062,129.17999267578125,2296900,127.94727325439453
2024-04-12,128.52999877929688,128.92999267578125,127.5999984741211,127.88999938964844,1714900,126.66959381103516
2024-04-15,128.2100067138672,128.39999389648438,126.55000305175781,127.05000305175781,1419700,125.83760833740234
2024-04-16,127.72000122070312,128.77000427246094,126.36000061035156,126.55000305175781,1899900,125.3423843383789
2024-04-17,126.87000274658203,127.52999877929688,126.29000091552734,126.30999755859375,1699200,125.10467529296875
2024-04-18,127.08999633789062,127.38999938964844,125.11000061035156,125.62999725341797,1389500,124.43115997314453
2024-04-19,126.05000305175781,127.45999908447266,125.73999786376953,127.2699966430664,1869200,126.05550384521484
2024-04-22,127.73999786376953,128.0,126.83000183105469,127.12000274658203,1275200,125.90694427490234
2024-04-23,127.30000305175781,127.91999816894531,126.75,127.13999938964844,1401800,125.92674255371094
2024-04-24,126.5,128.25999450683594,126.36000061035156,128.13999938964844,1483400,126.91719055175781
2024-04-25,128.49000549316406,128.72000122070312,126.20999908447266,127.30999755859375,1221500,126.09512329101562
2024-04-26,126.72000122070312,128.9499969482422,126.72000122070312,127.9000015258789,1220600,126.67950439453125
2024-04-29,127.6500015258789,128.75,127.43000030517578,127.9000015258789,1302200,126.67950439453125
2024-04-30,127.38999938964844,127.38999938964844,126.55000305175781,126.81999969482422,1804900,125.60979461669922
2024-05-01,126.63999938964844,129.6199951171875,126.2300033569336,128.17999267578125,1820300,126.95681762695312
2024-05-02,128.74000549316406,129.10000610351562,126.5999984741211,128.5,1544900,127.2737808227539
2024-05-03,129.1199951171875,130.47000122070312,129.00999450683594,129.55999755859375,1650200,128.3236541748047
2024-05-06,129.99000549316406,130.99000549316406,129.55999755859375,130.55999755859375,1708600,129.3141326904297
2024-05-07,130.47000122070312,131.52000427246094,130.07000732421875,130.24000549316406,3382800,128.99717712402344
2024-05-08,127.08999633789062,131.52000427246094,125.06999969482422,125.23999786376953,4269900,124.04488372802734
2024-05-09,125.2699966430664,127.69999694824219,124.91999816894531,127.12000274658203,3186300,125.90694427490234
2024-05-10,126.16000366210938,127.31999969482422,125.12000274658203,127.13999938964844,2023100,125.92674255371094
2024-05-13,127.43000030517578,128.1300048828125,126.44999694824219,126.58000183105469,2383000,125.3720932006836
2024-05-14,125.94999694824219,126.9000015258789,125.44999694824219,126.58999633789062,2107200,125.38199615478516
2024-05-15,127.1500015258789,128.5800018310547,126.56999969482422,127.62000274658203,2222400,126.40216827392578
2024-05-16,128.0800018310547,129.25,127.02999877929688,129.16000366210938,2275200,127.92749786376953
2024-05-17,128.13999938964844,128.89999389648438,126.33999633789062,127.75,3206000,126.53092956542969
2024-05-20,127.54000091552734,128.36000061035156,126.80000305175781,128.3000030517578,1753000,127.07568359375
2024-05-21,127.6500015258789,128.9499969482422,127.6500015258789,128.85000610351562,1693500,127.62045288085938
2024-05-22,129.1999969482422,135.3300018310547,129.19000244140625,135.13999938964844,5366300,133.85040283203125
2024-05-23,135.47000122070312,135.72000122070312,133.72000122070312,134.39999389648438,3881600,133.11746215820312
2024-05-24,134.27000427246094,135.63999938964844,133.82000732421875,135.05999755859375,1648600,133.7711639404297
2024-05-28,133.1999969482422,134.02999877929688,130.58999633789062,132.0500030517578,4167800,130.78990173339844
2024-05-29,131.27999877929688,133.02999877929688,130.92999267578125,131.97000122070312,2427400,130.8990020751953
2024-05-30,131.61000061035156,132.2100067138672,130.42999267578125,131.22999572753906,2692700,130.16497802734375
2024-05-31,131.2100067138672,133.02000427246094,129.0800018310547,132.8800048828125,4525200,131.80162048339844
2024-06-03,132.8800048828125,134.89999389648438,132.61000061035156,132.99000549316406,2254300,131.91073608398438
