,Open,High,Low,Close,Volume,Adj Close
2024-03-01,271.1000061035156,272.29998779296875,267.82000732421875,270.9800109863281,838000,267.6624450683594
2024-03-04,270.1400146484375,271.3999938964844,267.1499938964844,269.1700134277344,733600,265.8746032714844
2024-03-05,268.4599914550781,269.42999267578125,259.3699951171875,260.69000244140625,653900,257.4984436035156
2024-03-06,262.79998779296875,267.260009765625,261.67999267578125,264.5,530900,261.26177978515625
2024-03-07,266.95001220703125,271.19000244140625,265.1099853515625,270.95001220703125,774200,267.6328430175781
2024-03-08,272.1499938964844,272.9700012207031,268.0799865722656,270.0,952200,266.6944885253906
2024-03-11,270.0,270.2300109863281,262.9800109863281,263.1499938964844,638000,259.9283447265625
2024-03-12,262.5299987792969,268.9599914550781,261.9100036621094,268.19000244140625,489800,264.9066162109375
2024-03-13,267.7799987792969,268.8999938964844,261.6499938964844,261.7799987792969,884900,258.5751037597656
2024-03-14,260.67999267578125,261.5199890136719,253.83999633789062,256.7099914550781,693500,253.56715393066406
2024-03-15,252.57000732421875,256.8699951171875,251.24000549316406,252.94000244140625,1286300,249.84332275390625
2024-03-18,255.11000061035156,255.97999572753906,252.72999572753906,255.07000732421875,532200,251.94725036621094
2024-03-19,254.4499969482422,260.0899963378906,253.35000610351562,259.8399963378906,515400,256.6587829589844
2024-03-20,260.2200012207031,264.82000732421875,259.25,264.69000244140625,502000,261.4494323730469
2024-03-21,266.67999267578125,274.75,265.69000244140625,265.9800109863281,979800,262.72369384765625
2024-03-22,266.3699951171875,266.8399963378906,261.19000244140625,264.1600036621094,512300,260.92596435546875
2024-03-25,263.95001220703125,264.5400085449219,260.9599914550781,261.05999755859375,658600,257.8638916015625
2024-03-26,262.42999267578125,262.67999267578125,260.0,260.4700012207031,526800,257.2811279296875
2024-03-27,263.32000732421875,263.32000732421875,260.04998779296875,262.3999938964844,745300,259.1874694824219
2024-03-28,263.6099853515625,268.04998779296875,263.6099853515625,267.5199890136719,706500,264.2447814941406
2024-04-01,267.9800109863281,270.0,260.6400146484375,260.7300109863281,491500,257.5379638671875
2024-04-02,257.0,257.5400085449219,250.14999389648438,255.6999969482422,832100,252.5695343017578
2024-04-03,252.9499969482422,257.6099853515625,252.9499969482422,255.88999938964844,658900,252.7572021484375
2024-04-04,258.7699890136719,260.510009765625,251.94000244140625,252.0399932861328,469400,248.95433044433594
2024-04-05,251.1300048828125,256.4700012207031,250.00999450683594,256.1499938964844,588100,253.01402282714844
2024-04-08,257.0299987792969,259.30999755859375,256.6400146484375,259.0299987792969,561400,255.85879516601562
2024-04-09,261.54998779296875,263.2099914550781,259.25,262.739990234375,670400,259.5233459472656
2024-04-10,254.10000610351562,254.10000610351562,247.25999450683594,248.49000549316406,1100900,245.44778442382812
2024-04-11,251.17999267578125,251.66000366210938,246.6300048828125,249.22000122070312,594500,246.16885375976562
2024-04-12,246.47000122070312,248.17999267578125,244.00999450683594,246.99000549316406,699100,243.96617126464844
2024-04-15,250.0500030517578,250.6199951171875,240.61000061035156,242.9199981689453,897600,239.9459686279297
2024-04-16,242.1199951171875,242.1199951171875,238.0399932861328,238.57000732421875,1058400,235.64926147460938
2024-04-17,241.07000732421875,242.8800048828125,237.58999633789062,237.67999267578125,1616400,234.7701416015625
2024-04-18,215.6300048828125,231.41000366210938,213.02000427246094,217.50999450683594,3635700,214.84707641601562
2024-04-19,216.6300048828125,218.2100067138672,213.05999755859375,216.1999969482422,2083200,213.55311584472656
2024-04-22,220.38999938964844,221.3300018310547,215.32000732421875,218.92999267578125,2071900,216.24969482421875
2024-04-23,219.13999938964844,225.47000122070312,219.13999938964844,224.4600067138672,1007500,221.71200561523438
2024-04-24,224.61000061035156,227.75,221.52999877929688,225.7100067138672,1239600,222.94667053222656
2024-04-25,223.4499969482422,227.77999877929688,220.5,226.27999877929688,1193900,223.50970458984375
2024-04-26,226.7899932861328,227.89999389648438,223.1999969482422,223.4199981689453,880100,220.6847381591797
2024-04-29,224.5399932861328,226.61000061035156,223.05999755859375,225.52000427246094,600000,222.75900268554688
2024-04-30,224.3300018310547,226.75999450683594,220.0,220.19000244140625,793000,217.4942626953125
2024-05-01,220.08999633789062,226.02000427246094,218.4199981689453,220.6699981689453,975600,217.9683837890625
2024-05-02,222.50999450683594,225.19000244140625,218.91000366210938,224.5,535100,221.7515106201172
2024-05-03,229.47999572753906,233.77000427246094,226.49000549316406,227.0500030517578,731000,224.27029418945312
2024-05-06,230.00999450683594,234.02999877929688,229.0,231.33999633789062,792200,228.50775146484375
2024-05-07,232.60000610351562,239.1300048828125,232.60000610351562,236.74000549316406,901500,233.84165954589844
2024-05-08,235.07000732421875,237.10000610351562,233.82000732421875,234.3000030517578,519700,231.4315185546875
2024-05-09,234.57000732421875,240.3699951171875,233.58999633789062,239.22000122070312,764100,236.2913055419922
2024-05-10,241.24000549316406,243.25999450683594,239.02999877929688,241.58999633789062,747500,238.63226318359375
