,Open,High,Low,Close,Volume,Adj Close
2024-03-04,369.5799865722656,371.9100036621094,365.489990234375,367.5,390300,356.11602783203125
2024-03-05,368.1199951171875,371.9599914550781,365.79998779296875,366.92999267578125,364300,355.5636291503906
2024-03-06,368.7099914550781,371.55999755859375,365.7900085449219,370.17999267578125,286000,358.7129821777344
2024-03-07,369.510009765625,372.4200134277344,364.54998779296875,367.5,446900,356.11602783203125
2024-03-08,365.510009765625,369.8500061035156,363.3399963378906,367.70001220703125,332600,356.309814453125
2024-03-11,367.3399963378906,381.3599853515625,365.5899963378906,379.6700134277344,382500,367.9090270996094
2024-03-12,379.0400085449219,383.8900146484375,378.3399963378906,383.57000732421875,340900,371.688232421875
2024-03-13,385.0,388.19000244140625,383.8699951171875,386.0400085449219,303000,374.0816955566406
2024-03-14,384.7900085449219,388.5,384.7900085449219,388.30999755859375,247900,376.2814025878906
2024-03-15,386.5899963378906,393.29998779296875,386.5899963378906,392.8699951171875,844900,380.70013427734375
2024-03-18,389.5299987792969,392.1400146484375,388.05999755859375,388.1099853515625,384200,377.7702941894531
2024-03-19,391.17999267578125,393.1499938964844,387.3800048828125,387.3999938964844,246300,377.0791931152344
2024-03-20,386.510009765625,390.92999267578125,386.510009765625,390.7200012207031,349600,380.3107604980469
2024-03-21,390.5400085449219,390.5400085449219,382.5899963378906,384.42999267578125,479900,374.1883239746094
2024-03-22,384.8299865722656,385.5299987792969,382.739990234375,384.1700134277344,271800,373.9352722167969
2024-03-25,384.5799865722656,392.3999938964844,383.6000061035156,391.8999938964844,253200,381.4593200683594
2024-03-26,391.0,393.4700012207031,386.94000244140625,388.30999755859375,279600,377.9649658203125
2024-03-27,391.5199890136719,396.2200012207031,390.19000244140625,395.7900085449219,245600,385.2456970214844
2024-03-28,396.57000732421875,399.8800048828125,396.29998779296875,397.5,241500,386.91015625
2024-04-01,395.95001220703125,399.4599914550781,395.30999755859375,398.0400085449219,191400,387.4357604980469
2024-04-02,399.57000732421875,400.75,391.79998779296875,391.8699951171875,305500,381.43011474609375
2024-04-03,390.95001220703125,391.8800048828125,384.760009765625,387.6199951171875,374500,377.29339599609375
2024-04-04,390.4800109863281,391.69000244140625,379.3999938964844,379.4599914550781,289900,369.3507385253906
2024-04-05,382.0400085449219,384.5899963378906,378.260009765625,379.8599853515625,251900,369.7401123046875
2024-04-08,381.2699890136719,384.0799865722656,379.2099914550781,381.1099853515625,220200,370.9567565917969
2024-04-09,380.6600036621094,380.7799987792969,369.739990234375,371.5,307600,361.6028137207031
2024-04-10,372.79998779296875,376.1400146484375,369.19000244140625,371.6400146484375,289200,361.7391052246094
2024-04-11,368.3500061035156,371.7300109863281,362.6199951171875,366.1499938964844,343000,356.3953857421875
2024-04-12,364.489990234375,368.0,361.1099853515625,361.80999755859375,243700,352.1709899902344
2024-04-15,364.6499938964844,368.1400146484375,359.1000061035156,359.5299987792969,207000,349.9516906738281
2024-04-16,359.9200134277344,361.8500061035156,356.5299987792969,359.9200134277344,302900,350.33135986328125
2024-04-17,356.8699951171875,358.7900085449219,354.0799865722656,357.1400146484375,446700,347.6253967285156
2024-04-18,359.70001220703125,362.1600036621094,355.2200012207031,360.2099914550781,399200,350.6135559082031
2024-04-19,361.8800048828125,370.5400085449219,360.0,370.260009765625,425200,360.3958740234375
2024-04-22,371.29998779296875,376.0,369.3500061035156,372.8399963378906,233600,362.9071044921875
2024-04-23,373.8699951171875,374.57000732421875,367.8900146484375,368.6700134277344,285000,358.8482360839844
2024-04-24,366.32000732421875,367.2799987792969,362.17999267578125,365.739990234375,336000,355.99627685546875
2024-04-25,367.25,370.29998779296875,362.45001220703125,365.760009765625,330800,356.0157470703125
2024-04-26,363.8500061035156,366.3699951171875,361.44000244140625,364.70001220703125,294100,354.9839782714844
2024-04-29,365.0,369.489990234375,364.9599914550781,369.1099853515625,424700,359.27642822265625
2024-04-30,360.0,367.6199951171875,351.5199890136719,366.4100036621094,563300,356.6484069824219
2024-05-01,366.6300048828125,375.17999267578125,366.6300048828125,369.8999938964844,567000,360.0454406738281
2024-05-02,372.0799865722656,373.4200134277344,366.29998779296875,372.07000732421875,531400,362.15765380859375
2024-05-03,371.05999755859375,371.1099853515625,363.4700012207031,369.6499938964844,194900,359.8021240234375
2024-05-06,370.9700012207031,379.1099853515625,370.239990234375,379.0,290900,368.90301513671875
2024-05-07,381.1600036621094,381.3399963378906,376.6000061035156,378.6400146484375,319800,368.5526123046875
2024-05-08,380.739990234375,383.57000732421875,377.3599853515625,380.9700012207031,196100,370.8205261230469
2024-05-09,380.489990234375,382.8800048828125,379.45001220703125,380.5299987792969,140400,370.3922424316406
2024-05-10,381.4100036621094,385.55999755859375,380.9700012207031,382.92999267578125,145200,372.728271484375
2024-05-13,382.4100036621094,384.9100036621094,380.760009765625,381.17999267578125,191900,371.02490234375
2024-05-14,380.510009765625,380.510009765625,374.5799865722656,378.760009765625,219400,368.66937255859375
2024-05-15,378.55999755859375,380.95001220703125,374.6499938964844,375.1099853515625,201300,365.1166076660156
