,Open,High,Low,Close,Volume,Adj Close
2024-03-01,108.48999786376953,109.18000030517578,107.58999633789062,108.13999938964844,3356800,104.47732543945312
2024-03-04,108.18000030517578,109.83000183105469,108.08999633789062,109.51000213623047,3703200,105.80091094970703
2024-03-05,109.06999969482422,109.66999816894531,108.91999816894531,109.0199966430664,3465000,105.32750701904297
2024-03-06,110.0,110.63999938964844,109.54000091552734,109.80000305175781,2561600,106.08110046386719
2024-03-07,110.30000305175781,111.05000305175781,110.01000213623047,110.27999877929688,2033800,106.5448226928711
2024-03-08,110.69000244140625,111.19999694824219,109.9800033569336,110.1500015258789,1655800,106.41924285888672
2024-03-11,109.62999725341797,109.7699966430664,108.4800033569336,109.6500015258789,1892200,105.93617248535156
2024-03-12,109.7300033569336,110.69000244140625,109.26000213623047,110.5999984741211,1755400,106.85399627685547
2024-03-13,110.70999908447266,111.12999725341797,109.88999938964844,110.3499984741211,1801900,106.61245727539062
2024-03-14,110.63999938964844,111.0,109.69000244140625,110.41000366210938,2883300,106.6704330444336
2024-03-15,109.69000244140625,111.06999969482422,109.58999633789062,110.58999633789062,6537600,106.84432983398438
2024-03-18,111.16999816894531,112.08000183105469,110.95999908447266,111.05999755859375,3071500,107.29841613769531
2024-03-19,110.66999816894531,111.7300033569336,110.19000244140625,111.29000091552734,2544000,107.5206298828125
2024-03-20,111.16000366210938,112.19999694824219,110.2300033569336,112.0199966430664,2195300,108.22589874267578
2024-03-21,112.4800033569336,113.3499984741211,112.0199966430664,112.5999984741211,2410900,108.78626251220703
2024-03-22,112.56999969482422,112.86000061035156,111.9800033569336,112.44999694824219,1479300,108.6413345336914
2024-03-25,112.33000183105469,112.69999694824219,111.63999938964844,111.7300033569336,1435900,107.94571685791016
2024-03-26,111.62000274658203,112.08000183105469,111.30999755859375,111.94999694824219,1812800,108.15827178955078
2024-03-27,112.0,113.45999908447266,111.6500015258789,113.44999694824219,1937300,109.60746002197266
2024-03-28,113.69000244140625,113.88999938964844,113.04000091552734,113.41999816894531,2322600,109.57848358154297
2024-04-01,113.2699966430664,114.11000061035156,113.18000030517578,113.54000091552734,2057200,109.69441986083984
2024-04-02,113.31999969482422,113.56999969482422,112.29000091552734,113.2699966430664,1964400,109.43355560302734
2024-04-03,113.44000244140625,114.19000244140625,113.08000183105469,113.54000091552734,1981800,109.69441986083984
2024-04-04,114.44999694824219,114.94000244140625,112.63999938964844,113.04000091552734,1888400,109.21135711669922
2024-04-05,113.61000061035156,114.7699966430664,113.30000305175781,114.54000091552734,1693800,110.66053771972656
2024-04-08,114.70999908447266,114.97000122070312,113.9800033569336,114.66999816894531,1775600,110.7861328125
2024-04-09,115.0,115.26000213623047,113.0999984741211,114.25,1877500,110.38037109375
2024-04-10,112.6500015258789,114.23999786376953,112.5199966430664,114.08000183105469,2012900,110.21613311767578
2024-04-11,114.02999877929688,114.20999908447266,112.95999908447266,113.5199966430664,1673000,109.67508697509766
2024-04-12,112.75,113.41999816894531,111.81999969482422,112.6500015258789,1981100,108.83456420898438
2024-04-15,114.26000213623047,114.37000274658203,111.44000244140625,111.76000213623047,1708500,107.97469329833984
2024-04-16,111.87000274658203,112.0199966430664,110.5,111.48999786376953,2326200,107.7138442993164
2024-04-17,112.05000305175781,112.33000183105469,109.5999984741211,109.80999755859375,2317300,106.09074401855469
2024-04-18,110.83000183105469,110.83000183105469,108.94000244140625,109.30999755859375,1677900,105.60768127441406
2024-04-19,109.58000183105469,110.12000274658203,108.36000061035156,108.58000183105469,2107900,104.90242004394531
2024-04-22,108.83000183105469,109.66999816894531,108.11000061035156,108.62999725341797,2448900,104.95071411132812
2024-04-23,109.0999984741211,110.44000244140625,108.69999694824219,109.7699966430664,2081900,106.0521240234375
2024-04-24,110.44000244140625,110.5,108.6500015258789,109.62000274658203,1876700,105.90719604492188
2024-04-25,108.44999694824219,110.30999755859375,107.80000305175781,109.5999984741211,1640100,105.88787078857422
2024-04-26,109.36000061035156,110.7300033569336,109.0199966430664,109.88999938964844,1364500,106.16803741455078
2024-04-29,109.4000015258789,110.76000213623047,109.36000061035156,109.76000213623047,2057900,106.04244995117188
2024-04-30,109.5,109.9000015258789,107.58999633789062,107.77999877929688,3962900,104.12950897216797
2024-05-01,107.52999877929688,108.61000061035156,106.22000122070312,106.44999694824219,3875200,102.84455108642578
2024-05-02,107.19999694824219,107.86000061035156,105.2699966430664,106.41000366210938,3587700,102.80592346191406
2024-05-03,107.16999816894531,107.37999725341797,105.94999694824219,106.54000091552734,5925900,102.9315185546875
2024-05-06,107.02999877929688,107.41000366210938,104.93000030517578,106.23999786376953,7467900,102.64167022705078
2024-05-07,106.61000061035156,107.55999755859375,106.01000213623047,107.4000015258789,6898500,103.76237487792969
2024-05-08,104.19999694824219,113.0,103.9000015258789,112.6500015258789,6172800,108.83456420898438
2024-05-09,114.38999938964844,115.7699966430664,114.12999725341797,115.58999633789062,4983100,111.67497253417969
2024-05-10,116.30999755859375,116.76000213623047,115.16999816894531,115.55000305175781,2422500,111.63634490966797
2024-05-13,115.47000122070312,115.95999908447266,114.70999908447266,114.81999969482422,1857200,110.93106079101562
2024-05-14,114.63999938964844,115.0199966430664,113.97000122070312,114.3499984741211,1514900,110.47698974609375
2024-05-15,115.0,115.38999938964844,114.38999938964844,114.81999969482422,1948900,110.93106079101562
2024-05-16,114.0,114.63999938964844,112.79000091552734,112.81999969482422,1927700,109.49948120117188
2024-05-17,113.37999725341797,113.37999725341797,112.26000213623047,112.87999725341797,1619700,109.55770111083984
2024-05-20,113.11000061035156,114.55000305175781,113.01000213623047,113.69999694824219,1852500,110.35357666015625
2024-05-21,113.54000091552734,114.05000305175781,113.37999725341797,113.69999694824219,2357300,110.35357666015625
2024-05-22,113.68000030517578,114.68000030517578,113.36000061035156,114.68000030517578,1931100,111.30474090576172
2024-05-23,115.44000244140625,115.62000274658203,112.33999633789062,112.48999786376953,2642700,109.17919921875
2024-05-24,113.04000091552734,113.66999816894531,112.66999816894531,113.41999816894531,1345000,110.08181762695312
2024-05-28,113.66000366210938,114.04000091552734,111.7699966430664,112.05000305175781,2257400,108.75214385986328
2024-05-29,111.29000091552734,111.54000091552734,110.5199966430664,110.91999816894531,1831600,107.6553955078125
2024-05-30,110.77999877929688,111.43000030517578,110.0999984741211,110.9000015258789,2051300,107.63599395751953
2024-05-31,110.75,112.25,109.54000091552734,112.16000366210938,4318100,108.85891723632812
2024-06-03,112.69000244140625,112.79000091552734,108.66999816894531,109.02999877929688,2870300,105.82102966308594
2024-06-04,108.27999877929688,108.87999725341797,106.5,106.87000274658203,3012900,103.724609375
2024-06-05,107.48999786376953,108.33000183105469,107.04000091552734,108.27999877929688,2030200,105.09310150146484
2024-06-06,108.36000061035156,108.52999877929688,105.80000305175781,105.97000122070312,2385000,102.8510971069336
2024-06-07,106.1500015258789,108.12999725341797,105.87000274658203,107.9800033569336,3173700,104.80194091796875
2024-06-10,107.9800033569336,109.51000213623047,107.69000244140625,108.7300033569336,1871400,105.52986145019531
2024-06-11,108.19999694824219,108.54000091552734,106.63999938964844,107.61000061035156,1566500,104.44282531738281
2024-06-12,108.54000091552734,109.13999938964844,107.25,108.5,2109700,105.3066177368164
2024-06-13,108.23999786376953,108.7300033569336,107.29000091552734,108.52999877929688,1865700,105.33573150634766
2024-06-14,107.36000061035156,107.75,105.87999725341797,106.45999908447266,1829200,103.32666015625
2024-06-17,106.5199966430664,107.41000366210938,105.69999694824219,107.37000274658203,2017300,104.20988464355469
2024-06-18,107.3499984741211,108.83999633789062,106.77999877929688,108.68000030517578,2078200,105.4813232421875
2024-06-20,108.73999786376953,108.75,107.70999908447266,108.13999938964844,1984600,104.95722961425781
2024-06-21,108.25,108.61000061035156,106.69000244140625,108.41000366210938,3029100,105.21928405761719
2024-06-24,109.0199966430664,110.1500015258789,108.66999816894531,109.31999969482422,2043900,106.10247802734375
2024-06-25,109.20999908447266,109.55999755859375,107.5,107.87000274658203,2004300,104.6951675415039
2024-06-26,107.37999725341797,107.76000213623047,105.69999694824219,106.12000274658203,2500500,102.99666595458984
2024-06-27,106.5,108.31999969482422,106.25,108.29000091552734,3472900,105.1028060913086
2024-06-28,108.76000213623047,111.05000305175781,108.44000244140625,110.16000366210938,4756200,106.91777038574219
2024-07-01,111.05999755859375,111.33999633789062,107.94000244140625,108.05000305175781,2422300,104.869873046875
2024-07-02,108.0,109.33999633789062,107.86000061035156,109.2699966430664,2474900,106.05394744873047
2024-07-03,109.7300033569336,110.7300033569336,109.11000061035156,109.55999755859375,1074800,106.33541870117188
2024-07-05,109.41999816894531,109.9000015258789,108.2699966430664,109.45999908447266,1468600,106.2383804321289
2024-07-08,110.51000213623047,110.87999725341797,109.93000030517578,109.97000122070312,1510900,106.73336029052734
2024-07-09,109.44999694824219,110.58999633789062,109.01000213623047,109.58999633789062,1266700,106.36454772949219
2024-07-10,109.70999908447266,111.61000061035156,109.62999725341797,111.5,1877700,108.21833038330078
2024-07-11,111.7699966430664,114.29000091552734,111.44999694824219,114.1500015258789,2235900,110.79033660888672
2024-07-12,115.01000213623047,115.41999816894531,113.91000366210938,114.58999633789062,2082600,111.21736907958984
2024-07-15,114.83000183105469,117.3499984741211,114.73999786376953,116.97000122070312,2694400,113.52733612060547
2024-07-16,117.5,119.52999877929688,117.05000305175781,118.87000274658203,2423700,115.37141418457031
2024-07-17,118.3499984741211,118.75,117.13999938964844,118.25,3751200,114.76966094970703
2024-07-18,117.16000366210938,118.80000305175781,116.0199966430664,116.54000091552734,4304000,113.10999298095703
2024-07-19,117.36000061035156,117.43000030517578,114.95999908447266,115.68000030517578,2657800,112.27530670166016
2024-07-22,116.47000122070312,117.95999908447266,115.66999816894531,117.83000183105469,2424100,114.36202239990234
2024-07-23,117.5199966430664,118.66999816894531,117.12000274658203,117.62000274658203,1403300,114.15821075439453
2024-07-24,117.08999633789062,117.77999877929688,113.95999908447266,114.08000183105469,2151300,110.72239685058594
2024-07-25,114.33000183105469,116.43000030517578,113.51000213623047,114.58999633789062,2127200,111.21736907958984
2024-07-26,115.6500015258789,117.66000366210938,115.18000030517578,116.83999633789062,1488600,113.40115356445312
2024-07-29,116.9000015258789,118.06999969482422,116.36000061035156,117.80000305175781,1905000,114.33290100097656
2024-07-30,118.18000030517578,118.95999908447266,114.87000274658203,115.69999694824219,3039400,112.29471588134766
2024-07-31,117.58000183105469,118.04000091552734,116.62999725341797,117.11000061035156,2020000,113.66321563720703
2024-08-01,117.05999755859375,117.25,112.30000305175781,113.08999633789062,2533500,109.76152801513672
2024-08-02,110.94000244140625,111.0,107.4800033569336,109.20999908447266,3194500,105.99571990966797
2024-08-05,106.3499984741211,107.77999877929688,105.12999725341797,106.38999938964844,2618600,103.25873565673828
2024-08-06,106.81999969482422,109.36000061035156,106.44000244140625,107.77999877929688,3020300,104.60781860351562
2024-08-07,103.63999938964844,106.0,99.29000091552734,99.54000091552734,8060500,96.61033630371094
2024-08-08,100.8499984741211,104.86000061035156,100.45999908447266,104.61000061035156,4877100,101.53112030029297
2024-08-09,104.45999908447266,104.56999969482422,102.25,103.69000244140625,3644600,100.6382064819336
2024-08-12,103.80999755859375,103.98999786376953,102.30000305175781,103.06999969482422,2542900,100.03645324707031
2024-08-13,103.6500015258789,104.30999755859375,102.95999908447266,104.0999984741211,2598600,101.03612518310547
2024-08-14,102.5,103.98999786376953,102.37000274658203,103.48999786376953,3921000,100.44408416748047
2024-08-15,105.0,105.47000122070312,103.7300033569336,104.29000091552734,3309700,101.22053527832031
2024-08-16,103.63999938964844,103.81999969482422,102.23999786376953,103.08999633789062,3416300,100.56208038330078
2024-08-19,103.6500015258789,104.37000274658203,102.93000030517578,103.83999633789062,1761800,101.29368591308594
2024-08-20,103.91999816894531,104.26000213623047,102.80000305175781,103.12000274658203,2500500,100.59136199951172
2024-08-21,103.23999786376953,104.69000244140625,103.08999633789062,104.0199966430664,2262000,101.46927642822266
2024-08-22,104.3499984741211,105.02999877929688,103.4800033569336,104.36000061035156,2419800,101.80094909667969
2024-08-23,105.0,105.7699966430664,104.02999877929688,104.63999938964844,2774400,102.07408142089844
2024-08-26,105.31999969482422,105.66999816894531,104.19000244140625,104.91000366210938,1773300,102.33744812011719
2024-08-27,104.55999755859375,104.87999725341797,103.7699966430664,103.86000061035156,1586600,101.31321716308594
2024-08-28,103.83999633789062,104.79000091552734,103.4800033569336,103.91000366210938,2414800,101.36197662353516
2024-08-29,104.22000122070312,105.45999908447266,103.73999786376953,104.08999633789062,2953600,101.53755950927734
2024-08-30,104.29000091552734,105.5,103.88999938964844,105.38999938964844,3476200,102.8056869506836
2024-09-03,104.58000183105469,104.80000305175781,101.55000305175781,102.0199966430664,3380600,99.51831817626953
2024-09-04,101.75,102.4000015258789,100.2300033569336,100.86000061035156,2767400,98.38676452636719
2024-09-05,100.37000274658203,100.58999633789062,98.31999969482422,99.97000122070312,4207700,97.51860046386719
2024-09-06,99.95999908447266,100.7699966430664,97.3499984741211,98.19000244140625,2780800,95.7822494506836
2024-09-09,99.26000213623047,100.1500015258789,98.9000015258789,99.58000183105469,2843100,97.13815307617188
2024-09-10,99.76000213623047,99.83000183105469,98.0999984741211,99.0999984741211,3004700,96.66992950439453
2024-09-11,98.87000274658203,100.06999969482422,96.62000274658203,99.91000366210938,2335500,97.46006774902344
2024-09-12,100.23999786376953,101.5999984741211,99.13999938964844,101.47000122070312,3728800,98.9818115234375
2024-09-13,102.0,102.7300033569336,101.52999877929688,102.02999877929688,2156700,99.52806854248047
2024-09-16,102.69000244140625,103.5,102.0199966430664,102.38999938964844,2361900,99.87924194335938
2024-09-17,102.80999755859375,104.58000183105469,102.80999755859375,103.9000015258789,3125700,101.35222625732422
2024-09-18,104.18000030517578,105.4000015258789,103.41000366210938,103.68000030517578,2129800,101.13761138916016
2024-09-19,106.05999755859375,106.25,105.0199966430664,105.91000366210938,2748300,103.31293487548828
2024-09-20,105.2300033569336,105.88999938964844,104.27999877929688,105.16000366210938,8125400,102.5813217163086
2024-09-23,105.73999786376953,106.45999908447266,104.55999755859375,105.05000305175781,2428200,102.4740219116211
2024-09-24,106.25,108.0,106.05000305175781,106.33999633789062,2909100,103.73238372802734
2024-09-25,106.37000274658203,106.94000244140625,104.30999755859375,104.4000015258789,2817200,101.8399658203125
2024-09-26,105.63999938964844,109.16000366210938,105.4800033569336,108.9000015258789,4063100,106.22962188720703
2024-09-27,109.47000122070312,110.45999908447266,108.87000274658203,109.22000122070312,3174200,106.54175567626953
2024-09-30,108.6500015258789,109.55999755859375,108.12000274658203,109.37000274658203,2917100,106.68809509277344
2024-10-01,109.19000244140625,110.23999786376953,108.51000213623047,109.26000213623047,2823700,106.58079528808594
2024-10-02,109.26000213623047,110.98999786376953,108.94999694824219,110.47000122070312,3160400,107.76112365722656
2024-10-03,110.01000213623047,110.31999969482422,108.94999694824219,109.62999725341797,3236700,106.94171142578125
2024-10-04,111.87999725341797,111.87999725341797,109.93000030517578,111.44000244140625,2082200,108.70732879638672
2024-10-07,110.66000366210938,112.7699966430664,110.3499984741211,112.5199966430664,2776000,109.76083374023438
2024-10-08,111.44999694824219,111.62000274658203,108.56999969482422,109.41999816894531,2299500,106.73686218261719
2024-10-09,109.91000366210938,111.1500015258789,109.5999984741211,110.87999725341797,1531900,108.16106414794922
2024-10-10,110.79000091552734,111.27999877929688,109.8499984741211,110.87999725341797,1916100,108.16106414794922
2024-10-11,110.95999908447266,112.70999908447266,110.95999908447266,112.05999755859375,2113300,109.31212615966797
2024-10-14,112.05999755859375,112.75,111.44999694824219,112.63999938964844,1201900,109.87789916992188
2024-10-15,112.22000122070312,112.73999786376953,109.1500015258789,109.25,2585800,106.57102966308594
2024-10-16,109.63999938964844,111.18000030517578,109.16999816894531,110.58999633789062,1656900,107.878173828125
2024-10-17,111.2699966430664,111.2699966430664,109.87000274658203,110.44999694824219,2099100,107.7416000366211
2024-10-18,110.98999786376953,110.98999786376953,109.79000091552734,110.44000244140625,2124100,107.73186492919922
2024-10-21,110.51000213623047,110.80999755859375,109.5999984741211,110.41000366210938,2077600,107.70259094238281
2024-10-22,108.9000015258789,110.01000213623047,108.55000305175781,109.4800033569336,1536600,106.79539489746094
2024-10-23,108.72000122070312,109.58000183105469,107.91000366210938,108.51000213623047,3743800,105.84918212890625
2024-10-24,108.6500015258789,108.66999816894531,107.44999694824219,108.26000213623047,1845200,105.60530853271484
2024-10-25,108.66999816894531,109.08000183105469,107.97000122070312,108.12999725341797,1524100,105.47850036621094
2024-10-28,108.36000061035156,109.29000091552734,108.1500015258789,108.66000366210938,2150900,105.99549865722656
2024-10-29,108.26000213623047,109.66999816894531,107.77999877929688,108.91000366210938,1979300,106.23936462402344
2024-10-30,108.41000366210938,109.95999908447266,108.37000274658203,109.0199966430664,2345400,106.34666442871094
2024-10-31,108.54000091552734,109.44999694824219,107.81999969482422,108.2699966430664,3097500,105.61506652832031
