,Open,High,Low,Close,Volume,Adj Close
2024-03-01,301.989990234375,307.80999755859375,299.1499938964844,306.8299865722656,359500,306.8299865722656
2024-03-04,307.1099853515625,314.8299865722656,307.1099853515625,307.9200134277344,421700,307.9200134277344
2024-03-05,304.8999938964844,309.989990234375,303.2900085449219,306.5,783100,306.5
2024-03-06,308.489990234375,311.67999267578125,306.8999938964844,310.010009765625,634300,310.010009765625
2024-03-07,312.0,316.2099914550781,310.0199890136719,314.6300048828125,556900,314.6300048828125
2024-03-08,315.0,317.5,309.2200012207031,309.3999938964844,306600,309.3999938964844
2024-03-11,307.4200134277344,309.44000244140625,303.8299865722656,305.0799865722656,349600,305.0799865722656
2024-03-12,306.5,309.4800109863281,304.20001220703125,309.010009765625,378800,309.010009765625
2024-03-13,308.0,308.989990234375,302.1099853515625,302.989990234375,343800,302.989990234375
2024-03-14,303.80999755859375,303.80999755859375,298.55999755859375,302.239990234375,386000,302.239990234375
2024-03-15,298.5299987792969,302.19000244140625,297.8299865722656,298.8900146484375,618200,298.8900146484375
2024-03-18,299.17999267578125,301.6000061035156,291.9200134277344,292.70001220703125,349200,292.70001220703125
2024-03-19,293.6700134277344,296.20001220703125,291.6300048828125,295.6000061035156,275300,295.6000061035156
2024-03-20,295.2099914550781,295.5899963378906,288.010009765625,292.54998779296875,462800,292.54998779296875
2024-03-21,286.95001220703125,288.1300048828125,282.1700134277344,283.7099914550781,1101000,283.7099914550781
2024-03-22,281.2699890136719,283.4700012207031,266.3599853515625,270.82000732421875,1096100,270.82000732421875
2024-03-25,270.05999755859375,270.7200012207031,266.2900085449219,267.3399963378906,659100,267.3399963378906
2024-03-26,268.5299987792969,272.1199951171875,266.75,268.3999938964844,534600,268.3999938964844
2024-03-27,271.44000244140625,276.5299987792969,270.95001220703125,276.3699951171875,577200,276.3699951171875
2024-03-28,276.489990234375,281.6199951171875,273.80999755859375,276.1600036621094,405200,276.1600036621094
2024-04-01,275.55999755859375,277.0400085449219,270.82000732421875,272.04998779296875,295600,272.04998779296875
2024-04-02,269.0899963378906,271.6700134277344,265.6000061035156,271.42999267578125,457700,271.42999267578125
2024-04-03,270.80999755859375,271.489990234375,266.79998779296875,266.79998779296875,341800,266.79998779296875
2024-04-04,269.2200012207031,271.8999938964844,265.6700134277344,265.8599853515625,256500,265.8599853515625
2024-04-05,264.04998779296875,267.8299865722656,263.6000061035156,264.3599853515625,289400,264.3599853515625
2024-04-08,265.9100036621094,273.04998779296875,265.4200134277344,270.0,300400,270.0
2024-04-09,271.3399963378906,275.489990234375,270.8399963378906,274.1700134277344,264200,274.1700134277344
2024-04-10,267.6400146484375,271.6099853515625,265.2099914550781,266.7900085449219,379200,266.7900085449219
2024-04-11,269.54998779296875,269.54998779296875,264.5400085449219,266.510009765625,215100,266.510009765625
2024-04-12,263.1700134277344,265.25,257.489990234375,259.1600036621094,255800,259.1600036621094
2024-04-15,261.1099853515625,261.67999267578125,253.13999938964844,254.80999755859375,262900,254.80999755859375
2024-04-16,253.30999755859375,256.6199951171875,250.8300018310547,250.89999389648438,299000,250.89999389648438
2024-04-17,251.6999969482422,253.33999633789062,248.89999389648438,249.0,217600,249.0
2024-04-18,247.35000610351562,251.05999755859375,244.6999969482422,247.22000122070312,599300,247.22000122070312
2024-04-19,249.25999450683594,249.42999267578125,244.75999450683594,245.9600067138672,346000,245.9600067138672
2024-04-22,248.08999633789062,250.41000366210938,244.17999267578125,246.9499969482422,448500,246.9499969482422
2024-04-23,248.4499969482422,249.80999755859375,247.25999450683594,247.8000030517578,835500,247.8000030517578
2024-04-24,248.80999755859375,248.80999755859375,242.32000732421875,245.0,805500,245.0
2024-04-25,242.5,242.5500030517578,236.36000061035156,237.1300048828125,1490500,237.1300048828125
2024-04-26,239.5,239.99000549316406,235.35000610351562,237.75,553500,237.75
2024-04-29,239.1199951171875,241.05999755859375,237.5,239.2100067138672,297800,239.2100067138672
2024-04-30,236.25,238.8699951171875,234.82000732421875,235.25999450683594,438300,235.25999450683594
2024-05-01,235.85000610351562,240.92999267578125,232.52000427246094,234.97999572753906,336400,234.97999572753906
