,Open,High,Low,Close,Volume,Adj Close
2024-03-01,407.8599853515625,412.760009765625,400.2300109863281,404.2900085449219,122600,392.6090393066406
2024-03-04,403.6400146484375,417.44000244140625,402.1400146484375,412.1600036621094,94300,400.2515869140625
2024-03-05,411.7699890136719,411.7699890136719,405.8999938964844,408.4200134277344,74800,396.6196594238281
2024-03-06,408.55999755859375,416.54998779296875,405.8999938964844,411.7099914550781,61700,399.8145751953125
2024-03-07,413.1400146484375,420.3399963378906,411.3399963378906,417.3500061035156,92200,405.2916564941406
2024-03-08,415.57000732421875,418.6700134277344,413.5799865722656,415.8699951171875,70300,403.8543701171875
2024-03-11,415.8699951171875,415.8699951171875,402.3500061035156,402.7300109863281,109200,391.09405517578125
2024-03-12,401.0799865722656,409.2200012207031,398.05999755859375,408.4200134277344,71300,396.6196594238281
2024-03-13,411.4100036621094,414.54998779296875,405.6000061035156,407.8399963378906,106700,396.05645751953125
2024-03-14,409.8299865722656,411.1000061035156,406.1000061035156,408.69000244140625,78500,396.8818664550781
2024-03-15,406.7799987792969,419.0899963378906,406.7799987792969,416.7900085449219,311000,404.7478332519531
2024-03-18,415.45001220703125,419.7799987792969,409.4800109863281,411.2799987792969,89300,399.3970642089844
2024-03-19,412.8399963378906,414.4800109863281,408.6499938964844,412.0,100300,400.09619140625
2024-03-20,414.3500061035156,416.82000732421875,401.9200134277344,406.17999267578125,100600,394.4443664550781
2024-03-21,406.32000732421875,410.29998779296875,400.739990234375,407.44000244140625,76900,395.6679382324219
2024-03-22,408.32000732421875,409.2300109863281,394.7900085449219,400.2099914550781,90500,388.6468200683594
2024-03-25,402.7699890136719,406.1600036621094,400.70001220703125,404.7099914550781,58400,393.0168762207031
2024-03-26,402.20001220703125,408.3699951171875,401.2900085449219,405.9599914550781,111800,394.230712890625
2024-03-27,408.9700012207031,410.0,401.7699890136719,408.1700134277344,389300,396.37689208984375
2024-03-28,410.0400085449219,410.7799987792969,401.2799987792969,401.57000732421875,61300,389.9676208496094
2024-04-01,403.7099914550781,405.3699951171875,398.32000732421875,401.8900146484375,91900,390.27838134765625
2024-04-02,401.489990234375,402.2099914550781,393.739990234375,400.94000244140625,91300,389.35577392578125
2024-04-03,398.94000244140625,403.07000732421875,397.20001220703125,399.20001220703125,58000,387.6661071777344
2024-04-04,401.7200012207031,402.79998779296875,395.6099853515625,396.739990234375,64200,385.2771301269531
2024-04-05,398.3800048828125,402.44000244140625,394.29998779296875,400.5799865722656,74400,389.0061340332031
2024-04-08,401.19000244140625,403.2699890136719,396.5899963378906,398.4800109863281,61500,388.2024841308594
2024-04-09,400.6600036621094,400.6600036621094,391.239990234375,392.1300048828125,36300,382.0162658691406
2024-04-10,391.25,397.8800048828125,391.25,393.3599853515625,48000,383.2144775390625
2024-04-11,393.2200012207031,394.0,383.760009765625,384.2799987792969,52700,374.3686828613281
2024-04-12,381.9700012207031,386.5299987792969,379.1400146484375,381.1499938964844,40300,371.3194274902344
2024-04-15,384.9599914550781,385.7099914550781,378.3500061035156,378.8699951171875,41400,369.0982666015625
2024-04-16,378.1300048828125,383.2799987792969,377.05999755859375,380.9700012207031,55800,371.1440734863281
2024-04-17,382.75,382.75,375.6600036621094,378.19000244140625,64600,368.435791015625
2024-04-18,380.3500061035156,383.8699951171875,376.7900085449219,380.4599914550781,38900,370.6471862792969
2024-04-19,381.2799987792969,385.57000732421875,380.1600036621094,381.55999755859375,49800,371.7188415527344
2024-04-22,384.9700012207031,387.54998779296875,378.7900085449219,382.2099914550781,56500,372.35211181640625
2024-04-23,383.9800109863281,389.79998779296875,382.010009765625,385.69000244140625,56600,375.7423400878906
2024-04-24,382.70001220703125,385.3500061035156,379.8699951171875,382.6600036621094,61400,372.7904968261719
2024-04-25,379.5,382.75,377.4200134277344,380.260009765625,53600,370.452392578125
2024-04-26,385.6099853515625,386.6700134277344,371.30999755859375,381.739990234375,59000,371.8941955566406
2024-04-29,381.7099914550781,381.7099914550781,376.79998779296875,378.55999755859375,66500,368.7962341308594
2024-04-30,378.3299865722656,382.94000244140625,378.19000244140625,382.6600036621094,139900,372.7904968261719
2024-05-01,380.8900146484375,388.42999267578125,380.57000732421875,382.739990234375,71300,372.868408203125
2024-05-02,385.4599914550781,386.82000732421875,380.3399963378906,384.94000244140625,51200,375.0116882324219
2024-05-03,386.05999755859375,390.3999938964844,383.07000732421875,390.010009765625,45300,379.950927734375
2024-05-06,392.75,400.7200012207031,392.75,400.5299987792969,53000,390.1995849609375
2024-05-07,400.04998779296875,409.2799987792969,399.2900085449219,405.44000244140625,108000,394.98297119140625
2024-05-08,405.44000244140625,406.6199951171875,399.3699951171875,404.5,44200,394.06719970703125
2024-05-09,405.44000244140625,410.7799987792969,402.4700012207031,410.5299987792969,50600,399.941650390625
2024-05-10,411.7200012207031,411.7200012207031,404.8299865722656,406.57000732421875,53300,396.0838317871094
2024-05-13,406.8599853515625,409.45001220703125,401.79998779296875,402.7300109863281,85800,392.34283447265625
2024-05-14,401.3299865722656,403.54998779296875,392.94000244140625,394.1700134277344,91100,384.0036315917969
2024-05-15,393.94000244140625,399.3999938964844,393.30999755859375,394.8699951171875,53500,384.68560791015625
