,Open,High,Low,Close,Volume,Adj Close
2024-03-04,234.77000427246094,243.74000549316406,233.0399932861328,243.5800018310547,697000,226.3455047607422
2024-03-05,241.8300018310547,245.5399932861328,241.41000366210938,242.8000030517578,559100,225.62069702148438
2024-03-06,244.4199981689453,245.11000061035156,240.6300048828125,242.6999969482422,276700,225.5277557373047
2024-03-07,244.7899932861328,244.7899932861328,241.22000122070312,242.5,515100,225.34190368652344
2024-03-08,244.7899932861328,246.5,244.17999267578125,245.44000244140625,372700,228.0738983154297
2024-03-11,245.44000244140625,247.61000061035156,242.74000549316406,242.97000122070312,277700,225.7786865234375
2024-03-12,241.5800018310547,244.05999755859375,238.74000549316406,240.6300048828125,300000,223.604248046875
2024-03-13,240.0800018310547,243.10000610351562,240.0800018310547,242.33999633789062,278900,225.1932373046875
2024-03-14,240.9199981689453,241.00999450683594,234.63999938964844,237.1300048828125,409100,220.35186767578125
2024-03-15,235.02999877929688,239.83999633789062,235.02999877929688,239.07000732421875,562300,222.15460205078125
2024-03-18,240.1199951171875,240.1199951171875,236.69000244140625,237.60000610351562,305400,220.7886199951172
2024-03-19,237.9499969482422,238.9499969482422,235.4199981689453,236.1300048828125,244900,219.42263793945312
2024-03-20,234.36000061035156,241.61000061035156,234.36000061035156,240.6999969482422,353200,223.66928100585938
2024-03-21,241.5,244.8000030517578,240.16000366210938,244.00999450683594,315100,226.74505615234375
2024-03-22,244.3800048828125,245.00999450683594,240.1699981689453,241.99000549316406,360000,224.86802673339844
2024-03-25,241.27999877929688,243.3000030517578,238.3300018310547,239.52999877929688,310100,222.58206176757812
2024-03-26,239.85000610351562,240.72999572753906,237.72000122070312,237.72999572753906,324100,220.90940856933594
2024-03-27,237.5,241.52000427246094,237.5,241.41000366210938,258600,226.66502380371094
2024-03-28,243.33999633789062,245.6199951171875,242.4499969482422,244.80999755859375,350000,229.85733032226562
2024-04-01,246.47999572753906,246.47999572753906,239.38999938964844,239.6699981689453,293000,225.0312957763672
2024-04-02,238.02999877929688,238.02999877929688,234.4499969482422,235.5,294600,221.1160125732422
2024-04-03,234.63999938964844,238.05999755859375,233.0800018310547,237.5,239400,222.99383544921875
2024-04-04,240.97999572753906,241.1999969482422,235.19000244140625,235.97999572753906,253200,221.566650390625
2024-04-05,234.4499969482422,238.77000427246094,234.4499969482422,237.67999267578125,170200,223.16282653808594
2024-04-08,239.55999755859375,244.8000030517578,239.55999755859375,243.5,286100,228.6273651123047
2024-04-09,244.3300018310547,249.74000549316406,244.3300018310547,249.58999633789062,315100,234.34539794921875
2024-04-10,243.17999267578125,244.8800048828125,242.2899932861328,244.00999450683594,434500,229.106201171875
2024-04-11,246.02999877929688,246.30999755859375,240.97000122070312,244.25,378600,229.33155822753906
2024-04-12,243.22999572753906,243.99000549316406,237.92999267578125,239.2899932861328,376300,224.6744842529297
2024-04-15,240.82000732421875,241.27999877929688,234.25999450683594,235.58999633789062,248400,221.20045471191406
2024-04-16,234.25999450683594,234.3800048828125,231.88999938964844,232.6999969482422,294100,218.4870147705078
2024-04-17,233.16000366210938,234.92999267578125,231.49000549316406,232.64999389648438,342600,218.4400634765625
2024-04-18,233.5399932861328,234.50999450683594,230.89999389648438,233.97000122070312,285000,219.67942810058594
