,Open,High,Low,Close,Volume,Adj Close
2024-03-04,127.19074249267578,129.10614013671875,126.56025695800781,128.49960327148438,8402242,126.93400573730469
2024-03-05,128.90663146972656,129.409423828125,124.9640884399414,125.98563385009766,8003663,124.45066833496094
2024-03-06,126.97525787353516,128.4756622314453,126.47246551513672,127.29449462890625,8198755,125.74356079101562
2024-03-07,129.32162475585938,133.0646514892578,128.946533203125,132.88108825683594,14393838,131.2620849609375
2024-03-08,135.2833251953125,140.31124877929688,133.55946350097656,134.04629516601562,21242234,132.41311645507812
2024-03-11,133.35195922851562,134.4134063720703,130.0718231201172,132.92897033691406,9338609,131.3094024658203
2024-03-12,133.63926696777344,133.91859436035156,130.8300018310547,133.64724731445312,6928589,132.0189208984375
2024-03-13,132.0909881591797,136.5123748779297,132.0909881591797,135.8020782470703,8462887,134.1475067138672
2024-03-14,135.8739013671875,136.27294921875,132.18675231933594,133.0806121826172,9460777,131.45919799804688
2024-03-15,132.2027130126953,136.07342529296875,131.59617614746094,134.78851318359375,13263757,133.14627075195312
2024-03-18,134.84437561035156,136.27294921875,134.54110717773438,135.60255432128906,6228788,133.95040893554688
2024-03-19,135.5227508544922,138.81085205078125,134.8762969970703,138.43576049804688,9360787,136.7490997314453
2024-03-20,137.75738525390625,139.48922729492188,137.27853393554688,138.81085205078125,7229434,137.11961364746094
2024-03-21,139.3615264892578,141.30087280273438,138.1404571533203,140.97366333007812,7890893,139.25607299804688
2024-03-22,140.7023162841797,141.66001892089844,139.72865295410156,139.78451538085938,6842132,138.08140563964844
2024-03-25,139.39346313476562,140.0718231201172,137.90103149414062,138.45970153808594,6288181,136.7727508544922
2024-03-26,138.45970153808594,139.7047119140625,137.58978271484375,138.50758361816406,5056983,136.8200225830078
2024-03-27,139.68077087402344,143.94253540039062,139.409423828125,143.75099182128906,12606433,141.99957275390625
2024-03-28,143.61532592773438,143.63128662109375,139.1300811767578,140.08778381347656,12122274,138.3809814453125
2024-04-01,140.14366149902344,140.48683166503906,138.11651611328125,139.95211791992188,7399592,138.24697875976562
2024-04-02,140.52999877929688,144.50999450683594,133.99000549316406,136.47000122070312,20490400,134.80728149414062
2024-04-03,138.14999389648438,147.94000244140625,138.00999450683594,145.6199951171875,16208500,143.8457794189453
2024-04-04,146.64999389648438,151.99000549316406,146.2100067138672,147.38999938964844,11880200,145.59423828125
2024-04-05,148.52999877929688,156.47000122070312,148.52999877929688,156.3000030517578,14777900,154.39569091796875
2024-04-08,157.47000122070312,157.9499969482422,153.6999969482422,156.52000427246094,9588800,154.6129913330078
2024-04-09,156.1300048828125,157.8699951171875,150.92999267578125,154.49000549316406,8807300,152.6077423095703
2024-04-10,151.88999938964844,157.7899932861328,151.64999389648438,156.61000061035156,8075400,154.70191955566406
