,Open,High,Low,Close,Volume,Adj Close
2024-03-01,95.05999755859375,95.38999938964844,94.3499984741211,94.44999694824219,1208900,91.69699096679688
2024-03-04,94.31999969482422,95.12999725341797,94.31999969482422,94.80999755859375,1330600,92.0464859008789
2024-03-05,94.58999633789062,96.0999984741211,94.58999633789062,95.83999633789062,1502300,93.04646301269531
2024-03-06,95.8499984741211,97.83000183105469,95.38999938964844,97.47000122070312,1791200,94.62895202636719
2024-03-07,97.55999755859375,98.22000122070312,96.62999725341797,97.05999755859375,1539600,94.23090362548828
2024-03-08,96.77999877929688,97.87000274658203,96.66000366210938,96.86000061035156,1200200,94.03673553466797
2024-03-11,97.05999755859375,98.2699966430664,97.05000305175781,98.0999984741211,1812100,95.2405776977539
2024-03-12,98.12999725341797,99.02999877929688,97.77999877929688,98.94000244140625,1491600,96.05610656738281
2024-03-13,99.2699966430664,100.04000091552734,98.56999969482422,99.45999908447266,2077100,96.56095123291016
2024-03-14,99.06999969482422,99.79000091552734,98.30999755859375,98.97000122070312,1673200,96.08523559570312
2024-03-15,98.18000030517578,99.55999755859375,98.11000061035156,99.06999969482422,4952400,96.18231964111328
2024-03-18,98.93000030517578,99.9000015258789,98.93000030517578,99.6500015258789,2857900,96.74541473388672
2024-03-19,99.94000244140625,100.5,99.55999755859375,100.4000015258789,2629600,97.47354888916016
2024-03-20,100.2300033569336,101.31999969482422,99.7699966430664,101.12000274658203,1816300,98.17256927490234
2024-03-21,101.13999938964844,101.37000274658203,100.41999816894531,100.55000305175781,1943700,97.61918640136719
2024-03-22,100.86000061035156,101.13999938964844,100.12999725341797,100.16000366210938,1389600,97.24054718017578
2024-03-25,100.23999786376953,101.20999908447266,100.19999694824219,100.66999816894531,1789200,97.73567962646484
2024-03-26,100.54000091552734,101.48999786376953,100.41000366210938,100.9000015258789,2216000,97.958984375
2024-03-27,101.3499984741211,102.52999877929688,101.27999877929688,102.30000305175781,1811200,99.31817626953125
2024-03-28,102.61000061035156,103.2699966430664,102.29000091552734,103.05000305175781,1548400,100.04631042480469
2024-04-01,102.9800033569336,103.0999984741211,102.06999969482422,102.48999786376953,1288800,99.50263214111328
2024-04-02,102.58000183105469,103.19999694824219,101.75,101.86000061035156,1673700,98.8909912109375
2024-04-03,101.94000244140625,103.0199966430664,101.80000305175781,102.12000274658203,1791400,99.14341735839844
2024-04-04,102.52999877929688,103.4000015258789,101.41000366210938,101.81999969482422,1501900,98.85216522216797
2024-04-05,102.23999786376953,103.29000091552734,101.88999938964844,103.23999786376953,1509800,100.23077392578125
2024-04-08,103.2699966430664,103.63999938964844,102.61000061035156,102.76000213623047,1509100,99.7647705078125
2024-04-09,102.88999938964844,102.93000030517578,98.7699966430664,98.87000274658203,2185200,95.98815155029297
2024-04-10,98.56999969482422,99.5999984741211,98.4000015258789,99.30999755859375,2005800,96.41531372070312
2024-04-11,98.7699966430664,98.7699966430664,97.27999877929688,97.33999633789062,1253200,94.50273132324219
2024-04-12,97.55000305175781,98.52999877929688,97.06999969482422,97.77999877929688,1806100,94.92992401123047
2024-04-15,98.98999786376953,99.43000030517578,96.81999969482422,97.30000305175781,1628600,94.46391296386719
2024-04-16,97.87999725341797,98.29000091552734,97.05000305175781,97.7300033569336,1620600,94.88137817382812
2024-04-17,96.54000091552734,97.55999755859375,95.5199966430664,95.77999877929688,2617500,92.98822021484375
2024-04-18,96.54000091552734,97.81999969482422,96.19999694824219,96.94999694824219,1618600,94.12411499023438
2024-04-19,97.72000122070312,99.06999969482422,97.29000091552734,98.94999694824219,1484900,96.06581115722656
2024-04-22,99.63999938964844,100.5999984741211,98.86000061035156,99.81999969482422,1426700,96.91045379638672
2024-04-23,100.2699966430664,100.80000305175781,99.54000091552734,100.02999877929688,1632000,97.11433410644531
2024-04-24,99.25,100.11000061035156,99.25,99.86000061035156,1882000,96.94929504394531
2024-04-25,99.7699966430664,100.06999969482422,98.47000122070312,99.08999633789062,2007000,96.20174407958984
2024-04-26,97.0,98.66999816894531,94.47000122070312,95.30000305175781,2889600,92.52220153808594
2024-04-29,95.08999633789062,97.0999984741211,95.0,97.06999969482422,1927500,94.24060821533203
2024-04-30,97.18000030517578,97.30999755859375,96.19999694824219,96.88999938964844,1631900,94.06585693359375
2024-05-01,96.93000030517578,98.13999938964844,96.93000030517578,97.22000122070312,1775600,94.38623809814453
2024-05-02,97.61000061035156,98.04000091552734,96.98999786376953,97.48999786376953,1321400,94.64836883544922
2024-05-03,97.05000305175781,98.26000213623047,96.30999755859375,97.9000015258789,1358900,95.04643249511719
2024-05-06,98.58000183105469,99.1500015258789,98.30999755859375,99.12999725341797,1431300,96.2405776977539
2024-05-07,99.54000091552734,99.80000305175781,99.12999725341797,99.33999633789062,1060200,96.44445037841797
2024-05-08,99.7300033569336,100.25,99.4000015258789,99.68000030517578,1112700,96.7745361328125
2024-05-09,99.44999694824219,101.5199966430664,99.41000366210938,101.33000183105469,1535700,98.3764419555664
2024-05-10,101.8499984741211,102.38999938964844,101.54000091552734,101.88999938964844,1360300,98.92011260986328
