,Open,High,Low,Close,Volume,Adj Close
2024-03-01,185.49000549316406,188.3800048828125,185.17999267578125,188.1999969482422,4018400,177.6604766845703
2024-03-04,187.75999450683594,193.89999389648438,187.60000610351562,193.05999755859375,7938300,182.248291015625
2024-03-05,192.0,193.94000244140625,190.57000732421875,191.9499969482422,5653600,181.20046997070312
2024-03-06,193.5,198.1300048828125,192.9600067138672,196.16000366210938,6945800,185.17469787597656
2024-03-07,197.5800018310547,198.72999572753906,196.13999938964844,196.5399932861328,4604500,185.53341674804688
2024-03-08,196.05999755859375,197.77000427246094,194.3800048828125,195.9499969482422,3943100,184.9764404296875
2024-03-11,195.08999633789062,195.3800048828125,190.8800048828125,191.72999572753906,4725100,180.99276733398438
2024-03-12,192.4600067138672,199.17999267578125,192.14999389648438,197.77999877929688,5880100,186.70396423339844
2024-03-13,197.5500030517578,198.10000610351562,195.32000732421875,196.6999969482422,3993300,185.68443298339844
2024-03-14,196.9499969482422,197.75,192.1199951171875,193.42999267578125,4109600,182.59756469726562
2024-03-15,191.99000549316406,193.05999755859375,190.6999969482422,191.07000732421875,8828200,180.36973571777344
2024-03-18,191.6999969482422,193.22999572753906,190.32000732421875,191.69000244140625,5410600,180.95501708984375
2024-03-19,191.49000549316406,193.5800018310547,190.27999877929688,193.33999633789062,5317300,182.51263427734375
2024-03-20,192.8699951171875,193.97999572753906,191.30999755859375,193.9600067138672,3238600,183.097900390625
2024-03-21,193.0,193.3699951171875,190.00999450683594,191.89999389648438,6013600,181.1532440185547
2024-03-22,192.0,192.99000549316406,190.50999450683594,190.83999633789062,3988400,180.15261840820312
2024-03-25,190.25999450683594,190.82000732421875,188.75,188.7899932861328,3718300,178.2174072265625
2024-03-26,189.02000427246094,190.0,188.5,188.5,4229500,177.94366455078125
2024-03-27,189.60000610351562,190.9600067138672,188.60000610351562,190.8000030517578,3693300,180.1148681640625
2024-03-28,190.94000244140625,191.92999267578125,190.33999633789062,190.9600067138672,3742200,180.26589965820312
2024-04-01,190.0,190.4600067138672,188.52000427246094,189.8300018310547,2364300,179.19918823242188
2024-04-02,189.13999938964844,189.8000030517578,187.60000610351562,188.8800048828125,2693500,178.30239868164062
2024-04-03,188.60000610351562,191.35000610351562,188.49000549316406,190.89999389648438,2826200,180.2092742919922
2024-04-04,192.0,193.27999877929688,187.33999633789062,187.94000244140625,2983900,177.41500854492188
2024-04-05,188.58999633789062,190.32000732421875,188.02000427246094,189.13999938964844,2014300,178.54783630371094
