,Open,High,Low,Close,Volume,Adj Close
2024-03-04,251.0500030517578,253.3300018310547,250.00999450683594,251.55999755859375,642100,251.55999755859375
2024-03-05,250.0,251.25,247.08999633789062,250.1999969482422,655800,250.1999969482422
2024-03-06,251.4499969482422,257.25,251.07000732421875,252.97000122070312,843600,252.97000122070312
2024-03-07,255.27000427246094,259.5299987792969,254.30999755859375,258.5899963378906,872400,258.5899963378906
2024-03-08,259.6400146484375,261.7300109863281,257.1700134277344,257.17999267578125,842800,257.17999267578125
2024-03-11,256.239990234375,259.1600036621094,254.47999572753906,258.5799865722656,994000,258.5799865722656
2024-03-12,258.0,261.6600036621094,256.489990234375,259.1000061035156,839100,259.1000061035156
2024-03-13,259.6700134277344,261.7200012207031,255.4199981689453,255.64999389648438,813000,255.64999389648438
2024-03-14,255.11000061035156,256.760009765625,252.0500030517578,254.25999450683594,989200,254.25999450683594
2024-03-15,250.5800018310547,255.07000732421875,250.5800018310547,252.7100067138672,1139800,252.7100067138672
2024-03-18,253.97999572753906,254.9600067138672,252.1699981689453,253.8699951171875,734300,253.8699951171875
2024-03-19,253.32000732421875,256.3399963378906,251.9499969482422,254.16000366210938,797600,254.16000366210938
2024-03-20,254.19000244140625,255.35000610351562,251.22000122070312,252.72000122070312,1242500,252.72000122070312
2024-03-21,254.1300048828125,256.2900085449219,252.30999755859375,254.55999755859375,1122200,254.55999755859375
2024-03-22,254.8000030517578,254.8000030517578,251.19000244140625,252.41000366210938,646300,252.41000366210938
2024-03-25,254.10000610351562,254.5399932861328,248.1300048828125,248.8800048828125,688400,248.8800048828125
2024-03-26,249.85000610351562,250.3699951171875,247.47999572753906,247.74000549316406,880400,247.74000549316406
2024-03-27,250.32000732421875,252.6999969482422,249.0500030517578,252.57000732421875,747000,252.57000732421875
2024-03-28,252.7100067138672,253.77000427246094,247.9600067138672,252.88999938964844,771400,252.88999938964844
2024-04-01,253.3300018310547,253.83999633789062,247.60000610351562,248.8699951171875,633300,248.8699951171875
2024-04-02,246.7100067138672,247.30999755859375,242.3000030517578,245.50999450683594,997500,245.50999450683594
2024-04-03,245.0500030517578,246.0,241.9499969482422,242.97999572753906,880200,242.97999572753906
2024-04-04,245.0800018310547,246.0399932861328,238.30999755859375,238.52999877929688,939800,238.52999877929688
2024-04-05,239.02000427246094,241.94000244140625,238.02999877929688,241.4499969482422,556600,241.4499969482422
2024-04-08,241.47999572753906,242.97000122070312,239.5800018310547,241.5,495400,241.5
2024-04-09,244.35000610351562,247.00999450683594,244.25,245.3300018310547,548700,245.3300018310547
2024-04-10,239.05999755859375,241.75999450683594,236.52999877929688,239.41000366210938,534600,239.41000366210938
2024-04-11,240.33999633789062,242.0500030517578,236.8699951171875,238.02000427246094,658400,238.02000427246094
2024-04-12,235.35000610351562,236.92999267578125,232.86000061035156,234.22999572753906,932300,234.22999572753906
