,Open,High,Low,Close,Volume,Adj Close
2024-03-04,147.50999450683594,149.47999572753906,146.57000732421875,148.6199951171875,997500,148.0112762451172
2024-03-05,148.10000610351562,154.99000549316406,147.64999389648438,151.10000610351562,1700600,150.4811553955078
2024-03-06,152.0,155.97000122070312,151.88999938964844,153.19000244140625,1370400,152.5625762939453
2024-03-07,153.75,154.69000244140625,152.50999450683594,154.52999877929688,1060000,153.8970947265625
2024-03-08,155.1999969482422,156.94000244140625,151.0,151.24000549316406,961400,150.62054443359375
2024-03-11,149.88999938964844,150.22999572753906,146.36000061035156,147.86000061035156,1334600,147.25440979003906
2024-03-12,147.72000122070312,149.83999633789062,145.8000030517578,149.60000610351562,1511200,148.9873046875
2024-03-13,148.83999633789062,149.69000244140625,146.47000122070312,148.7899932861328,1342400,148.1805877685547
2024-03-14,148.4499969482422,149.7899932861328,145.94000244140625,147.4600067138672,1749400,146.85604858398438
2024-03-15,128.72999572753906,134.64999389648438,121.0,123.1500015258789,8496700,122.6456069946289
2024-03-18,124.12000274658203,126.5,122.83000183105469,124.18000030517578,2724500,123.67139434814453
2024-03-19,123.04000091552734,127.01000213623047,122.93000030517578,125.75,1936000,125.2349624633789
2024-03-20,125.66999816894531,127.7300033569336,125.25,126.9000015258789,1569800,126.3802490234375
2024-03-21,128.16000366210938,130.94000244140625,127.5199966430664,129.2100067138672,1593100,128.68080139160156
2024-03-22,129.0399932861328,132.85000610351562,129.0399932861328,131.19000244140625,1082200,130.65269470214844
2024-03-25,131.1999969482422,132.3699951171875,130.83999633789062,131.33999633789062,1009400,130.80206298828125
2024-03-26,132.2100067138672,135.91000366210938,132.2100067138672,133.61000061035156,1348700,133.06277465820312
2024-03-27,133.5500030517578,136.2100067138672,132.44000244140625,135.94000244140625,1023600,135.38320922851562
2024-03-28,135.7100067138672,136.6300048828125,133.6699981689453,133.9499969482422,1011200,133.4013671875
2024-04-01,133.61000061035156,136.00999450683594,133.39999389648438,135.61000061035156,903100,135.05459594726562
2024-04-02,134.27000427246094,135.02000427246094,131.35000610351562,134.19000244140625,1184900,133.64039611816406
2024-04-03,133.86000061035156,138.33999633789062,133.60000610351562,138.19000244140625,1048500,137.62400817871094
2024-04-04,140.0,140.8699951171875,135.7100067138672,135.8800048828125,1089800,135.323486328125
2024-04-05,136.92999267578125,140.6300048828125,136.3000030517578,140.47000122070312,1147700,139.89468383789062
2024-04-08,140.22000122070312,141.4499969482422,138.47000122070312,138.5800018310547,1026600,138.01242065429688
2024-04-09,138.6999969482422,139.33999633789062,135.1699981689453,136.52999877929688,1184800,135.97079467773438
2024-04-10,133.88999938964844,137.50999450683594,133.30999755859375,136.36000061035156,1002900,135.80149841308594
2024-04-11,136.99000549316406,138.27000427246094,136.39999389648438,138.02000427246094,794100,137.4547119140625
2024-04-12,136.47000122070312,137.77999877929688,133.6999969482422,134.07000732421875,1011400,133.52088928222656
2024-04-15,135.66000366210938,136.39999389648438,132.36000061035156,132.66000366210938,801300,132.1166534423828
2024-04-16,131.83999633789062,132.9600067138672,130.39999389648438,132.0399932861328,802500,131.49916076660156
2024-04-17,132.7899932861328,132.7899932861328,129.1199951171875,129.64999389648438,667500,129.11895751953125
2024-04-18,130.0399932861328,132.10000610351562,129.11000061035156,129.58999633789062,662500,129.05923461914062
2024-04-19,126.87000274658203,127.61000061035156,117.55999755859375,118.75,3269300,118.26361846923828
2024-04-22,120.81999969482422,121.26000213623047,116.86000061035156,119.12999725341797,2033000,118.64207458496094
2024-04-23,120.44000244140625,121.47000122070312,119.36000061035156,120.88999938964844,1892000,120.39486694335938
2024-04-24,122.75,123.8499984741211,119.80000305175781,120.23999786376953,1361200,119.74752807617188
2024-04-25,119.37999725341797,120.20999908447266,118.0,118.4800033569336,2165800,117.99474334716797
2024-04-26,118.97000122070312,119.91999816894531,117.5199966430664,118.2699966430664,1940100,117.78559112548828
2024-04-29,118.2300033569336,119.9800033569336,117.22000122070312,119.87000274658203,1619200,119.37904357910156
2024-04-30,118.7300033569336,121.62999725341797,117.30999755859375,117.36000061035156,1279500,116.87932586669922
2024-05-01,116.2300033569336,116.72000122070312,112.44999694824219,114.37999725341797,1664000,113.91153717041016
2024-05-02,115.9000015258789,115.9000015258789,113.05999755859375,115.26000213623047,1273100,114.78792572021484
2024-05-03,116.91999816894531,117.4000015258789,115.3499984741211,117.22000122070312,1104000,116.7398910522461
2024-05-06,118.30000305175781,119.30999755859375,117.77999877929688,118.97000122070312,1347000,118.48272705078125
