,Open,High,Low,Close,Volume,Adj Close
2024-03-01,126.87000274658203,127.8499984741211,126.41999816894531,126.95999908447266,6023400,119.10893249511719
2024-03-04,124.45999908447266,126.54000091552734,123.29000091552734,124.05000305175781,12706200,116.3788833618164
2024-03-05,124.68000030517578,125.04000091552734,122.38999938964844,122.83000183105469,8277800,115.23432922363281
2024-03-06,122.83999633789062,124.76000213623047,122.51000213623047,123.75,8251400,116.0974349975586
2024-03-07,123.36000061035156,124.52999877929688,122.81999969482422,123.98999786376953,8982200,116.32259368896484
2024-03-08,123.2300033569336,124.04000091552734,122.05999755859375,123.5,9822700,115.8628921508789
2024-03-11,124.6500015258789,124.6500015258789,121.83999633789062,122.7699966430664,7769300,115.17802429199219
2024-03-12,123.0,123.20999908447266,121.43000030517578,122.66000366210938,11621800,115.07483673095703
2024-03-13,123.16000366210938,123.20999908447266,120.80000305175781,122.16000366210938,9186000,114.60575866699219
2024-03-14,121.31999969482422,121.31999969482422,119.66000366210938,120.51000213623047,10132500,113.77493286132812
2024-03-15,119.83999633789062,121.94000244140625,119.2300033569336,121.5199966430664,46477400,114.72848510742188
2024-03-18,121.8499984741211,122.51000213623047,121.12999725341797,121.44000244140625,8311900,114.65296936035156
2024-03-19,121.44000244140625,122.26000213623047,120.43000030517578,122.19999694824219,11696600,115.37047576904297
2024-03-20,121.27999877929688,123.91000366210938,120.37999725341797,123.8499984741211,9793200,116.92827606201172
2024-03-21,123.69000244140625,124.19000244140625,123.05999755859375,123.62000274658203,8156300,116.71112823486328
2024-03-22,123.79000091552734,124.48999786376953,123.22000122070312,123.8499984741211,7022500,116.92827606201172
2024-03-25,124.08000183105469,125.58000183105469,123.7699966430664,125.30999755859375,7605800,118.30667114257812
2024-03-26,125.77999877929688,126.08000183105469,124.8499984741211,125.5199966430664,8864400,118.50494384765625
2024-03-27,132.8699951171875,133.10000610351562,130.11000061035156,131.75,16061600,124.38675689697266
2024-03-28,132.0,132.4199981689453,131.0800018310547,131.9499969482422,10189700,124.5755844116211
2024-04-01,131.67999267578125,131.92999267578125,130.11000061035156,130.99000549316406,5377600,123.66923522949219
2024-04-02,130.10000610351562,130.75999450683594,129.27999877929688,130.35000610351562,6584200,123.06501007080078
2024-04-03,130.35000610351562,132.3000030517578,129.42999267578125,129.89999389648438,7741400,122.64012908935547
2024-04-04,130.8300018310547,130.94000244140625,127.33999633789062,127.66000366210938,6753200,120.52534484863281
2024-04-05,127.6500015258789,128.60000610351562,127.0,127.98999786376953,5692900,120.83690643310547
2024-04-08,127.63999938964844,127.91999816894531,125.87999725341797,126.55999755859375,6282500,119.48681640625
2024-04-09,126.58000183105469,127.0,125.51000213623047,126.70999908447266,4696600,119.62842559814453
2024-04-10,125.86000061035156,127.0,125.05000305175781,126.75,5787700,119.66619110107422
2024-04-11,126.55000305175781,127.13999938964844,125.45999908447266,126.1500015258789,6187200,119.0997314453125
2024-04-12,127.04000091552734,127.11000061035156,125.0999984741211,125.73999786376953,7370000,118.71263885498047
2024-04-15,126.69000244140625,127.81999969482422,125.87000274658203,126.19000244140625,6241000,119.13750457763672
2024-04-16,126.55999755859375,126.80000305175781,125.02999877929688,125.05999755859375,5587300,118.0706558227539
2024-04-17,125.66999816894531,126.19000244140625,124.70999908447266,125.37000274658203,6122800,118.36334228515625
2024-04-18,125.5199966430664,125.5199966430664,124.5,125.2300033569336,5992700,118.23115539550781
2024-04-19,125.6500015258789,126.12000274658203,124.88999938964844,125.77999877929688,8404300,118.75040435791016
2024-04-22,126.70999908447266,128.0800018310547,126.22000122070312,126.94000244140625,7805800,119.8455810546875
