,Open,High,Low,Close,Volume,Adj Close
2024-03-01,181.9499969482422,184.7899932861328,181.0590057373047,184.75,659800,182.3238983154297
2024-03-04,183.39999389648438,183.86500549316406,176.77499389648438,178.0500030517578,913600,175.71188354492188
2024-03-05,176.77000427246094,176.7899932861328,170.88999938964844,173.88999938964844,929600,171.6065216064453
2024-03-06,175.16000366210938,177.27999877929688,173.74000549316406,175.8800048828125,715100,173.5703582763672
2024-03-07,177.00999450683594,182.36500549316406,176.44000244140625,181.67999267578125,799800,179.29420471191406
2024-03-08,182.3800048828125,182.6999969482422,179.19000244140625,181.22000122070312,721100,178.8402557373047
2024-03-11,181.16000366210938,185.25,180.77499389648438,184.5,895100,182.07717895507812
2024-03-12,184.94000244140625,186.94000244140625,182.64999389648438,186.83999633789062,635100,184.38644409179688
2024-03-13,187.0399932861328,189.86000061035156,186.83999633789062,188.25,791200,185.77792358398438
2024-03-14,188.74000549316406,190.94000244140625,187.46499633789062,189.8000030517578,820000,187.30758666992188
2024-03-15,188.42999267578125,191.77000427246094,185.99000549316406,189.6999969482422,1680200,187.20887756347656
2024-03-18,191.52999877929688,193.13999938964844,189.1999969482422,191.61000061035156,756300,189.0938262939453
2024-03-19,191.4499969482422,191.4499969482422,187.7100067138672,189.5800018310547,691800,187.09046936035156
2024-03-20,190.41000366210938,192.57000732421875,189.60000610351562,191.33999633789062,493300,188.8273468017578
2024-03-21,192.77999877929688,194.80499267578125,191.98300170898438,193.52999877929688,565700,190.98858642578125
2024-03-22,193.2899932861328,193.6699981689453,190.0,192.47000122070312,459000,189.94252014160156
2024-03-25,191.74000549316406,192.72500610351562,189.35000610351562,191.25999450683594,397300,188.74839782714844
2024-03-26,192.27000427246094,192.35000610351562,189.7220001220703,190.60000610351562,1098600,188.09707641601562
2024-03-27,193.0,197.50999450683594,193.0,197.22000122070312,766400,194.63015747070312
2024-03-28,198.3699951171875,201.8000030517578,197.7899932861328,199.00999450683594,750700,196.39662170410156
2024-04-01,198.30999755859375,198.9600067138672,195.14999389648438,198.27999877929688,785100,195.6762237548828
2024-04-02,192.0,198.18499755859375,189.69500732421875,197.6699981689453,1156100,195.07421875
2024-04-03,197.1999969482422,199.72000122070312,196.47799682617188,198.80999755859375,980800,196.19924926757812
2024-04-04,201.9600067138672,204.6300048828125,197.74000549316406,197.75,749700,195.15316772460938
2024-04-05,197.11000061035156,198.83999633789062,193.6999969482422,198.2899932861328,622300,195.6860809326172
2024-04-08,199.86000061035156,202.82000732421875,198.57899475097656,201.86000061035156,707100,199.2091827392578
2024-04-09,203.1999969482422,207.99000549316406,202.7449951171875,207.82000732421875,647800,205.09095764160156
2024-04-10,203.5399932861328,203.78500366210938,199.5800018310547,203.30999755859375,1152700,200.64015197753906
2024-04-11,205.33999633789062,205.33999633789062,199.72999572753906,204.52000427246094,521900,201.83428955078125
2024-04-12,203.02000427246094,203.02000427246094,197.75,198.0,758300,195.39988708496094
2024-04-15,197.75,198.16799926757812,191.7949981689453,192.72999572753906,601000,190.19911193847656
2024-04-16,191.55999755859375,192.16000366210938,189.61000061035156,190.14999389648438,795500,187.6529998779297
2024-04-17,190.47000122070312,191.23500061035156,186.69000244140625,186.86000061035156,821800,184.4062042236328
2024-04-18,187.7100067138672,188.5800018310547,184.43499755859375,184.8699951171875,614000,182.44232177734375
2024-04-19,184.64999389648438,187.18499755859375,183.24000549316406,183.25,572600,180.8435821533203
2024-04-22,184.4600067138672,188.39999389648438,182.38999938964844,186.7100067138672,522100,184.25816345214844
2024-04-23,186.80999755859375,191.52000427246094,186.80999755859375,188.08999633789062,607200,185.6200408935547
2024-04-24,187.9499969482422,188.57000732421875,184.1999969482422,187.91000366210938,549100,185.44241333007812
2024-04-25,185.49000549316406,186.88999938964844,183.67999267578125,186.5800018310547,843500,184.12986755371094
2024-04-26,187.82000732421875,191.75,187.82000732421875,188.88999938964844,675000,186.4095458984375
2024-04-29,189.02999877929688,194.6699981689453,189.02999877929688,193.19000244140625,757800,190.65304565429688
2024-04-30,191.38999938964844,193.5500030517578,187.97999572753906,187.97999572753906,883600,185.511474609375
2024-05-01,187.61000061035156,190.9600067138672,185.8800048828125,186.24000549316406,1363200,183.7943572998047
2024-05-02,180.0,180.60000610351562,159.0,166.72000122070312,2756600,164.53065490722656
2024-05-03,172.8000030517578,176.02999877929688,167.50999450683594,171.2899932861328,1207000,169.04063415527344
2024-05-06,172.47999572753906,175.3000030517578,169.72799682617188,174.44000244140625,748400,172.14927673339844
2024-05-07,174.4600067138672,178.0500030517578,173.94000244140625,176.47000122070312,502200,174.1526336669922
2024-05-08,174.35000610351562,176.0,171.72999572753906,172.27999877929688,501900,170.0176544189453
2024-05-09,171.9199981689453,174.6300048828125,171.1699981689453,173.5800018310547,521600,171.30056762695312
2024-05-10,173.8800048828125,175.0,171.82000732421875,173.38999938964844,474200,171.1130828857422
2024-05-13,174.2100067138672,176.66000366210938,173.8000030517578,174.0800018310547,468500,171.79400634765625
2024-05-14,175.0,177.0,174.3800048828125,174.50999450683594,494400,172.2183837890625
2024-05-15,176.4600067138672,177.85000610351562,172.6199951171875,177.4499969482422,673300,175.11976623535156
2024-05-16,177.82000732421875,181.44000244140625,177.77000427246094,181.07000732421875,615300,178.69223022460938
2024-05-17,181.1199951171875,182.32000732421875,179.67999267578125,182.27999877929688,493200,179.88633728027344
2024-05-20,182.3000030517578,182.49000549316406,178.39999389648438,180.2899932861328,484800,177.92247009277344
2024-05-21,179.55999755859375,180.6699981689453,178.24600219726562,179.6699981689453,379300,177.31060791015625
2024-05-22,179.61000061035156,181.1300048828125,178.24000549316406,180.6699981689453,646700,178.29747009277344
2024-05-23,180.9499969482422,181.72999572753906,174.39999389648438,174.44000244140625,629400,172.14927673339844
2024-05-24,173.8800048828125,174.3350067138672,168.22000122070312,170.67999267578125,759200,168.80154418945312
2024-05-28,171.0,171.35699462890625,166.22999572753906,166.7899932861328,824900,164.954345703125
2024-05-29,164.16000366210938,166.63999938964844,163.47000122070312,163.58999633789062,876800,161.78955078125
2024-05-30,162.27000427246094,162.8699951171875,158.16000366210938,158.9499969482422,959600,157.2006378173828
2024-05-31,156.97000122070312,156.97000122070312,143.8800048828125,145.32000732421875,2551900,143.72064208984375
2024-06-03,147.39999389648438,148.9499969482422,144.38999938964844,145.14999389648438,1758500,143.5525360107422
2024-06-04,144.47999572753906,149.32000732421875,143.8800048828125,146.6300048828125,946200,145.01622009277344
2024-06-05,146.8800048828125,148.0,143.8800048828125,144.32000732421875,804500,142.73167419433594
2024-06-06,145.67999267578125,147.00999450683594,143.39999389648438,145.25,1076300,143.65142822265625
2024-06-07,143.8000030517578,147.61000061035156,142.72999572753906,145.3300018310547,792400,143.73056030273438
2024-06-10,143.75999450683594,146.60000610351562,142.41000366210938,146.3000030517578,878100,144.68988037109375
2024-06-11,144.02999877929688,145.14999389648438,142.3000030517578,143.38999938964844,883500,141.81187438964844
2024-06-12,146.25,147.8000030517578,143.58999633789062,144.16000366210938,694500,142.5734100341797
2024-06-13,143.7100067138672,144.45199584960938,140.6699981689453,140.99000549316406,725400,139.43832397460938
2024-06-14,140.97999572753906,144.0,140.1199951171875,142.77999877929688,795600,141.20860290527344
2024-06-17,143.11000061035156,145.4199981689453,141.22000122070312,142.88999938964844,1009700,141.3173828125
2024-06-18,142.47999572753906,144.27000427246094,141.42999267578125,141.4600067138672,1085400,139.9031219482422
2024-06-20,141.24000549316406,145.9600067138672,140.89999389648438,145.67999267578125,802800,144.07667541503906
2024-06-21,145.77999877929688,147.47900390625,143.98500061035156,147.39999389648438,2647600,145.7777557373047
2024-06-24,144.8800048828125,146.6999969482422,144.0050048828125,145.0,657700,143.40415954589844
2024-06-25,144.67999267578125,144.67999267578125,141.16000366210938,141.5399932861328,720800,139.98223876953125
2024-06-26,141.0399932861328,142.6300048828125,139.69000244140625,141.0,1023700,139.4481964111328
2024-06-27,141.0,143.25,140.0,141.77999877929688,584700,140.21961975097656
2024-06-28,142.14999389648438,143.0500030517578,140.5500030517578,143.0399932861328,995200,141.46575927734375
2024-07-01,142.9600067138672,143.36000061035156,140.8350067138672,142.3000030517578,699900,140.73388671875
2024-07-02,142.7899932861328,144.05999755859375,140.35000610351562,142.1699981689453,712900,140.60531616210938
2024-07-03,142.5,144.4499969482422,142.11000061035156,143.11000061035156,458000,141.5349578857422
2024-07-05,142.86000061035156,142.97999572753906,140.66000366210938,141.9600067138672,427700,140.3976287841797
2024-07-08,142.64999389648438,142.76300048828125,139.77000427246094,140.35000610351562,666200,138.80535888671875
2024-07-09,139.89999389648438,140.89999389648438,139.5,140.16000366210938,741700,138.617431640625
2024-07-10,140.4499969482422,140.63999938964844,139.52999877929688,140.27999877929688,581700,138.73609924316406
2024-07-11,142.0,144.83999633789062,140.69000244140625,144.47999572753906,764000,142.889892578125
2024-07-12,146.0,150.42999267578125,144.60000610351562,148.42999267578125,908200,146.7964324951172
2024-07-15,149.41000366210938,156.85000610351562,148.22000122070312,156.11000061035156,1090900,154.39190673828125
2024-07-16,156.38999938964844,162.5,156.31500244140625,161.02999877929688,987100,159.2577667236328
2024-07-17,160.0,161.75999450683594,156.58999633789062,160.67999267578125,752900,158.91159057617188
2024-07-18,160.67999267578125,162.25,153.80999755859375,154.7899932861328,735500,153.08641052246094
2024-07-19,154.9600067138672,158.4499969482422,152.4499969482422,158.10000610351562,747800,156.36000061035156
2024-07-22,159.42999267578125,160.57000732421875,154.9149932861328,159.99000549316406,610600,158.2292022705078
