,Open,High,Low,Close,Volume,Adj Close
2024-03-04,122.94999694824219,124.36000061035156,122.30000305175781,122.33999633789062,2728600,114.76200866699219
2024-03-05,122.37999725341797,122.5,119.66999816894531,120.2300033569336,1691300,112.78271484375
2024-03-06,120.12000274658203,121.37999725341797,119.61000061035156,120.7300033569336,1800000,113.25174713134766
2024-03-07,121.52999877929688,122.05999755859375,120.12999725341797,121.12999725341797,2036100,113.62696075439453
2024-03-08,120.83999633789062,121.88999938964844,120.25,120.81999969482422,1344900,113.3361587524414
2024-03-11,121.23999786376953,121.77999877929688,119.83999633789062,121.63999938964844,1280400,114.10537719726562
2024-03-12,121.16000366210938,122.94000244140625,120.9800033569336,122.6500015258789,1551800,115.05280303955078
2024-03-13,122.6500015258789,123.33999633789062,121.95999908447266,122.12999725341797,1637700,114.56501770019531
2024-03-14,122.20999908447266,122.5199966430664,120.91999816894531,121.56999969482422,1674400,114.03970336914062
2024-03-15,121.33000183105469,121.9000015258789,119.79000091552734,120.27999877929688,5841100,112.82960510253906
2024-03-18,121.08000183105469,121.5999984741211,120.4800033569336,120.54000091552734,1214900,113.07350158691406
2024-03-19,120.44000244140625,121.16000366210938,120.0199966430664,121.04000091552734,1111400,113.54253387451172
2024-03-20,121.52999877929688,123.54000091552734,120.95999908447266,123.0,1500000,115.38114166259766
2024-03-21,123.33999633789062,123.68000030517578,122.30000305175781,122.33000183105469,2191100,114.75263214111328
2024-03-22,122.83999633789062,122.83999633789062,120.69000244140625,120.83999633789062,1426400,113.35492706298828
2024-03-25,120.56999969482422,120.76000213623047,118.41000366210938,118.95999908447266,1892800,111.59136962890625
2024-03-26,118.58000183105469,119.80000305175781,118.4000015258789,119.58000183105469,1723300,112.17296600341797
2024-03-27,120.70999908447266,121.83000183105469,120.13999938964844,121.52999877929688,1526300,114.00218200683594
2024-03-28,122.0,122.97000122070312,121.8499984741211,122.80000305175781,1618300,115.19351959228516
2024-04-01,123.0,123.08999633789062,121.25,121.62000274658203,2815200,114.08661651611328
2024-04-02,116.56999969482422,122.58000183105469,114.72000122070312,122.08000183105469,5003900,114.51811981201172
2024-04-03,122.0199966430664,122.05000305175781,119.2300033569336,120.26000213623047,2484900,112.81085205078125
2024-04-04,121.29000091552734,121.80999755859375,119.38999938964844,119.98999786376953,2029100,112.55757904052734
2024-04-05,120.01000213623047,122.4000015258789,119.87000274658203,122.37999725341797,2056100,114.79953002929688
2024-04-08,121.69999694824219,124.11000061035156,121.56999969482422,123.8499984741211,2647100,116.178466796875
2024-04-09,124.80999755859375,126.70999908447266,124.33000183105469,126.58999633789062,2227500,118.7487564086914
2024-04-10,126.0,126.19999694824219,123.41000366210938,124.5199966430664,1914200,116.80697631835938
2024-04-11,124.77999877929688,125.86000061035156,122.83000183105469,124.23999786376953,1712400,116.54431915283203
2024-04-12,123.66999816894531,124.0999984741211,122.25,123.0,2004400,115.38114166259766
2024-04-15,124.16999816894531,124.68000030517578,122.25,122.44999694824219,2138100,114.86520385742188
2024-04-16,122.48999786376953,122.76000213623047,121.0,121.13999938964844,2000700,113.63634490966797
2024-04-17,121.48999786376953,121.48999786376953,119.06999969482422,119.13999938964844,2281300,111.76022338867188
2024-04-18,119.77999877929688,119.77999877929688,117.73999786376953,117.79000091552734,2297800,110.49384307861328
2024-04-19,117.79000091552734,119.8499984741211,117.79000091552734,119.5199966430664,2643300,112.11669158935547
2024-04-22,120.0,122.0199966430664,119.83999633789062,121.2300033569336,1912000,113.72077178955078
2024-04-23,121.2300033569336,122.08999633789062,120.70999908447266,121.62000274658203,1223700,114.08661651611328
2024-04-24,120.80000305175781,122.68000030517578,120.41999816894531,122.5199966430664,1806800,114.93085479736328
2024-04-25,123.41000366210938,123.97000122070312,121.2699966430664,121.97000122070312,1204300,114.4149169921875
2024-04-26,121.2300033569336,122.19000244140625,119.8499984741211,119.97000122070312,2400500,112.53882598876953
2024-04-29,120.27999877929688,121.02999877929688,120.08999633789062,120.80999755859375,1925900,113.32678985595703
2024-04-30,120.3499984741211,120.47000122070312,118.69999694824219,118.80999755859375,1687600,111.4506607055664
2024-05-01,118.87000274658203,122.11000061035156,118.87000274658203,119.41000366210938,1470900,112.01351165771484
2024-05-02,119.54000091552734,119.61000061035156,117.1500015258789,118.44999694824219,1478900,111.11295318603516
2024-05-03,119.2699966430664,120.20999908447266,118.87000274658203,120.0999984741211,1540500,112.66075134277344
