,Open,High,Low,Close,Volume,Adj Close
2024-03-01,158.0500030517578,159.02999877929688,157.61000061035156,158.85000610351562,4819800,150.88429260253906
2024-03-04,157.74000549316406,159.75999450683594,157.6699981689453,159.55999755859375,3841600,151.55870056152344
2024-03-05,159.4600067138672,159.99000549316406,158.77999877929688,159.32000732421875,4481600,151.3307342529297
2024-03-06,159.67999267578125,159.99000549316406,158.91000366210938,159.57000732421875,5405700,151.56820678710938
2024-03-07,159.9499969482422,160.91000366210938,159.47000122070312,160.6199951171875,4783900,152.56553649902344
2024-03-08,159.85000610351562,161.25,158.2899932861328,160.35000610351562,5080200,152.30909729003906
2024-03-11,161.33999633789062,162.6199951171875,160.82000732421875,161.5500030517578,5170900,153.44891357421875
2024-03-12,161.82000732421875,162.52000427246094,161.22999572753906,161.92999267578125,4229100,153.80984497070312
2024-03-13,162.3800048828125,162.72999572753906,161.3300018310547,162.3000030517578,5410500,154.1613006591797
2024-03-14,162.24000549316406,162.6199951171875,161.1300048828125,161.5,5848100,153.4014129638672
2024-03-15,160.6999969482422,161.5,160.3000030517578,161.3800048828125,10956900,153.2874298095703
2024-03-18,161.47999572753906,162.72000122070312,161.0,161.2100067138672,6086300,153.12596130371094
2024-03-19,161.8000030517578,162.1699981689453,161.1699981689453,161.8300018310547,6148100,153.71487426757812
2024-03-20,162.00999450683594,162.39999389648438,161.47000122070312,161.99000549316406,4870300,153.86685180664062
2024-03-21,162.08999633789062,162.4600067138672,161.1199951171875,161.86000061035156,5211500,153.7433624267578
2024-03-22,162.1999969482422,162.41000366210938,161.47000122070312,161.66000366210938,6393200,153.55337524414062
2024-03-25,161.1699981689453,161.66000366210938,159.72999572753906,160.19000244140625,7145600,152.15707397460938
2024-03-26,160.36000061035156,161.13999938964844,160.13999938964844,160.5500030517578,5842700,152.49903869628906
2024-03-27,161.36000061035156,162.74000549316406,161.33999633789062,162.61000061035156,6599700,154.4557342529297
2024-03-28,162.82000732421875,163.13999938964844,161.6999969482422,162.25,7191500,154.1138153076172
2024-04-01,161.77999877929688,162.07000732421875,159.8000030517578,160.5800018310547,5971900,152.5275421142578
2024-04-02,159.63999938964844,160.7100067138672,159.63999938964844,160.57000732421875,6771200,152.51806640625
2024-04-03,160.6300048828125,160.8800048828125,155.67999267578125,156.14999389648438,9601800,148.3197021484375
2024-04-04,156.8800048828125,157.0800018310547,155.41000366210938,155.4499969482422,6801700,147.65480041503906
2024-04-05,155.2899932861328,157.05999755859375,154.69000244140625,156.10000610351562,5121200,148.272216796875
2024-04-08,155.97000122070312,156.6999969482422,155.6300048828125,156.0399932861328,5476800,148.21519470214844
2024-04-09,156.27000427246094,156.75,155.6999969482422,156.66000366210938,4608100,148.8041229248047
2024-04-10,155.64999389648438,157.5800018310547,155.64999389648438,157.24000549316406,7784900,149.3550262451172
2024-04-11,157.5500030517578,157.60000610351562,155.77000427246094,155.83999633789062,8209800,148.02523803710938
2024-04-12,155.22000122070312,155.97000122070312,154.74000549316406,155.3300018310547,6770500,147.54083251953125
2024-04-15,156.4199981689453,156.82000732421875,155.3300018310547,155.4499969482422,5754000,147.65480041503906
2024-04-16,155.85000610351562,156.94000244140625,155.6699981689453,155.9499969482422,6103300,148.12973022460938
2024-04-17,156.3000030517578,157.1199951171875,155.74000549316406,156.9600067138672,6621900,149.08908081054688
2024-04-18,156.33999633789062,157.6300048828125,155.9600067138672,157.2899932861328,7819300,150.3672332763672
2024-04-19,154.97999572753906,158.17999267578125,153.52000427246094,158.13999938964844,12034200,151.17984008789062
2024-04-22,158.42999267578125,161.2899932861328,157.25,160.5399932861328,8926300,153.4741973876953
2024-04-23,161.67999267578125,162.10000610351562,160.4199981689453,161.5,7707300,154.39193725585938
2024-04-24,161.1999969482422,162.86000061035156,159.4199981689453,162.60000610351562,7217600,155.44351196289062
2024-04-25,162.97000122070312,164.32000732421875,162.0800018310547,162.5500030517578,7094600,155.39572143554688
2024-04-26,162.5,163.32000732421875,160.49000549316406,161.2899932861328,5659800,154.191162109375
2024-04-29,161.1699981689453,161.7899932861328,160.41000366210938,161.66000366210938,4621000,154.5448760986328
2024-04-30,161.83999633789062,163.35000610351562,161.60000610351562,163.1999969482422,8106100,156.01712036132812
2024-05-01,163.27999877929688,164.24000549316406,162.22000122070312,163.39999389648438,7543000,156.20831298828125
2024-05-02,163.5399932861328,164.49000549316406,162.63999938964844,163.83999633789062,5647500,156.6289520263672
2024-05-03,163.5399932861328,164.7100067138672,162.16000366210938,164.4600067138672,5581500,157.22164916992188
2024-05-06,164.77999877929688,164.97999572753906,163.25999450683594,164.44000244140625,5472400,157.20252990722656
2024-05-07,164.97999572753906,166.0399932861328,164.58999633789062,165.75999450683594,6433000,158.46444702148438
2024-05-08,165.97999572753906,166.3699951171875,164.92999267578125,165.07000732421875,4579400,157.80482482910156
2024-05-09,165.0500030517578,166.3300018310547,165.0500030517578,166.0399932861328,4671100,158.73211669921875
2024-05-10,166.08999633789062,167.36000061035156,165.6999969482422,166.85000610351562,4879400,159.5064697265625
2024-05-13,166.85000610351562,167.64999389648438,165.36000061035156,165.8699951171875,5725500,158.56961059570312
2024-05-14,165.52999877929688,166.07000732421875,163.9499969482422,165.75999450683594,6009800,158.46444702148438
2024-05-15,165.30999755859375,166.67999267578125,165.1199951171875,166.50999450683594,5102700,159.1814422607422
2024-05-16,166.92999267578125,168.33999633789062,166.58999633789062,167.86000061035156,6793600,160.47201538085938
2024-05-17,167.6699981689453,168.0,166.8800048828125,167.63999938964844,4700800,160.26170349121094
2024-05-20,167.5500030517578,167.8800048828125,166.7899932861328,167.30999755859375,3804600,159.94622802734375
2024-05-21,167.75999450683594,168.5399932861328,167.2899932861328,168.35000610351562,5147100,160.94046020507812
2024-05-22,168.00999450683594,168.42999267578125,167.6300048828125,167.80999755859375,4536700,160.42422485351562
2024-05-23,167.2899932861328,168.11000061035156,165.32000732421875,165.49000549316406,4729800,158.20632934570312
2024-05-24,165.85000610351562,166.30999755859375,165.14999389648438,165.3300018310547,3820100,158.0533905029297
2024-05-28,164.49000549316406,164.75999450683594,162.25999450683594,163.11000061035156,6466200,155.9310760498047
2024-05-29,162.64999389648438,162.74000549316406,161.4199981689453,161.64999389648438,4360400,154.5353240966797
2024-05-30,161.64999389648438,162.6999969482422,161.47999572753906,162.5800018310547,4748200,155.42440795898438
2024-05-31,162.44000244140625,164.77000427246094,161.97000122070312,164.5399932861328,10341400,157.2981414794922
2024-06-03,163.92999267578125,166.24000549316406,163.6300048828125,164.64999389648438,5828400,157.40328979492188
2024-06-04,164.7899932861328,167.1199951171875,164.39999389648438,167.00999450683594,6277000,159.659423828125
2024-06-05,167.00999450683594,167.00999450683594,164.97999572753906,166.0500030517578,5243300,158.74166870117188
2024-06-06,165.8300018310547,168.5800018310547,165.0800018310547,168.47000122070312,6302000,161.05517578125
2024-06-07,168.39999389648438,168.97000122070312,166.83999633789062,167.05999755859375,4558200,159.70721435546875
2024-06-10,166.77999877929688,167.72000122070312,166.0800018310547,167.35000610351562,4110600,159.98446655273438
