,Open,High,Low,Close,Volume,Adj Close
2024-03-04,183.77999877929688,188.61000061035156,182.30999755859375,185.42999267578125,973900,176.38499450683594
2024-03-05,184.7899932861328,186.0500030517578,183.72999572753906,184.47999572753906,597800,175.48133850097656
2024-03-06,185.4199981689453,185.5,181.8800048828125,183.33999633789062,857000,174.39694213867188
2024-03-07,184.72000122070312,185.41000366210938,183.33999633789062,184.8300018310547,776500,175.8142547607422
2024-03-08,185.41000366210938,186.75999450683594,184.49000549316406,186.0800018310547,461200,177.00326538085938
2024-03-11,185.52000427246094,188.1300048828125,183.64999389648438,187.67999267578125,544100,178.52523803710938
2024-03-12,187.5399932861328,188.3800048828125,185.5,186.72000122070312,390000,177.61207580566406
2024-03-13,187.5,187.86000061035156,183.7100067138672,184.4199981689453,621000,175.42425537109375
2024-03-14,183.16000366210938,183.72999572753906,181.88999938964844,183.00999450683594,505100,175.27101135253906
2024-03-15,182.27000427246094,184.6999969482422,182.22999572753906,182.91000366210938,2085000,175.1752471923828
2024-03-18,182.3800048828125,182.94000244140625,180.5399932861328,180.97999572753906,526300,173.3268585205078
2024-03-19,181.4499969482422,184.91000366210938,181.4499969482422,183.24000549316406,924500,175.49130249023438
2024-03-20,183.3000030517578,185.11000061035156,182.52000427246094,184.22000122070312,545300,176.42984008789062
2024-03-21,184.99000549316406,186.5399932861328,183.75999450683594,185.00999450683594,682300,177.1864471435547
2024-03-22,185.85000610351562,186.1300048828125,184.42999267578125,184.72000122070312,578400,176.90870666503906
2024-03-25,184.64999389648438,187.66000366210938,184.36000061035156,187.30999755859375,510800,179.38919067382812
2024-03-26,187.32000732421875,189.32000732421875,186.80999755859375,186.8699951171875,597900,178.96778869628906
2024-03-27,187.02000427246094,189.02000427246094,186.97999572753906,188.94000244140625,484100,180.9502716064453
2024-03-28,189.1300048828125,190.61000061035156,188.6699981689453,189.77999877929688,504300,181.75474548339844
2024-04-01,189.47999572753906,190.07000732421875,188.11000061035156,188.75,389900,180.76829528808594
2024-04-02,188.25999450683594,188.2899932861328,186.27999877929688,187.5,377800,179.57115173339844
2024-04-03,187.38999938964844,189.24000549316406,187.38999938964844,188.67999267578125,411700,180.7012481689453
2024-04-04,189.99000549316406,190.5,186.80999755859375,187.66000366210938,391500,179.72438049316406
2024-04-05,187.9199981689453,188.97000122070312,186.8800048828125,187.6699981689453,388400,179.73397827148438
2024-04-08,189.27000427246094,190.74000549316406,187.74000549316406,190.7100067138672,680400,182.64541625976562
2024-04-09,191.02999877929688,191.27000427246094,187.94000244140625,189.86000061035156,453300,181.8313446044922
2024-04-10,188.44000244140625,189.02999877929688,186.14999389648438,187.82000732421875,429600,179.8776397705078
2024-04-11,187.8300018310547,188.10000610351562,186.25,186.27999877929688,432900,178.40274047851562
2024-04-12,179.47000122070312,184.0,178.4199981689453,182.1999969482422,516100,174.49526977539062
2024-04-15,185.97999572753906,187.99000549316406,180.1699981689453,180.36000061035156,605600,172.7330780029297
2024-04-16,180.25999450683594,181.14999389648438,178.52999877929688,179.5800018310547,663300,171.98606872558594
2024-04-17,180.89999389648438,182.14999389648438,178.3000030517578,178.50999450683594,641100,170.96133422851562
2024-04-18,179.41000366210938,179.41000366210938,177.32000732421875,178.25,532900,170.71231079101562
2024-04-19,177.91000366210938,180.91000366210938,177.69000244140625,179.88999938964844,2529200,172.282958984375
2024-04-22,179.63999938964844,180.49000549316406,176.19000244140625,179.2899932861328,689100,171.70831298828125
2024-04-23,169.6999969482422,173.83999633789062,169.0,170.8800048828125,1436800,163.65396118164062
2024-04-24,171.99000549316406,174.91000366210938,171.02000427246094,173.9199981689453,871000,166.56541442871094
2024-04-25,172.6999969482422,173.11000061035156,169.7899932861328,171.25,541800,164.00833129882812
2024-04-26,172.25999450683594,173.52000427246094,171.64999389648438,172.85000610351562,497300,165.54066467285156
2024-04-29,176.35000610351562,180.69000244140625,176.35000610351562,177.0500030517578,874600,169.5630340576172
2024-04-30,174.99000549316406,176.52999877929688,172.72999572753906,172.97999572753906,539600,165.66514587402344
2024-05-01,173.3800048828125,176.4600067138672,172.3699951171875,174.1999969482422,570600,166.8335723876953
2024-05-02,175.47999572753906,176.11000061035156,174.14999389648438,175.33999633789062,481400,167.9253692626953
