,Open,High,Low,Close,Volume,Adj Close
2024-03-04,143.30999755859375,145.99000549316406,143.0500030517578,144.25999450683594,3479200,134.4991912841797
2024-03-05,144.25999450683594,147.1300048828125,143.82000732421875,146.10000610351562,2886800,136.21470642089844
2024-03-06,147.1199951171875,148.13999938964844,145.1300048828125,146.77000427246094,3210200,136.83938598632812
2024-03-07,147.6699981689453,150.41000366210938,147.32000732421875,149.2100067138672,2947200,139.11428833007812
2024-03-08,148.8800048828125,150.77000427246094,148.3300018310547,149.33999633789062,2398500,139.2354736328125
2024-03-11,147.86000061035156,149.5,146.2100067138672,149.49000549316406,3230900,139.37535095214844
2024-03-12,149.5,151.4199981689453,148.42999267578125,150.3699951171875,2367700,140.19578552246094
2024-03-13,152.07000732421875,155.42999267578125,152.0,154.47000122070312,4028600,144.0183868408203
2024-03-14,155.83999633789062,156.85000610351562,153.4499969482422,154.3800048828125,3637300,143.9344940185547
2024-03-15,154.22000122070312,159.74000549316406,154.22000122070312,159.02999877929688,11726000,148.26986694335938
2024-03-18,159.41000366210938,159.60000610351562,156.30999755859375,156.75999450683594,3470600,146.1534423828125
2024-03-19,156.85000610351562,158.22000122070312,156.27999877929688,156.99000549316406,2877200,146.36788940429688
2024-03-20,156.17999267578125,159.1199951171875,155.52000427246094,158.75999450683594,2388900,148.0181121826172
2024-03-21,159.0,159.44000244140625,157.0,159.0800018310547,2488000,148.3164825439453
2024-03-22,159.42999267578125,159.8000030517578,158.10000610351562,159.4499969482422,2078500,148.6614227294922
2024-03-25,160.0,161.4199981689453,156.42999267578125,156.4600067138672,2306200,145.8737335205078
2024-03-26,156.6199951171875,157.6999969482422,155.88999938964844,156.60000610351562,2351200,146.00425720214844
2024-03-27,155.89999389648438,159.0,155.89999389648438,158.9600067138672,2211300,148.20458984375
2024-03-28,159.33999633789062,163.7899932861328,158.83999633789062,163.33999633789062,3177300,152.28823852539062
2024-04-01,163.17999267578125,163.85000610351562,160.97000122070312,163.33999633789062,2214100,152.28823852539062
2024-04-02,164.3300018310547,169.6999969482422,164.07000732421875,169.49000549316406,2999400,158.0221405029297
2024-04-03,170.1999969482422,173.5500030517578,169.10000610351562,172.7100067138672,3210500,161.0242462158203
2024-04-04,173.17999267578125,173.75,170.0,170.67999267578125,2781100,159.13160705566406
2024-04-05,172.8800048828125,174.0800018310547,170.63999938964844,170.75,2182800,159.1968536376953
2024-04-08,170.02999877929688,171.41000366210938,168.47999572753906,168.5500030517578,2624200,157.1457061767578
2024-04-09,168.85000610351562,169.41000366210938,163.72999572753906,165.41000366210938,2358100,154.2181854248047
2024-04-10,165.4600067138672,166.74000549316406,163.57000732421875,165.16000366210938,1802400,153.985107421875
2024-04-11,165.5399932861328,165.9499969482422,163.16000366210938,165.41000366210938,1997100,154.2181854248047
2024-04-12,166.35000610351562,166.47000122070312,161.8800048828125,162.49000549316406,2002400,151.49575805664062
2024-04-15,163.8000030517578,165.0,159.91000366210938,160.82000732421875,1589900,149.93875122070312
2024-04-16,160.80999755859375,161.1300048828125,157.60000610351562,157.8800048828125,1864200,147.1976776123047
2024-04-17,158.63999938964844,159.86000061035156,156.27999877929688,157.25,1946700,146.6102752685547
2024-04-18,157.3800048828125,157.91000366210938,152.72000122070312,153.30999755859375,2347100,142.93687438964844
2024-04-19,153.66000366210938,157.2100067138672,153.47999572753906,154.7100067138672,2760800,144.24215698242188
2024-04-22,154.42999267578125,158.3300018310547,153.08999633789062,157.0500030517578,1625500,146.42384338378906
2024-04-23,156.2100067138672,159.25,154.8800048828125,158.83999633789062,1756400,148.09271240234375
2024-04-24,157.9600067138672,158.3800048828125,156.2899932861328,157.7899932861328,1945000,147.11373901367188
2024-04-25,157.55999755859375,158.11000061035156,155.6199951171875,157.24000549316406,2617500,146.60096740722656
2024-04-26,152.5,155.83999633789062,149.5500030517578,151.41000366210938,4206700,141.16543579101562
2024-04-29,150.6999969482422,152.19000244140625,150.05999755859375,151.5399932861328,2822000,141.28663635253906
2024-04-30,150.91000366210938,150.91000366210938,143.02000427246094,143.2100067138672,3763900,133.52024841308594
2024-05-01,143.0399932861328,144.30999755859375,138.63999938964844,140.2100067138672,2537100,130.72323608398438
