,Open,High,Low,Close,Volume,Adj Close
2024-03-01,108.73999786376953,109.08999633789062,105.87000274658203,107.12000274658203,1186900,106.54957580566406
2024-03-04,106.91999816894531,109.13999938964844,106.83000183105469,108.51000213623047,1007300,107.93216705322266
2024-03-05,108.26000213623047,109.5,106.69999694824219,107.01000213623047,578800,106.44015502929688
2024-03-06,107.69999694824219,108.9000015258789,106.44999694824219,107.30999755859375,689300,106.73855590820312
2024-03-07,108.01000213623047,108.76000213623047,107.61000061035156,108.48999786376953,575400,107.91226959228516
2024-03-08,108.77999877929688,110.75,108.41999816894531,109.33000183105469,649800,108.74779510498047
2024-03-11,109.55999755859375,110.51000213623047,108.87999725341797,109.23999786376953,570000,108.65827941894531
2024-03-12,109.23999786376953,109.94999694824219,108.29000091552734,108.80999755859375,448600,108.2305679321289
2024-03-13,109.16999816894531,110.13999938964844,107.51000213623047,108.0,582200,107.42488098144531
2024-03-14,107.12999725341797,107.4800033569336,103.73999786376953,104.87999725341797,914200,104.32148742675781
2024-03-15,103.70999908447266,105.87999725341797,103.41999816894531,104.9000015258789,1158500,104.34139251708984
2024-03-18,105.11000061035156,105.30999755859375,103.31999969482422,104.16000366210938,1027100,103.60533905029297
2024-03-19,104.04000091552734,105.06999969482422,103.2300033569336,104.23999786376953,602400,103.68489837646484
2024-03-20,104.06999969482422,104.94999694824219,103.44000244140625,104.66999816894531,558800,104.11260223388672
2024-03-21,105.7300033569336,106.6500015258789,104.9000015258789,105.06999969482422,776900,104.51048278808594
2024-03-22,104.9000015258789,105.01000213623047,102.33000183105469,103.25,852200,102.70018005371094
2024-03-25,103.36000061035156,104.29000091552734,102.5,103.0,864500,102.4515151977539
2024-03-26,103.20999908447266,104.12000274658203,102.37000274658203,103.41999816894531,684100,102.86927032470703
2024-03-27,104.51000213623047,105.66000366210938,104.05000305175781,105.41000366210938,1224400,104.84867095947266
2024-03-28,105.54000091552734,106.0,104.8499984741211,105.0,656200,104.44085693359375
2024-04-01,105.0,105.0,103.23999786376953,103.2699966430664,507900,102.72006225585938
2024-04-02,102.31999969482422,102.62000274658203,100.95999908447266,102.20999908447266,869100,101.66572570800781
2024-04-03,102.0,103.41000366210938,101.81999969482422,102.3499984741211,466700,101.80496978759766
2024-04-04,103.30000305175781,103.91999816894531,101.16999816894531,101.68000030517578,771700,101.13853454589844
2024-04-05,101.62000274658203,103.20999908447266,101.16999816894531,102.27999877929688,643800,101.73533630371094
2024-04-08,102.33000183105469,106.95999908447266,102.12000274658203,106.41000366210938,1471100,105.84335327148438
2024-04-09,108.0,110.81999969482422,107.70999908447266,110.72000122070312,1757700,110.1303939819336
2024-04-10,108.0199966430664,108.97000122070312,106.37999725341797,107.9000015258789,1439200,107.3254165649414
2024-04-11,109.37999725341797,109.6500015258789,107.44000244140625,108.5,2903800,107.92222595214844
2024-04-12,107.45999908447266,108.02999877929688,103.33999633789062,103.48999786376953,994200,102.93889617919922
2024-04-15,104.3499984741211,104.6500015258789,101.48999786376953,102.31999969482422,951500,101.77513122558594
2024-04-16,102.02999877929688,102.02999877929688,99.93000030517578,100.27999877929688,1058600,99.74598693847656
2024-04-17,100.37999725341797,100.87999725341797,99.31999969482422,100.55000305175781,773200,100.01455688476562
2024-04-18,97.98999786376953,100.48999786376953,97.31999969482422,99.37999725341797,744400,98.91964721679688
2024-04-19,99.75,101.62000274658203,99.51000213623047,100.86000061035156,731100,100.39279174804688
2024-04-22,101.0,102.16000366210938,100.72000122070312,100.7699966430664,668800,100.30320739746094
2024-04-23,101.91999816894531,103.54000091552734,100.98999786376953,103.5,942600,103.02056884765625
2024-04-24,102.68000030517578,104.05000305175781,101.63999938964844,102.68000030517578,632100,102.20437622070312
2024-04-25,102.4000015258789,103.2300033569336,101.08999633789062,102.08999633789062,462300,101.6170883178711
2024-04-26,101.91999816894531,103.1500015258789,101.01000213623047,101.51000213623047,827400,101.03978729248047
2024-04-29,103.43000030517578,107.33999633789062,102.41999816894531,105.0199966430664,943000,104.53353118896484
2024-04-30,104.30000305175781,104.8499984741211,102.30999755859375,102.47000122070312,902500,101.9953384399414
2024-05-01,102.80999755859375,104.54000091552734,101.72000122070312,102.5999984741211,816100,102.12472534179688
2024-05-02,103.37000274658203,103.62000274658203,100.33999633789062,101.08000183105469,675100,100.61177825927734
2024-05-03,102.48999786376953,102.63999938964844,100.54000091552734,100.61000061035156,859100,100.1439437866211
2024-05-06,100.88999938964844,102.87000274658203,100.69999694824219,102.81999969482422,898200,102.34371185302734
2024-05-07,103.31999969482422,103.88999938964844,102.8499984741211,103.16999816894531,502500,102.69209289550781
2024-05-08,102.97000122070312,103.54000091552734,102.75,102.83000183105469,489300,102.35366821289062
2024-05-09,102.68000030517578,104.41000366210938,102.02999877929688,104.33999633789062,403300,103.85667419433594
2024-05-10,104.83000183105469,106.12999725341797,104.56999969482422,104.80000305175781,608000,104.3145523071289
2024-05-13,104.94000244140625,106.76000213623047,104.94000244140625,105.55000305175781,550800,105.06106567382812
2024-05-14,106.52999877929688,107.25,104.69000244140625,106.52999877929688,884000,106.03652954101562
2024-05-15,108.19999694824219,108.48999786376953,107.16999816894531,107.30999755859375,1477400,106.81291961669922
2024-05-16,106.69000244140625,109.62000274658203,106.16999816894531,108.45999908447266,1232400,107.95759582519531
2024-05-17,108.77999877929688,110.33000183105469,107.44000244140625,110.2300033569336,1087200,109.71939849853516
2024-05-20,110.12000274658203,112.26000213623047,109.80000305175781,112.0199966430664,883900,111.50111389160156
2024-05-21,111.54000091552734,113.5,109.6500015258789,113.2300033569336,1052200,112.70549774169922
2024-05-22,112.87999725341797,114.33999633789062,112.52999877929688,112.66999816894531,864100,112.14808654785156
2024-05-23,112.23999786376953,113.2300033569336,110.69999694824219,111.88999938964844,1046500,111.3717041015625
2024-05-24,112.1500015258789,113.45999908447266,111.76000213623047,113.2699966430664,647700,112.74530792236328
2024-05-28,113.05000305175781,113.95999908447266,111.02999877929688,111.86000061035156,1166600,111.34183502197266
2024-05-29,110.86000061035156,111.27999877929688,108.44000244140625,109.75,803500,109.24161529541016
2024-05-30,105.0,108.62000274658203,103.41000366210938,108.33999633789062,2072800,107.83814239501953
2024-05-31,108.61000061035156,109.77999877929688,107.29000091552734,109.26000213623047,1451800,108.7538833618164
2024-06-03,109.38999938964844,110.81999969482422,107.95999908447266,108.80000305175781,826400,108.29602813720703
2024-06-04,108.80999755859375,110.0,107.77999877929688,108.52999877929688,593300,108.02725982666016
2024-06-05,108.68000030517578,110.2699966430664,107.79000091552734,109.86000061035156,497900,109.35110473632812
2024-06-06,107.30999755859375,111.30999755859375,106.0999984741211,111.0199966430664,713500,110.50572967529297
2024-06-07,110.30000305175781,111.05000305175781,109.5999984741211,110.91999816894531,736800,110.40618896484375
2024-06-10,110.38999938964844,110.43000030517578,108.5199966430664,109.30000305175781,919100,108.793701171875
2024-06-11,108.80000305175781,110.04000091552734,108.0199966430664,109.69999694824219,832500,109.19184875488281
2024-06-12,111.36000061035156,112.88999938964844,111.33000183105469,112.55000305175781,1010500,112.02864837646484
2024-06-13,112.02999877929688,112.37000274658203,109.61000061035156,110.72000122070312,2137000,110.20712280273438
2024-06-14,110.01000213623047,110.69999694824219,107.62000274658203,108.6500015258789,1078300,108.1467056274414
2024-06-17,108.29000091552734,109.11000061035156,106.80000305175781,107.38999938964844,629800,106.89254760742188
2024-06-18,107.31999969482422,108.37999725341797,106.55000305175781,107.29000091552734,583200,106.79301452636719
2024-06-20,106.30000305175781,107.7300033569336,105.86000061035156,107.5,688600,107.00204467773438
2024-06-21,107.76000213623047,109.06999969482422,107.08000183105469,107.9800033569336,845000,107.47982025146484
2024-06-24,108.44000244140625,108.44000244140625,106.6500015258789,106.9000015258789,553200,106.40482330322266
2024-06-25,106.6500015258789,106.73999786376953,104.05999755859375,104.63999938964844,606400,104.15528869628906
2024-06-26,104.30999755859375,104.8499984741211,103.81999969482422,104.31999969482422,809100,103.8367691040039
2024-06-27,103.68000030517578,106.0199966430664,103.26000213623047,105.70999908447266,1092600,105.22034454345703
2024-06-28,105.62000274658203,106.55999755859375,103.11000061035156,104.86000061035156,1670700,104.37425994873047
2024-07-01,104.87000274658203,107.18000030517578,102.97000122070312,103.0,1070700,102.52288818359375
2024-07-02,102.94999694824219,103.75,101.72000122070312,102.01000213623047,651000,101.53746795654297
2024-07-03,102.62999725341797,103.04000091552734,101.30000305175781,102.55999755859375,381600,102.08492279052734
2024-07-05,102.98999786376953,103.80000305175781,101.86000061035156,103.55999755859375,475600,103.08029174804688
2024-07-08,104.9000015258789,104.97000122070312,103.69999694824219,104.63999938964844,660700,104.15528869628906
2024-07-09,104.83999633789062,105.4000015258789,102.87999725341797,104.01000213623047,488600,103.52820587158203
2024-07-10,104.54000091552734,106.97000122070312,104.05000305175781,106.69000244140625,661800,106.19579315185547
2024-07-11,108.19999694824219,110.8499984741211,107.69999694824219,109.81999969482422,556600,109.31128692626953
2024-07-12,110.4000015258789,111.66999816894531,109.2699966430664,109.5199966430664,1785700,109.0126724243164
2024-07-15,109.29000091552734,109.77999877929688,107.63999938964844,108.11000061035156,1109600,107.60922241210938
2024-07-16,108.66000366210938,113.79000091552734,108.2300033569336,113.12000274658203,1498500,112.59600067138672
2024-07-17,113.12000274658203,114.11000061035156,112.47000122070312,113.37999725341797,799300,112.85479736328125
2024-07-18,111.86000061035156,113.73999786376953,109.41000366210938,109.87000274658203,873300,109.3610610961914
2024-07-19,109.98999786376953,109.98999786376953,106.91999816894531,108.1500015258789,615400,107.71765899658203
2024-07-22,109.01000213623047,110.80000305175781,108.02999877929688,110.69000244140625,520300,110.24750518798828
2024-07-23,112.29000091552734,112.29000091552734,108.98999786376953,110.04000091552734,742600,109.60010528564453
2024-07-24,110.33999633789062,112.62000274658203,110.31999969482422,111.61000061035156,887100,111.16382598876953
2024-07-25,111.4000015258789,114.13999938964844,111.4000015258789,112.80999755859375,1216600,112.3590316772461
2024-07-26,113.94000244140625,116.77999877929688,113.30999755859375,115.1500015258789,1384100,114.6896743774414
