,Open,High,Low,Close,Volume,Adj Close
2024-03-04,428.3800048828125,429.510009765625,423.95001220703125,425.44000244140625,2056800,418.9524841308594
2024-03-05,423.80999755859375,427.05999755859375,421.3900146484375,422.30999755859375,1456200,415.8702087402344
2024-03-06,424.3299865722656,426.8999938964844,422.3500061035156,426.1400146484375,1529800,419.6418151855469
2024-03-07,430.7300109863281,430.7300109863281,426.3999938964844,426.6700134277344,1189000,420.16375732421875
2024-03-08,427.739990234375,430.6000061035156,426.8699951171875,428.2300109863281,1138700,421.6999206542969
2024-03-11,427.0,428.69000244140625,423.2900085449219,426.67999267578125,987300,420.173583984375
2024-03-12,429.32000732421875,430.7300109863281,426.1499938964844,428.6099853515625,1005600,422.0741271972656
2024-03-13,428.2900085449219,430.1700134277344,426.67999267578125,428.0299987792969,750100,421.5029296875
2024-03-14,426.7200012207031,428.1000061035156,421.05999755859375,423.4700012207031,1296000,417.01251220703125
2024-03-15,420.0299987792969,424.5199890136719,418.6499938964844,422.80999755859375,2467000,416.362548828125
2024-03-18,424.07000732421875,426.2200012207031,421.3599853515625,421.75,1023100,415.3187561035156
2024-03-19,422.3900146484375,424.05999755859375,420.739990234375,423.9700012207031,1643900,417.5049133300781
2024-03-20,424.1499938964844,426.05999755859375,421.7300109863281,426.0299987792969,1333100,419.5334777832031
2024-03-21,427.3500061035156,431.3999938964844,426.010009765625,428.54998779296875,1248400,422.01507568359375
2024-03-22,429.3699951171875,431.0899963378906,419.010009765625,419.1300048828125,1480300,412.73870849609375
2024-03-25,417.44000244140625,418.8399963378906,412.79998779296875,418.4800109863281,1342400,412.0986328125
2024-03-26,418.94000244140625,421.19000244140625,417.17999267578125,419.489990234375,1331800,413.0931701660156
2024-03-27,422.9599914550781,423.4800109863281,418.6700134277344,422.80999755859375,1252900,416.362548828125
2024-03-28,424.5199890136719,427.1600036621094,422.3699951171875,425.45001220703125,1881600,418.96234130859375
2024-04-01,429.0899963378906,431.1600036621094,426.8599853515625,427.0899963378906,1682300,420.57733154296875
2024-04-02,426.5799865722656,427.20001220703125,422.67999267578125,426.1099853515625,1409100,419.61224365234375
2024-04-03,424.92999267578125,426.95001220703125,424.2200012207031,426.4599914550781,1027000,419.9569396972656
2024-04-04,429.1199951171875,437.3900146484375,427.2200012207031,428.4200134277344,1588300,421.8870544433594
2024-04-05,428.3299865722656,432.1099853515625,424.0299987792969,431.5899963378906,1158000,425.0086669921875
2024-04-08,432.0199890136719,435.6400146484375,431.8299865722656,434.1099853515625,1049700,427.49029541015625
2024-04-09,437.3900146484375,438.30999755859375,432.2900085449219,435.0,739400,428.3667297363281
2024-04-10,428.7900085449219,430.30999755859375,423.32000732421875,424.0400085449219,954400,417.5738830566406
2024-04-11,424.260009765625,425.989990234375,422.0400085449219,422.9200134277344,1129200,416.4709167480469
2024-04-12,419.2300109863281,421.94000244140625,416.45001220703125,417.80999755859375,1182200,411.4388427734375
2024-04-15,421.8299865722656,422.6400146484375,408.260009765625,409.55999755859375,1054100,403.3146057128906
2024-04-16,409.25,413.510009765625,407.75,408.55999755859375,1058800,402.32989501953125
2024-04-17,411.3900146484375,413.94000244140625,409.510009765625,412.1099853515625,851100,405.8257141113281
2024-04-18,414.9599914550781,415.7799987792969,408.3999938964844,413.3699951171875,1155000,407.0665588378906
2024-04-19,414.69000244140625,414.8500061035156,409.9100036621094,412.55999755859375,1138700,406.2688903808594
2024-04-22,415.0,417.8999938964844,413.0400085449219,416.92999267578125,1168500,410.5722351074219
2024-04-23,417.0400085449219,418.19000244140625,411.3800048828125,413.260009765625,2356300,406.95819091796875
2024-04-24,412.1300048828125,414.5799865722656,408.95001220703125,413.2799987792969,3357300,406.9779357910156
2024-04-25,428.0400085449219,429.989990234375,407.69000244140625,415.5,2418900,409.16400146484375
2024-04-26,416.010009765625,418.8599853515625,412.8500061035156,415.7799987792969,1611500,409.4397888183594
2024-04-29,418.0,418.0,414.4100036621094,415.30999755859375,1526500,408.9769592285156
2024-04-30,414.8999938964844,417.3500061035156,410.4800109863281,415.8299865722656,2004200,409.489013671875
2024-05-01,413.8599853515625,421.04998779296875,413.8599853515625,416.20001220703125,1083100,409.8534240722656
2024-05-02,417.5400085449219,419.239990234375,408.8399963378906,416.9599914550781,1222000,410.60174560546875
2024-05-03,421.9599914550781,425.3699951171875,420.5199890136719,425.17999267578125,1917800,418.69647216796875
2024-05-06,427.3900146484375,427.7699890136719,420.8900146484375,425.760009765625,1316500,419.2676086425781
2024-05-07,425.1000061035156,428.80999755859375,425.1000061035156,428.55999755859375,795100,422.02490234375
2024-05-08,428.3999938964844,430.3999938964844,427.4700012207031,429.2099914550781,749000,422.6649475097656
2024-05-09,429.0899963378906,432.42999267578125,428.67999267578125,432.2900085449219,1289200,425.69805908203125
2024-05-10,433.75,435.260009765625,431.1400146484375,431.57000732421875,858900,424.9889831542969
2024-05-13,432.4800109863281,433.5799865722656,427.6199951171875,428.010009765625,1135300,421.4833068847656
2024-05-14,428.010009765625,429.739990234375,420.3699951171875,428.0299987792969,1692400,421.5029296875
2024-05-15,429.30999755859375,435.9700012207031,428.1300048828125,435.70001220703125,1272000,429.0560302734375
2024-05-16,435.8599853515625,440.8599853515625,432.3299865722656,438.0199890136719,1105900,431.3406066894531
2024-05-17,439.67999267578125,442.1000061035156,437.1400146484375,441.8800048828125,1236200,435.14178466796875
2024-05-20,439.5400085449219,441.57000732421875,437.0,437.739990234375,1080000,431.0649108886719
2024-05-21,437.739990234375,441.2300109863281,436.8999938964844,439.8699951171875,1516000,433.1624755859375
2024-05-22,439.8399963378906,442.6199951171875,438.57000732421875,442.29998779296875,922700,435.5553894042969
2024-05-23,441.1300048828125,441.1300048828125,434.9700012207031,436.2799987792969,1142300,429.6271667480469
2024-05-24,437.8999938964844,439.8999938964844,435.010009765625,438.239990234375,661800,431.5572509765625
2024-05-28,436.4599914550781,437.6700134277344,429.0,431.0,1199900,424.4277038574219
2024-05-29,426.2699890136719,428.3900146484375,424.0899963378906,424.9599914550781,870800,419.3652038574219
2024-05-30,424.1499938964844,424.7900085449219,420.29998779296875,421.5899963378906,1086300,416.0395812988281
2024-05-31,421.9800109863281,427.7099914550781,419.489990234375,427.510009765625,1849700,421.88165283203125
2024-06-03,428.44000244140625,432.2699890136719,424.82000732421875,429.260009765625,1230000,423.608642578125
2024-06-04,428.989990234375,433.4200134277344,427.2699890136719,431.8399963378906,657600,426.1546630859375
2024-06-05,432.7200012207031,436.989990234375,427.8399963378906,436.2900085449219,879900,430.54608154296875
2024-06-06,437.3800048828125,438.95001220703125,434.1000061035156,434.6600036621094,613100,428.9375305175781
2024-06-07,431.6700134277344,432.8900146484375,428.2300109863281,428.739990234375,810100,423.0954284667969
2024-06-10,427.6600036621094,430.260009765625,425.489990234375,430.0,694700,424.3388977050781
2024-06-11,429.9100036621094,429.9100036621094,427.19000244140625,428.80999755859375,1148200,423.16455078125
2024-06-12,434.20001220703125,441.80999755859375,432.1099853515625,440.25,1219000,434.4539489746094
2024-06-13,440.0,440.6700134277344,435.3699951171875,437.19000244140625,689600,431.43426513671875
2024-06-14,434.7300109863281,436.0,429.8800048828125,434.3999938964844,789400,428.68096923828125
2024-06-17,432.2900085449219,434.82000732421875,429.8699951171875,433.29998779296875,765900,427.59539794921875
2024-06-18,434.0400085449219,436.2099914550781,431.3999938964844,435.8500061035156,983500,430.1118469238281
2024-06-20,436.1499938964844,440.3299865722656,434.4700012207031,438.7099914550781,1006600,432.9342346191406
2024-06-21,438.67999267578125,440.2300109863281,436.0,439.2200012207031,1367400,433.4375
2024-06-24,440.5,446.54998779296875,438.3399963378906,444.9700012207031,958500,439.1117858886719
2024-06-25,445.7900085449219,449.239990234375,442.7699890136719,448.7799987792969,998800,442.8716735839844
2024-06-26,446.32000732421875,449.1199951171875,443.55999755859375,448.3599853515625,1630800,442.4571533203125
2024-06-27,450.0,450.9800109863281,446.45001220703125,448.9100036621094,1100900,442.9999084472656
2024-06-28,446.6000061035156,447.9700012207031,442.0299987792969,446.0,3028300,440.12823486328125
2024-07-01,448.3800048828125,451.1099853515625,444.0899963378906,446.32000732421875,1079600,440.4440002441406
2024-07-02,446.3599853515625,450.7699890136719,446.3599853515625,450.45001220703125,731300,444.5196838378906
2024-07-03,449.8599853515625,451.6400146484375,448.57000732421875,449.44000244140625,462100,443.52294921875
2024-07-05,451.3699951171875,454.04998779296875,448.010009765625,453.2699890136719,777100,447.3025207519531
2024-07-08,454.239990234375,457.05999755859375,453.5199890136719,455.8900146484375,833100,449.8880310058594
2024-07-09,458.7699890136719,461.3800048828125,456.8399963378906,460.29998779296875,892300,454.2399597167969
2024-07-10,461.3500061035156,466.05999755859375,458.3999938964844,466.0,1233400,459.8649597167969
2024-07-11,466.8800048828125,473.260009765625,466.8800048828125,473.2200012207031,1376100,466.9898376464844
2024-07-12,474.7099914550781,481.1700134277344,474.0,478.32000732421875,1355500,472.0227355957031
2024-07-15,478.8999938964844,483.2200012207031,477.20001220703125,482.54998779296875,1083500,476.197021484375
2024-07-16,484.5,488.8500061035156,482.739990234375,488.7900085449219,1215100,482.3548583984375
2024-07-17,488.42999267578125,489.9599914550781,486.010009765625,489.8699951171875,1411200,483.4206848144531
2024-07-18,487.8900146484375,491.4800109863281,484.1499938964844,484.69000244140625,1250200,478.308837890625
2024-07-19,485.3800048828125,485.5400085449219,478.9800109863281,479.8399963378906,1094400,473.52276611328125
2024-07-22,484.92999267578125,487.9800109863281,481.9800109863281,487.32000732421875,1094700,480.90423583984375
2024-07-23,487.8599853515625,498.1499938964844,487.1000061035156,495.55999755859375,1024000,489.0357666015625
2024-07-24,494.8999938964844,496.5799865722656,480.2099914550781,481.6600036621094,1091200,475.31878662109375
2024-07-25,478.0400085449219,492.0,476.9700012207031,483.3299865722656,785700,476.9667663574219
2024-07-26,486.70001220703125,492.6700134277344,484.70001220703125,489.82000732421875,823300,483.371337890625
2024-07-29,491.4800109863281,493.30999755859375,488.510009765625,489.8299865722656,1122500,483.3811340332031
2024-07-30,495.6000061035156,502.95001220703125,480.6499938964844,488.510009765625,1399900,482.07855224609375
2024-07-31,491.54998779296875,492.70001220703125,481.2099914550781,484.7300109863281,1644700,478.3483581542969
2024-08-01,489.9100036621094,491.6000061035156,486.1400146484375,490.5299987792969,1049100,484.07196044921875
2024-08-02,485.8500061035156,489.7300109863281,480.1199951171875,486.0400085449219,1214400,479.64111328125
2024-08-05,477.3299865722656,477.8900146484375,467.69000244140625,471.989990234375,1562600,465.7760314941406
2024-08-06,474.9800109863281,487.1700134277344,473.3299865722656,479.4800109863281,1473500,473.16748046875
2024-08-07,483.80999755859375,490.42999267578125,477.4200134277344,478.1199951171875,1305900,471.82537841796875
2024-08-08,478.7900085449219,488.1600036621094,477.2900085449219,487.19000244140625,932200,480.7759704589844
2024-08-09,488.0,490.20001220703125,485.5199890136719,488.510009765625,611200,482.07855224609375
2024-08-12,488.42999267578125,489.989990234375,483.4800109863281,484.4700012207031,731900,478.091796875
2024-08-13,488.55999755859375,491.1600036621094,486.29998779296875,489.69000244140625,639900,483.2430419921875
2024-08-14,489.010009765625,493.45001220703125,487.8399963378906,492.6499938964844,736200,486.1640625
2024-08-15,494.0199890136719,497.4700012207031,491.5799865722656,492.92999267578125,778500,486.4403381347656
2024-08-16,494.0,494.1499938964844,489.0199890136719,490.8699951171875,1012800,484.40753173828125
2024-08-19,491.8900146484375,495.8999938964844,491.8900146484375,495.739990234375,972900,489.21337890625
2024-08-20,497.760009765625,499.30999755859375,495.989990234375,497.8599853515625,2046700,491.3054504394531
2024-08-21,497.8599853515625,499.2900085449219,495.4599914550781,498.9800109863281,857100,492.4107360839844
2024-08-22,498.9800109863281,500.7200012207031,496.70001220703125,498.7200012207031,1347700,492.1541442871094
2024-08-23,500.4800109863281,502.7300109863281,497.79998779296875,500.5899963378906,679800,493.99957275390625
2024-08-26,502.42999267578125,505.8500061035156,501.2300109863281,502.0199890136719,850600,495.4106750488281
2024-08-27,500.3299865722656,506.7900085449219,499.6300048828125,505.3900146484375,1123400,499.64208984375
2024-08-28,505.3599853515625,510.2900085449219,500.54998779296875,505.2699890136719,1368200,499.52337646484375
2024-08-29,506.4200134277344,511.8800048828125,505.010009765625,508.04998779296875,1096300,502.2717590332031
2024-08-30,509.6499938964844,514.0,507.20001220703125,513.239990234375,1245400,507.4028015136719
2024-09-03,514.97998046875,517.4600219726562,506.989990234375,510.79998779296875,1059300,504.9905090332031
2024-09-04,510.9700012207031,513.9500122070312,509.1700134277344,513.3099975585938,781200,507.47198486328125
2024-09-05,514.7999877929688,518.5900268554688,513.719970703125,517.0,1171700,511.1199951171875
2024-09-06,517.0900268554688,521.5,510.1199951171875,510.6400146484375,1037700,504.8323974609375
2024-09-09,514.7899780273438,519.8699951171875,513.5499877929688,515.8300170898438,937800,509.96331787109375
2024-09-10,517.7000122070312,520.97998046875,513.6599731445312,519.9500122070312,972200,514.0364379882812
2024-09-11,516.9500122070312,517.7100219726562,504.5,515.8099975585938,1176100,509.9435119628906
2024-09-12,514.1300048828125,521.010009765625,512.5900268554688,520.010009765625,889700,514.0958251953125
2024-09-13,522.0,524.1400146484375,518.0700073242188,519.4500122070312,1148800,513.5421752929688
2024-09-16,521.8599853515625,528.02001953125,520.6199951171875,527.3800048828125,1015800,521.382080078125
2024-09-17,525.0999755859375,525.8300170898438,517.5800170898438,522.3800048828125,1124000,516.4388427734375
2024-09-18,520.6400146484375,525.27001953125,516.02001953125,519.52001953125,951100,513.6113891601562
2024-09-19,525.0,526.7999877929688,522.0800170898438,524.219970703125,936300,518.2578735351562
2024-09-20,523.3900146484375,525.22998046875,520.0,523.6699829101562,1814700,517.714111328125
2024-09-23,520.02001953125,527.8400268554688,518.1199951171875,521.0800170898438,960800,515.1536254882812
2024-09-24,517.280029296875,519.510009765625,513.010009765625,518.1099853515625,1070900,512.2174072265625
2024-09-25,519.510009765625,522.0599975585938,513.1599731445312,514.8200073242188,931100,508.96484375
2024-09-26,513.239990234375,515.9299926757812,509.260009765625,511.70001220703125,1209400,505.88031005859375
2024-09-27,511.6000061035156,516.6799926757812,511.19000244140625,512.719970703125,806700,506.8886413574219
2024-09-30,512.0599975585938,517.469970703125,510.30999755859375,516.6199951171875,1000000,510.7442932128906
2024-10-01,518.6400146484375,518.8699951171875,511.45001220703125,512.219970703125,978400,506.3943176269531
2024-10-02,514.0700073242188,516.6500244140625,511.04998779296875,514.7100219726562,962300,508.8560791015625
2024-10-03,514.5700073242188,516.97998046875,513.4299926757812,514.5999755859375,753900,508.7472839355469
2024-10-04,513.5800170898438,516.1400146484375,508.3500061035156,512.1699829101562,683800,506.34490966796875
2024-10-07,512.5499877929688,513.5599975585938,505.1400146484375,506.4200134277344,816000,500.66033935546875
2024-10-08,511.32000732421875,519.5599975585938,510.4599914550781,518.3499755859375,1005200,512.45458984375
2024-10-09,519.0,524.3499755859375,518.5599975585938,521.469970703125,819200,515.5390625
2024-10-10,519.9500122070312,521.489990234375,513.9500122070312,515.1199951171875,719100,509.2613830566406
2024-10-11,517.52001953125,522.719970703125,516.6699829101562,522.010009765625,662100,516.0730590820312
2024-10-14,522.5599975585938,528.5399780273438,522.5599975585938,527.52001953125,639200,521.5203857421875
2024-10-15,530.0,533.2899780273438,527.8300170898438,528.4500122070312,1298400,522.439697265625
2024-10-16,524.8599853515625,529.6099853515625,522.010009765625,529.0,629000,522.9835205078125
2024-10-17,531.739990234375,532.0,515.2100219726562,518.9600219726562,1447600,513.0577392578125
2024-10-18,523.9099731445312,525.5800170898438,520.8800048828125,524.7999877929688,1832000,518.8312377929688
2024-10-21,521.1699829101562,524.75,518.6900024414062,523.1900024414062,808200,517.2395629882812
2024-10-22,519.0599975585938,519.3800048828125,510.6300048828125,513.52001953125,1316400,507.6796569824219
2024-10-23,513.5,514.5499877929688,509.6000061035156,510.9200134277344,1023100,505.1092224121094
2024-10-24,499.0,504.4200134277344,492.0400085449219,493.2099914550781,1761300,487.6005554199219
2024-10-25,497.5899963378906,498.92999267578125,488.6400146484375,490.6099853515625,984400,485.0301208496094
2024-10-28,493.8500061035156,494.92999267578125,486.30999755859375,487.239990234375,1303500,481.698486328125
2024-10-29,487.69000244140625,489.82000732421875,486.0299987792969,486.75,1615500,481.21405029296875
2024-10-30,487.6300048828125,490.5899963378906,484.75,485.94000244140625,1109300,480.41326904296875
2024-10-31,484.8699951171875,485.8800048828125,480.0299987792969,480.3599853515625,1326400,474.8966979980469
2024-11-01,481.8699951171875,487.2300109863281,480.8800048828125,483.30999755859375,940300,477.81317138671875
2024-11-04,483.92999267578125,486.75,482.9200134277344,485.7699890136719,1908700,480.2452087402344
2024-11-05,485.9700012207031,489.82000732421875,484.8399963378906,489.7099914550781,1879500,484.1404113769531
2024-11-06,503.6199951171875,503.6199951171875,477.2900085449219,489.989990234375,2389600,484.41717529296875
2024-11-07,494.7200012207031,498.32000732421875,492.30999755859375,497.1000061035156,1314700,491.4463806152344
2024-11-08,497.239990234375,507.489990234375,497.239990234375,502.82000732421875,1343100,497.1012878417969
2024-11-11,500.489990234375,509.9599914550781,500.010009765625,507.260009765625,1125600,501.49078369140625
2024-11-12,506.95001220703125,508.04998779296875,503.2099914550781,503.4700012207031,1035100,497.743896484375
2024-11-13,503.8500061035156,515.7999877929688,503.5400085449219,510.2900085449219,1098400,504.486328125
2024-11-14,514.2999877929688,515.72998046875,510.2900085449219,510.6400146484375,794200,504.8323974609375
2024-11-15,506.1499938964844,510.7900085449219,502.05999755859375,503.2900085449219,1187600,497.56591796875
2024-11-18,501.6300048828125,504.7300109863281,499.1499938964844,503.0,1449700,497.2792053222656
2024-11-19,502.7300109863281,505.8800048828125,499.79998779296875,502.30999755859375,1402600,496.59710693359375
2024-11-20,503.6000061035156,507.4700012207031,496.1300048828125,503.1300048828125,1258400,497.4077453613281
2024-11-21,508.010009765625,513.5599975585938,504.32000732421875,511.3699951171875,1159400,505.5540466308594
2024-11-22,510.0,517.4199829101562,510.0,514.4600219726562,1230000,508.6089172363281
2024-11-25,516.760009765625,520.8300170898438,514.8099975585938,520.510009765625,1890300,514.5900268554688
2024-11-26,521.5700073242188,524.0,515.969970703125,521.9600219726562,948000,516.9273071289062
2024-11-27,523.0,526.8200073242188,519.530029296875,522.8599853515625,1391600,517.8186645507812
2024-11-29,523.5499877929688,526.75,521.4099731445312,522.510009765625,842500,517.4719848632812
2024-12-02,522.4199829101562,524.2899780273438,518.280029296875,522.8699951171875,1460200,517.8284912109375
2024-12-03,523.47998046875,524.969970703125,517.72998046875,518.1900024414062,1253000,513.1937255859375
2024-12-04,519.260009765625,527.8900146484375,519.260009765625,520.260009765625,1295800,515.2437133789062
2024-12-05,519.3800048828125,519.3800048828125,511.79998779296875,513.8900146484375,991900,508.9351501464844
2024-12-06,514.25,520.5800170898438,513.1300048828125,516.77001953125,914200,511.787353515625
2024-12-09,514.0599975585938,517.9400024414062,509.3800048828125,513.3499755859375,1205800,508.4003601074219
2024-12-10,513.6300048828125,514.5,509.4100036621094,512.1500244140625,1369500,507.2119140625
2024-12-11,512.0499877929688,519.8499755859375,509.760009765625,516.27001953125,882200,511.2921447753906
2024-12-12,516.6599731445312,518.6400146484375,512.8200073242188,512.8699951171875,838800,507.9249267578125
2024-12-13,513.739990234375,515.25,504.2699890136719,505.75,1191800,500.87359619140625
2024-12-16,506.5199890136719,510.0,502.19000244140625,502.8599853515625,1402400,498.0114440917969
2024-12-17,502.04998779296875,502.04998779296875,497.3900146484375,500.510009765625,1456400,495.6841735839844
2024-12-18,500.1499938964844,506.0899963378906,489.69000244140625,490.1300048828125,1439900,485.40423583984375
2024-12-19,492.94000244140625,495.5,485.7200012207031,486.55999755859375,1684100,481.86865234375
2024-12-20,485.0,494.82000732421875,483.9200134277344,491.80999755859375,2543600,487.0680236816406
2024-12-23,490.0199890136719,498.8999938964844,488.5299987792969,498.25,1622300,493.4459228515625
2024-12-24,499.7900085449219,504.75,498.2200012207031,504.75,432200,499.88323974609375
