,Open,High,Low,Close,Volume,Adj Close
2024-03-04,249.14999389648438,249.7100067138672,247.0,248.02999877929688,1212100,237.3587646484375
2024-03-05,248.19000244140625,250.3699951171875,246.52000427246094,248.13999938964844,1221300,237.46400451660156
2024-03-06,248.0,248.8699951171875,246.13999938964844,248.39999389648438,1178800,237.71279907226562
2024-03-07,249.42999267578125,255.3699951171875,248.50999450683594,255.3000030517578,1342400,244.31593322753906
2024-03-08,255.80999755859375,258.8699951171875,254.41000366210938,257.69000244140625,1920300,246.60311889648438
2024-03-11,258.0,263.05999755859375,257.8299865722656,261.9800109863281,1418800,250.7085723876953
2024-03-12,262.0,262.3900146484375,260.04998779296875,261.8599853515625,998400,250.59375
2024-03-13,263.6099853515625,265.239990234375,262.4599914550781,263.70001220703125,900000,252.3545379638672
2024-03-14,262.239990234375,263.1600036621094,258.7799987792969,260.8299865722656,941900,249.60797119140625
2024-03-15,259.0,267.8999938964844,259.0,267.6400146484375,2421200,256.1251220703125
2024-03-18,267.0899963378906,267.739990234375,265.0899963378906,266.3500061035156,1176900,254.89053344726562
2024-03-19,267.0,268.80999755859375,266.5,268.75,1183000,257.1872253417969
2024-03-20,268.82000732421875,269.1700134277344,266.05999755859375,268.5,1264400,256.9480285644531
2024-03-21,268.5,270.1600036621094,266.69000244140625,269.3500061035156,1016400,257.7614440917969
2024-03-22,271.0,271.0,267.42999267578125,268.239990234375,664400,256.69921875
2024-03-25,268.8599853515625,270.6099853515625,268.2099914550781,270.44000244140625,758600,258.8045959472656
2024-03-26,271.07000732421875,271.07000732421875,268.30999755859375,269.2900085449219,878400,257.7040710449219
2024-03-27,270.57000732421875,272.17999267578125,269.05999755859375,272.0400085449219,838700,260.33575439453125
2024-03-28,272.3800048828125,273.0,269.7099914550781,271.760009765625,1144000,260.0677795410156
2024-04-01,271.3500061035156,271.6300048828125,264.3500061035156,266.0,1420100,254.5556182861328
2024-04-02,267.29998779296875,269.8599853515625,265.6700134277344,267.4100036621094,1258500,255.90492248535156
2024-04-03,266.8399963378906,267.4800109863281,264.8299865722656,266.95001220703125,769200,255.46475219726562
2024-04-04,268.0799865722656,268.32000732421875,263.2699890136719,264.30999755859375,1401800,252.9382781982422
2024-04-05,264.239990234375,265.69000244140625,262.5400085449219,265.6300048828125,1247900,254.2014923095703
2024-04-08,265.54998779296875,267.25,265.010009765625,266.0,968200,254.5556182861328
2024-04-09,267.54998779296875,267.54998779296875,262.07000732421875,262.9700012207031,1203800,251.65594482421875
2024-04-10,259.010009765625,265.30999755859375,258.1000061035156,264.9200134277344,2645200,253.5220489501953
2024-04-11,271.0,274.8699951171875,264.0400085449219,268.3399963378906,4101200,256.7948913574219
2024-04-12,269.510009765625,270.17999267578125,262.0799865722656,262.239990234375,1629300,250.95738220214844
2024-04-15,265.2799987792969,265.2799987792969,257.19000244140625,258.5199890136719,1832700,247.3974151611328
2024-04-16,257.95001220703125,259.2099914550781,253.41000366210938,257.7799987792969,1773800,246.6892547607422
2024-04-17,259.2300109863281,259.2300109863281,257.0799865722656,257.30999755859375,1530500,246.23948669433594
2024-04-18,257.82000732421875,260.9700012207031,257.5199890136719,258.67999267578125,1160800,247.55052185058594
