,Open,High,Low,Close,Volume,Adj Close
2024-03-01,98.5999984741211,99.5999984741211,98.5999984741211,99.33999633789062,1241900,95.59164428710938
2024-03-04,99.44999694824219,101.08999633789062,99.04000091552734,100.98999786376953,1450100,97.17939758300781
2024-03-05,100.95999908447266,103.25,100.30000305175781,102.5199966430664,2176600,98.65167236328125
2024-03-06,103.61000061035156,105.58000183105469,103.04000091552734,104.29000091552734,2224800,100.35488891601562
2024-03-07,104.26000213623047,105.02999877929688,104.02999877929688,104.7300033569336,1679600,100.77828979492188
2024-03-08,104.4000015258789,105.18000030517578,103.31999969482422,103.83000183105469,1329500,99.9122314453125
2024-03-11,103.52999877929688,104.62000274658203,103.18000030517578,104.5999984741211,1313700,100.65319061279297
2024-03-12,104.31999969482422,105.70999908447266,104.23999786376953,105.55000305175781,1006100,101.56734466552734
2024-03-13,106.37999725341797,107.27999877929688,105.98999786376953,106.41999816894531,1120200,102.40451049804688
2024-03-14,106.30999755859375,106.87000274658203,104.91999816894531,105.63999938964844,1234300,101.65393829345703
2024-03-15,104.88999938964844,106.86000061035156,104.88999938964844,105.97000122070312,1930200,101.97148895263672
2024-03-18,106.52999877929688,107.44000244140625,106.04000091552734,107.36000061035156,1016400,103.30904388427734
2024-03-19,107.45999908447266,109.37999725341797,107.30999755859375,109.11000061035156,1912300,104.99301147460938
2024-03-20,109.12000274658203,109.44999694824219,108.6500015258789,109.08000183105469,1538700,104.96414184570312
2024-03-21,109.16999816894531,111.12999725341797,109.12999725341797,111.01000213623047,1986400,106.8213119506836
2024-03-22,111.04000091552734,111.76000213623047,110.44000244140625,110.9000015258789,1828600,106.7154769897461
2024-03-25,111.25,112.5,111.01000213623047,111.61000061035156,1894800,107.39867401123047
2024-03-26,111.5999984741211,111.68000030517578,110.45999908447266,110.6500015258789,1556300,106.47489929199219
2024-03-27,110.87999725341797,111.9800033569336,110.26000213623047,111.05000305175781,1334800,106.85982513427734
2024-03-28,111.7699966430664,112.27999877929688,110.55999755859375,111.98999786376953,1571200,107.76434326171875
2024-04-01,112.51000213623047,112.51000213623047,111.19000244140625,112.2300033569336,1116100,107.99527740478516
2024-04-02,112.5,113.33000183105469,111.93000030517578,113.29000091552734,1240600,109.01528930664062
2024-04-03,114.13999938964844,116.12999725341797,114.0,116.0,1710600,111.6230239868164
