,Open,High,Low,Close,Volume,Adj Close
2024-03-04,286.0,289.7900085449219,285.0299987792969,288.1300048828125,929700,284.0287780761719
2024-03-05,287.1499938964844,289.2300109863281,282.7300109863281,284.05999755859375,953100,280.0166931152344
2024-03-06,285.3999938964844,287.739990234375,284.260009765625,286.3399963378906,949800,282.2642517089844
2024-03-07,288.0400085449219,289.510009765625,286.75,287.45001220703125,506500,283.3584899902344
2024-03-08,288.010009765625,288.80999755859375,283.3399963378906,284.8500061035156,596100,280.7955017089844
2024-03-11,283.010009765625,283.989990234375,279.0,282.9200134277344,598200,278.8929443359375
2024-03-12,282.9200134277344,288.2900085449219,281.4599914550781,287.7099914550781,789700,283.61474609375
2024-03-13,288.5,288.82000732421875,285.6199951171875,285.92999267578125,1193100,281.8600769042969
2024-03-14,290.1000061035156,294.4599914550781,288.8299865722656,291.94000244140625,1347500,287.7845153808594
2024-03-15,289.0,293.2200012207031,288.5199890136719,291.4100036621094,1607000,287.2620849609375
2024-03-18,293.82000732421875,294.8399963378906,291.25,291.7699890136719,637500,287.6169128417969
2024-03-19,291.7699890136719,295.5799865722656,290.9800109863281,295.0299987792969,650600,290.8305358886719
2024-03-20,296.510009765625,298.7699890136719,294.7799987792969,298.6199951171875,823200,294.36944580078125
2024-03-21,299.3699951171875,305.0,298.0,303.8900146484375,1126400,299.564453125
2024-03-22,303.54998779296875,304.29998779296875,299.739990234375,300.2900085449219,1064000,296.0156555175781
2024-03-25,299.6000061035156,300.75,298.4200134277344,299.6300048828125,592500,295.3651123046875
2024-03-26,299.0,301.6499938964844,299.0,299.2799987792969,469200,295.02008056640625
2024-03-27,300.7200012207031,301.8800048828125,296.8900146484375,299.7099914550781,607000,295.44390869140625
2024-03-28,297.8800048828125,300.7699890136719,296.0,300.20001220703125,754000,295.9269714355469
2024-04-01,299.5,299.9100036621094,296.1099853515625,296.7300109863281,884800,292.50634765625
2024-04-02,297.9100036621094,298.95001220703125,293.0799865722656,297.510009765625,1134400,293.2752685546875
2024-04-03,297.80999755859375,303.1400146484375,297.5799865722656,301.3399963378906,734000,297.0507507324219
2024-04-04,304.9700012207031,306.1300048828125,296.7699890136719,297.510009765625,764400,293.2752685546875
2024-04-05,299.9599914550781,305.5899963378906,298.92999267578125,304.6700134277344,811400,300.3333740234375
2024-04-08,306.0,306.9800109863281,302.7900085449219,303.8399963378906,673400,299.51513671875
2024-04-09,305.69000244140625,305.989990234375,295.5899963378906,301.2200012207031,911300,296.93243408203125
2024-04-10,296.239990234375,300.2799987792969,294.17999267578125,298.5400085449219,648800,294.29058837890625
2024-04-11,297.44000244140625,299.42999267578125,295.95001220703125,297.239990234375,834700,293.0090637207031
2024-04-12,295.05999755859375,297.6300048828125,294.1700134277344,296.9599914550781,996300,292.73309326171875
2024-04-15,301.82000732421875,304.1499938964844,293.8299865722656,293.8800048828125,844800,289.6968994140625
2024-04-16,292.989990234375,296.8399963378906,290.2799987792969,295.6300048828125,752200,291.4220275878906
2024-04-17,297.0199890136719,298.69000244140625,290.30999755859375,293.0899963378906,883500,288.91815185546875
2024-04-18,295.5400085449219,295.5400085449219,289.3399963378906,289.55999755859375,649900,285.43841552734375
2024-04-19,291.4200134277344,293.25,286.32000732421875,288.2699890136719,800800,284.1667785644531
2024-04-22,291.1199951171875,294.4200134277344,288.95001220703125,291.1499938964844,1009400,287.0057373046875
2024-04-23,293.45001220703125,296.1700134277344,292.2799987792969,295.0899963378906,1031900,290.8896789550781
2024-04-24,296.5400085449219,303.3999938964844,293.3900146484375,296.489990234375,908000,292.2697448730469
2024-04-25,295.010009765625,301.4200134277344,291.3699951171875,299.3699951171875,1401700,295.1087646484375
2024-04-26,299.1499938964844,305.42999267578125,299.1499938964844,304.5299987792969,961800,300.1953125
2024-04-29,304.5299987792969,307.95001220703125,300.1400146484375,300.8599853515625,1878100,296.5775451660156
2024-04-30,314.9800109863281,327.0899963378906,314.9800109863281,317.3399963378906,2419600,312.822998046875
2024-05-01,316.4200134277344,319.1700134277344,311.8800048828125,314.9800109863281,1378700,310.49658203125
2024-05-02,317.75,318.0,313.2300109863281,316.7900085449219,1153200,312.28082275390625
2024-05-03,320.29998779296875,321.0,315.79998779296875,319.2900085449219,1074500,314.7452697753906
2024-05-06,321.9800109863281,326.5299987792969,321.9800109863281,325.739990234375,707000,321.1033935546875
2024-05-07,325.7200012207031,327.4700012207031,324.4800109863281,325.8900146484375,796100,321.2513122558594
2024-05-08,326.8900146484375,329.1400146484375,325.1000061035156,327.6000061035156,647400,322.9369812011719
2024-05-09,327.6099853515625,333.4200134277344,327.2699890136719,332.9200134277344,807600,328.1812438964844
2024-05-10,334.2699890136719,335.2799987792969,331.1400146484375,331.9800109863281,744900,327.254638671875
2024-05-13,332.69000244140625,333.82000732421875,326.5199890136719,326.6400146484375,785600,321.9906005859375
2024-05-14,327.760009765625,331.010009765625,325.3299865722656,330.05999755859375,861400,325.3619079589844
2024-05-15,331.2300109863281,334.1600036621094,330.2699890136719,332.2900085449219,912500,327.5601806640625
