,Open,High,Low,Close,Volume,Adj Close
2024-03-01,271.20001220703125,271.9599914550781,269.3800048828125,271.17999267578125,438400,264.85845947265625
2024-03-04,269.94000244140625,272.1400146484375,268.7099914550781,272.0899963378906,606500,265.747314453125
2024-03-05,272.0199890136719,272.5799865722656,270.2099914550781,271.7300109863281,507200,265.39569091796875
2024-03-06,271.7699890136719,275.1000061035156,269.1499938964844,274.8699951171875,399100,268.4624938964844
2024-03-07,275.4599914550781,275.739990234375,273.7799987792969,274.3599853515625,367300,267.9643859863281
2024-03-08,274.80999755859375,275.8599853515625,273.3399963378906,273.7099914550781,354800,267.32952880859375
2024-03-11,273.8999938964844,275.55999755859375,270.20001220703125,271.9700012207031,608500,265.6300964355469
2024-03-12,271.19000244140625,275.1499938964844,270.6700134277344,274.9800109863281,641900,268.5699462890625
2024-03-13,275.8599853515625,276.2200012207031,273.05999755859375,274.8999938964844,530100,268.4918212890625
2024-03-14,274.0199890136719,275.69000244140625,272.70001220703125,274.0,482900,267.6127624511719
2024-03-15,271.3599853515625,274.57000732421875,271.2200012207031,271.95001220703125,885400,265.610595703125
2024-03-18,272.7300109863281,274.05999755859375,271.5899963378906,273.82000732421875,402800,267.43701171875
2024-03-19,274.80999755859375,275.82000732421875,271.7699890136719,272.94000244140625,579000,266.5774841308594
2024-03-20,272.9800109863281,274.9599914550781,272.25,274.7099914550781,387900,268.30621337890625
2024-03-21,274.489990234375,275.1099853515625,271.8399963378906,274.510009765625,471200,268.1108703613281
2024-03-22,274.8999938964844,275.69000244140625,272.8500061035156,273.2099914550781,492100,266.8411865234375
2024-03-25,274.0,274.8299865722656,272.5299987792969,273.7200012207031,463900,267.3393249511719
2024-03-26,272.7099914550781,275.239990234375,272.7099914550781,274.1400146484375,507500,267.7495422363281
2024-03-27,274.739990234375,276.04998779296875,272.75,275.9200134277344,420800,270.3558654785156
2024-03-28,276.0,276.1400146484375,273.80999755859375,275.0,559600,269.4544677734375
2024-04-01,274.6400146484375,274.6400146484375,272.9599914550781,273.44000244140625,318300,267.9259033203125
2024-04-02,273.44000244140625,274.0799865722656,267.3399963378906,267.80999755859375,622400,262.4093933105469
2024-04-03,266.80999755859375,271.239990234375,266.80999755859375,269.29998779296875,449700,263.8693542480469
2024-04-04,270.1700134277344,270.8999938964844,265.80999755859375,266.32000732421875,350800,260.9494934082031
2024-04-05,265.989990234375,271.0199890136719,265.8999938964844,270.94000244140625,439700,265.4762878417969
2024-04-08,269.94000244140625,270.05999755859375,267.19000244140625,267.3900146484375,386300,261.9978942871094
2024-04-09,268.19000244140625,268.20001220703125,263.57000732421875,265.1000061035156,469400,259.7541198730469
2024-04-10,263.010009765625,265.7699890136719,261.6300048828125,263.8299865722656,336000,258.5096740722656
2024-04-11,261.92999267578125,262.6400146484375,260.1400146484375,260.30999755859375,381900,255.06065368652344
2024-04-12,259.5199890136719,262.1300048828125,258.7099914550781,260.30999755859375,558100,255.06065368652344
2024-04-15,263.739990234375,263.739990234375,258.0299987792969,258.489990234375,267200,253.27735900878906
2024-04-16,258.54998779296875,260.17999267578125,257.1700134277344,257.19000244140625,354900,252.00360107421875
2024-04-17,257.2099914550781,260.07000732421875,256.25,259.2699890136719,518300,254.04164123535156
2024-04-18,262.0199890136719,264.5400085449219,260.9599914550781,262.989990234375,445000,257.68658447265625
2024-04-19,264.44000244140625,265.42999267578125,263.32000732421875,264.5199890136719,301400,259.1857604980469
2024-04-22,265.6099853515625,266.17999267578125,264.07000732421875,265.1700134277344,313700,259.82269287109375
2024-04-23,265.1700134277344,266.55999755859375,263.239990234375,263.67999267578125,367900,258.3627014160156
2024-04-24,262.1000061035156,265.19000244140625,261.82000732421875,264.4800109863281,480500,259.1466369628906
