,Open,High,Low,Close,Volume,Adj Close
2024-03-04,137.10000610351562,138.63999938964844,136.69000244140625,138.5500030517578,2421400,133.3190460205078
2024-03-05,138.75,139.0,137.82000732421875,138.6999969482422,2283400,133.46339416503906
2024-03-06,139.0500030517578,139.8300018310547,138.7899932861328,139.5500030517578,1772600,134.28131103515625
2024-03-07,140.0,141.63999938964844,139.6699981689453,140.3800048828125,1939800,135.07998657226562
2024-03-08,140.02000427246094,140.8800048828125,139.16000366210938,139.55999755859375,1365000,134.29092407226562
2024-03-11,139.4600067138672,140.41000366210938,138.74000549316406,140.0800018310547,1711300,134.7913055419922
2024-03-12,140.0500030517578,141.52000427246094,139.8300018310547,140.74000549316406,1464800,135.42636108398438
2024-03-13,141.0,141.19000244140625,138.1300048828125,138.36000061035156,3361400,133.13623046875
2024-03-14,138.0500030517578,138.44000244140625,136.27999877929688,137.16000366210938,3091900,131.98153686523438
2024-03-15,136.47000122070312,137.52999877929688,136.08999633789062,136.83999633789062,4164800,131.67359924316406
2024-03-18,136.41000366210938,137.38999938964844,136.22999572753906,136.27000427246094,2384500,131.1251220703125
2024-03-19,136.42999267578125,137.4199981689453,135.89999389648438,137.2899932861328,2266500,132.10659790039062
2024-03-20,137.3800048828125,137.44000244140625,135.77999877929688,136.50999450683594,1699600,131.35606384277344
2024-03-21,136.1999969482422,137.13999938964844,135.17999267578125,136.57000732421875,1506100,131.41380310058594
2024-03-22,136.61000061035156,136.72000122070312,135.64999389648438,136.22999572753906,1296400,131.08663940429688
2024-03-25,136.05999755859375,136.1699981689453,134.4199981689453,134.6199951171875,2486600,129.53741455078125
2024-03-26,135.08999633789062,135.38999938964844,134.58999633789062,134.8000030517578,1470400,129.71063232421875
2024-03-27,135.77000427246094,137.3300018310547,135.58999633789062,137.32000732421875,1634700,132.135498046875
2024-03-28,137.38999938964844,138.8300018310547,137.38999938964844,138.64999389648438,1770900,133.41526794433594
2024-04-01,138.5500030517578,140.72999572753906,138.4199981689453,140.47000122070312,2227600,135.16656494140625
2024-04-02,140.50999450683594,141.4199981689453,139.3300018310547,140.7100067138672,1987400,135.39752197265625
2024-04-03,140.8000030517578,140.8000030517578,138.75999450683594,139.00999450683594,1543800,133.7616729736328
2024-04-04,139.97999572753906,139.97999572753906,135.86000061035156,136.27999877929688,2640400,131.13473510742188
2024-04-05,136.3300018310547,136.8699951171875,135.13999938964844,136.10000610351562,1735600,130.96156311035156
2024-04-08,135.88999938964844,136.27999877929688,134.5,135.22000122070312,1770400,130.11477661132812
2024-04-09,135.05999755859375,137.16000366210938,134.8699951171875,137.02000427246094,1395500,131.84681701660156
2024-04-10,135.02999877929688,138.14999389648438,134.82000732421875,137.9499969482422,1901000,132.74169921875
